lambda_index,lambda,oof_f1,oof_payload
0,0.0,0.9027,0.13693
1,0.02,0.9013,0.115
2,0.05,0.87175,0.25567
3,0.1,0.90211,0.10814
4,0.2,0.9055,0.0245
5,0.35,0.89394,0.02225
6,0.5,0.89774,0.02263
