split,budget,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,RL_vs_RF_dF_mean,RL_vs_RF_dF_lcb95,RL_vs_RF_dF_ucb95,RL_vs_RF_dB_mean,RL_vs_RF_dB_lcb95,RL_vs_RF_dB_ucb95,RL_vs_tau_dF_mean,RL_vs_tau_dF_lcb95,RL_vs_tau_dF_ucb95,RL_vs_tau_dB_mean,RL_vs_tau_dB_lcb95,RL_vs_tau_dB_ucb95
validate,0.1,0.90678,0.91108,0.90734,0.02367,0.06857,0.07215,-0.00429,-0.00434,-0.00424,-0.04491,-0.04544,-0.04438,-0.00055,-0.00058,-0.00052,-0.04848,-0.04913,-0.04783
validate,0.2,0.90678,0.91172,0.90927,0.02367,0.09986,0.21663,-0.00493,-0.00498,-0.00488,-0.07619,-0.07692,-0.07548,-0.00249,-0.00255,-0.00243,-0.19297,-0.19416,-0.19178
validate,0.3,0.90678,0.91307,0.9087,0.02367,0.15781,0.31267,-0.00628,-0.00634,-0.00623,-0.13414,-0.13504,-0.13323,-0.00191,-0.00198,-0.00184,-0.289,-0.29035,-0.28771
test,0.1,0.89742,0.90326,0.90271,0.02161,0.06798,0.0724,-0.00584,-0.00597,-0.00572,-0.04637,-0.04692,-0.04582,-0.00529,-0.00538,-0.0052,-0.05079,-0.05144,-0.05013
test,0.2,0.89742,0.90463,0.9074,0.02161,0.09472,0.21679,-0.00721,-0.00732,-0.0071,-0.07311,-0.07376,-0.07246,-0.00998,-0.01011,-0.00985,-0.19518,-0.19642,-0.19397
test,0.3,0.89742,0.90734,0.90937,0.02161,0.18703,0.3125,-0.00993,-0.01006,-0.0098,-0.16542,-0.16652,-0.1643,-0.01195,-0.01208,-0.01182,-0.29089,-0.29222,-0.28958
culver,0.1,0.85684,0.8723,0.87491,0.02113,0.02832,0.07176,-0.01545,-0.01554,-0.01537,-0.00719,-0.00752,-0.00687,-0.01807,-0.0182,-0.01793,-0.05063,-0.05196,-0.04935
culver,0.2,0.85684,0.87355,0.8834,0.02113,0.04228,0.2174,-0.01671,-0.01682,-0.01659,-0.02116,-0.02186,-0.02042,-0.02656,-0.02678,-0.02635,-0.19628,-0.19865,-0.19391
culver,0.3,0.85684,0.88286,0.8874,0.02113,0.16008,0.31463,-0.02602,-0.02623,-0.02581,-0.13896,-0.14087,-0.13706,-0.03056,-0.03079,-0.03032,-0.2935,-0.29606,-0.29092
