snr_db,channel,rf_pay,rf_f1,oracle_pay,oracle_f1,rf_frac_L,oracle_frac_L,rf_frac_C16,oracle_frac_C16,rf_frac_C256,oracle_frac_C256,fixed_L_f1,fixed_C16_f1,fixed_C256_f1
0.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.028518431772160686,0.02727091973981162
2.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.026474440003336455,0.017307471275840664
4.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.04940381661169999,0.010985798668958404
6.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.11363905129483136,0.007395774249605713
8.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.22155733561894275,0.008207450942133867
10.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.354618509543076,0.020799864309093856
12.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.48690550896914686,0.05762014332236606
14.0,rayleigh,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.6001920245775791,0.1280069723614983
16.0,rayleigh,0.02423787878787879,0.8636165264828364,0.02756818181818182,0.8638205487056104,0.9994949494949495,0.9924242424242424,0.000505050505050505,0.007575757575757576,0.0,0.0,0.8636246212266526,0.6877680133470591,0.23072772312389908
18.0,rayleigh,0.02423787878787879,0.863650133621292,0.04469545454545455,0.8651407414987068,0.9994949494949495,0.956060606060606,0.000505050505050505,0.04393939393939394,0.0,0.0,0.8636246212266526,0.7509178975872888,0.35338659833918945
20.0,rayleigh,0.02495151515151516,0.863751092479883,0.07371666666666668,0.8682231785756659,0.997979797979798,0.8944444444444445,0.00202020202020202,0.10555555555555556,0.0,0.0,0.8636246212266526,0.7943767502011945,0.47754351492751457
