channel,snr_db,frac_L,frac_C16,frac_C256,f1_analytic_model,f1_e2e_with_floor_det,f1_e2e_with_floor_stochastic,f1_e2e_std,payload,bler_16,bler_256
awgn,0.0,1.0,0.0,0.0,0.8636246212266526,0.8636246212266526,0.8636246212266527,1.1102230246251565e-16,0.024000000000000004,1.0,1.0
awgn,10.0,1.0,0.0,0.0,0.8636246212266526,0.8636246212266526,0.8636246212266527,1.1102230246251565e-16,0.024000000000000004,0.4,1.0
awgn,12.0,0.9085858585858586,0.09141414141414142,0.0,0.8658267152046233,0.8672664879318961,0.8672920242933442,0.00026490255257094654,0.06705606060606062,0.025,1.0
awgn,14.0,0.33131313131313134,0.6686868686868687,0.0,0.8638965570018516,0.8744283751836699,0.8745102243958229,0.0008121344443061078,0.3389515151515151,0.025,0.95
awgn,16.0,0.32575757575757575,0.6742424242424242,0.0,0.8779870108945413,0.8779870108945413,0.8779870108945415,1.1102230246251565e-16,0.3415681818181819,0.0,0.7
awgn,20.0,0.3621212121212121,0.6378787878787879,0.0,0.8785241025472778,0.8785241025472778,0.8785241025472775,2.220446049250313e-16,0.3244409090909091,0.0,0.225
rayleigh,0.0,1.0,0.0,0.0,0.8636246212266526,0.8636246212266526,0.8636246212266527,1.1102230246251565e-16,0.024000000000000004,0.9674454337759557,0.9688695027218521
rayleigh,10.0,1.0,0.0,0.0,0.8636246212266526,0.8636246212266526,0.8636246212266527,1.1102230246251565e-16,0.024000000000000004,0.5951933175911345,0.9762563886572986
rayleigh,20.0,0.997979797979798,0.00202020202020202,0.0,0.863751092479883,0.8638697072436126,0.8638724269092074,7.431332442634984e-05,0.02495151515151516,0.09319731435896696,0.4548710775623129
