split,budget,in_sample,F1_RF,F1_tau,B_RF,B_tau,dF_mean,dF_lcb95,dF_ucb95,dB_mean,dB_lcb95,dB_ucb95,payload_reduction
validate,0.1,True,0.86101,0.85683,0.08102,0.07215,0.00418,0.00412,0.00424,0.00887,0.00804,0.00973,-0.12299
validate,0.2,True,0.8644,0.86119,0.15106,0.21663,0.00321,0.00315,0.00326,-0.06557,-0.06663,-0.0645,0.30268
validate,0.3,True,0.86583,0.86259,0.20361,0.31267,0.00324,0.0032,0.00328,-0.10906,-0.11,-0.10814,0.34882
test,0.1,False,0.89148,0.89247,0.0368,0.0724,-0.00099,-0.00105,-0.00093,-0.0356,-0.03628,-0.0349,0.49173
test,0.2,False,0.89691,0.89701,0.14141,0.21679,-0.0001,-0.00018,-2e-05,-0.07538,-0.07639,-0.07441,0.34773
test,0.3,False,0.89783,0.899,0.21196,0.3125,-0.00117,-0.00122,-0.00112,-0.10054,-0.1013,-0.09976,0.32171
culver,0.1,False,0.84667,0.84956,0.02437,0.07176,-0.0029,-0.00301,-0.00279,-0.04739,-0.04873,-0.0461,0.66039
culver,0.2,False,0.84975,0.85858,0.06751,0.2174,-0.00883,-0.00902,-0.00865,-0.14989,-0.15212,-0.14768,0.68945
culver,0.3,False,0.85932,0.86316,0.18226,0.31463,-0.00384,-0.00393,-0.00375,-0.13237,-0.13412,-0.13061,0.42072
