rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
0,58,400,,2,sqrt,,0.05,0.856679,0.878696,0.069727,1,0.8637,0.11315,0
1,77,400,,2,0.5,balanced,0.0,0.856556,0.879853,0.081133,1,0.8662,0.202272,0
2,78,400,,2,0.5,balanced,0.02,0.855844,0.879152,0.059992,1,0.8659,0.173245,0
3,106,400,,4,0.5,balanced,0.02,0.85565,0.879485,0.056865,1,0.8659,0.173239,0
4,64,400,,2,sqrt,balanced,0.02,0.855633,0.879273,0.076824,1,0.8659,0.173041,0
5,91,400,,4,sqrt,balanced,0.0,0.855602,0.879826,0.095319,1,0.8661,0.205597,0
6,92,400,,4,sqrt,balanced,0.02,0.855511,0.879396,0.088267,1,0.8659,0.173148,0
7,2,400,10.0,2,sqrt,,0.05,0.855498,0.878322,0.03276,1,0.8611,0.080803,1
8,9,400,10.0,2,sqrt,balanced,0.05,0.855416,0.879412,0.047906,0,,,
9,65,400,,2,sqrt,balanced,0.05,0.855392,0.878323,0.0242,0,,,
10,80,400,,2,0.5,balanced,0.1,0.855388,0.878298,0.024133,0,,,
11,108,400,,4,0.5,balanced,0.1,0.855386,0.878298,0.024266,0,,,
12,93,400,,4,sqrt,balanced,0.05,0.855386,0.878303,0.024044,0,,,
13,11,400,10.0,2,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
14,12,400,10.0,2,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
15,25,400,10.0,2,0.5,balanced,0.2,0.855384,0.878297,0.024,0,,,
16,39,400,10.0,4,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
17,40,400,10.0,4,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
18,60,400,,2,sqrt,,0.2,0.855384,0.878297,0.024,0,,,
19,66,400,,2,sqrt,balanced,0.1,0.855384,0.878297,0.024,0,,,
20,67,400,,2,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
21,68,400,,2,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
22,69,400,,2,sqrt,balanced,0.5,0.855384,0.878297,0.024,0,,,
23,81,400,,2,0.5,balanced,0.2,0.855384,0.878297,0.024,0,,,
24,82,400,,2,0.5,balanced,0.35,0.855384,0.878297,0.024,0,,,
25,83,400,,2,0.5,balanced,0.5,0.855384,0.878297,0.024,0,,,
26,94,400,,4,sqrt,balanced,0.1,0.855384,0.878297,0.024,0,,,
27,95,400,,4,sqrt,balanced,0.2,0.855384,0.878297,0.024,0,,,
28,96,400,,4,sqrt,balanced,0.35,0.855384,0.878297,0.024,0,,,
29,97,400,,4,sqrt,balanced,0.5,0.855384,0.878297,0.024,0,,,
30,110,400,,4,0.5,balanced,0.35,0.855384,0.878297,0.024,0,,,
31,111,400,,4,0.5,balanced,0.5,0.855384,0.878297,0.024,0,,,
32,86,400,,4,sqrt,,0.05,0.855371,0.878304,0.030387,0,,,
33,30,400,10.0,4,sqrt,,0.05,0.855352,0.878281,0.025929,0,,,
34,109,400,,4,0.5,balanced,0.2,0.85535,0.87826,0.024665,0,,,
35,37,400,10.0,4,sqrt,balanced,0.05,0.855349,0.879133,0.045112,0,,,
36,53,400,10.0,4,0.5,balanced,0.2,0.855344,0.878252,0.024776,0,,,
37,52,400,10.0,4,0.5,balanced,0.1,0.855343,0.878663,0.042074,0,,,
38,4,400,10.0,2,sqrt,,0.2,0.855339,0.878247,0.023988,0,,,
39,32,400,10.0,4,sqrt,,0.2,0.855339,0.878247,0.023988,0,,,
40,88,400,,4,sqrt,,0.2,0.855339,0.878247,0.023988,0,,,
41,13,400,10.0,2,sqrt,balanced,0.5,0.855336,0.878218,0.023976,0,,,
42,41,400,10.0,4,sqrt,balanced,0.5,0.855336,0.878218,0.023976,0,,,
43,87,400,,4,sqrt,,0.1,0.85532,0.878226,0.023978,0,,,
44,24,400,10.0,2,0.5,balanced,0.1,0.855288,0.878604,0.040344,0,,,
45,10,400,10.0,2,sqrt,balanced,0.1,0.855275,0.878244,0.026528,0,,,
46,38,400,10.0,4,sqrt,balanced,0.1,0.855201,0.878209,0.028391,0,,,
47,31,400,10.0,4,sqrt,,0.1,0.854904,0.877773,0.023863,0,,,
48,79,400,,2,0.5,balanced,0.05,0.854792,0.878022,0.026416,0,,,
49,59,400,,2,sqrt,,0.1,0.854551,0.877389,0.023757,0,,,
50,3,400,10.0,2,sqrt,,0.1,0.854548,0.877386,0.023748,0,,,
51,23,400,10.0,2,0.5,balanced,0.05,0.854181,0.88098,0.087003,0,,,
52,51,400,10.0,4,0.5,balanced,0.05,0.8539,0.880995,0.083407,0,,,
53,107,400,,4,0.5,balanced,0.05,0.853749,0.877735,0.025361,0,,,
54,27,400,10.0,2,0.5,balanced,0.5,0.852413,0.876679,0.023103,0,,,
55,55,400,10.0,4,0.5,balanced,0.5,0.852413,0.876679,0.023103,0,,,
56,72,400,,2,0.5,,0.05,0.848244,0.870733,0.03413,0,,,
57,100,400,,4,0.5,,0.05,0.848007,0.870287,0.031939,0,,,
58,16,400,10.0,2,0.5,,0.05,0.84794,0.870188,0.028533,0,,,
59,44,400,10.0,4,0.5,,0.05,0.847919,0.870122,0.027948,0,,,
60,5,400,10.0,2,sqrt,,0.35,0.847717,0.869985,0.022097,0,,,
61,33,400,10.0,4,sqrt,,0.35,0.847717,0.869985,0.022097,0,,,
62,61,400,,2,sqrt,,0.35,0.847272,0.869461,0.022012,0,,,
63,89,400,,4,sqrt,,0.35,0.847227,0.869412,0.022,0,,,
64,6,400,10.0,2,sqrt,,0.5,0.846524,0.868647,0.021879,0,,,
65,34,400,10.0,4,sqrt,,0.5,0.846524,0.868647,0.021879,0,,,
66,62,400,,2,sqrt,,0.5,0.846442,0.868557,0.02183,0,,,
67,90,400,,4,sqrt,,0.5,0.84635,0.868457,0.021806,0,,,
68,73,400,,2,0.5,,0.1,0.845579,0.867503,0.026941,0,,,
69,101,400,,4,0.5,,0.1,0.845486,0.867453,0.022436,0,,,
70,45,400,10.0,4,0.5,,0.1,0.845477,0.867442,0.021882,0,,,
71,17,400,10.0,2,0.5,,0.1,0.845456,0.867436,0.022219,0,,,
72,20,400,10.0,2,0.5,,0.5,0.845364,0.867392,0.021503,0,,,
73,48,400,10.0,4,0.5,,0.5,0.845364,0.867392,0.021503,0,,,
74,76,400,,2,0.5,,0.5,0.845344,0.867359,0.021491,0,,,
75,104,400,,4,0.5,,0.5,0.845344,0.867359,0.021491,0,,,
76,19,400,10.0,2,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
77,47,400,10.0,4,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
78,75,400,,2,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
79,103,400,,4,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
80,18,400,10.0,2,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
81,46,400,10.0,4,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
82,74,400,,2,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
83,102,400,,4,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
84,26,400,10.0,2,0.5,balanced,0.35,0.833693,0.870912,0.017285,0,,,
85,54,400,10.0,4,0.5,balanced,0.35,0.833693,0.870912,0.017285,0,,,
