fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lam,n_frames,realised_f1,realised_payload
2021_08_23_13_17_21,5,400,10.0,2,sqrt,,0.35,1056,0.8614438117562356,0.0009571496212121213
2021_08_23_19_42_07,5,400,10.0,2,sqrt,,0.35,1254,0.8203545092251571,0.0007324561403508772
2021_09_09_19_27_35,5,400,10.0,2,sqrt,,0.35,10098,0.6404801121685411,0.0012841651812240049
2021_09_11_00_33_16,5,400,10.0,2,sqrt,,0.35,16412,0.8512230791756389,0.0001954819644162808
2021_08_20_21_48_35,6,400,10.0,2,sqrt,,0.5,2464,0.8785314324429472,0.001176643668831169
2021_08_21_17_30_41,6,400,10.0,2,sqrt,,0.5,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,6,400,10.0,2,sqrt,,0.5,2970,0.9537945385402458,0.0006089225589225589
2021_08_22_22_01_17,6,400,10.0,2,sqrt,,0.5,4444,0.9432266954364819,0.0005145139513951395
2021_08_23_10_51_24,6,400,10.0,2,sqrt,,0.5,1408,0.8564115542292147,0.0009659090909090908
2021_08_23_13_17_21,6,400,10.0,2,sqrt,,0.5,1056,0.8579825889905633,0.0008250473484848486
2021_08_23_19_42_07,6,400,10.0,2,sqrt,,0.5,1254,0.8204261912197307,0.0006768341307814991
2021_09_09_19_27_35,6,400,10.0,2,sqrt,,0.5,10098,0.6404780410628115,0.0012810952663893842
2021_09_11_00_33_16,6,400,10.0,2,sqrt,,0.5,16412,0.8525562975590234,0.00029478430416768217
2021_08_20_21_48_35,7,400,10.0,2,sqrt,balanced,0.0,2464,0.8885162850976207,1.9933485186688316
2021_08_21_17_30_41,7,400,10.0,2,sqrt,balanced,0.0,3454,0.9148253288863052,2.4197528951939784
2021_08_22_13_37_16,7,400,10.0,2,sqrt,balanced,0.0,2970,0.9511892432686527,0.7702920033670033
2021_08_22_22_01_17,7,400,10.0,2,sqrt,balanced,0.0,4444,0.9497813112285756,1.6128469284428444
2021_08_23_10_51_24,7,400,10.0,2,sqrt,balanced,0.0,1408,0.8668662030883685,1.1722121803977275
2021_08_23_13_17_21,7,400,10.0,2,sqrt,balanced,0.0,1056,0.8613271631883832,0.8723330965909091
2021_08_23_19_42_07,7,400,10.0,2,sqrt,balanced,0.0,1254,0.8223158629654237,1.1805259170653908
2021_09_09_19_27_35,7,400,10.0,2,sqrt,balanced,0.0,10098,0.6960792141123094,1.8996487670825912
2021_09_11_00_33_16,7,400,10.0,2,sqrt,balanced,0.0,16412,0.8795590581426447,1.9563397666341709
2021_08_20_21_48_35,8,400,10.0,2,sqrt,balanced,0.02,2464,0.8794544397255692,0.1222861201298701
2021_08_21_17_30_41,8,400,10.0,2,sqrt,balanced,0.02,3454,0.9103452287408544,0.8992908946149394
2021_08_22_13_37_16,8,400,10.0,2,sqrt,balanced,0.02,2970,0.95024426278497,0.006843097643097645
2021_08_22_22_01_17,8,400,10.0,2,sqrt,balanced,0.02,4444,0.9431299167740137,0.0005183393339333932
2021_08_23_10_51_24,8,400,10.0,2,sqrt,balanced,0.02,1408,0.8596906381335313,0.16831498579545456
2021_08_23_13_17_21,8,400,10.0,2,sqrt,balanced,0.02,1056,0.8583913814504751,0.0009263731060606061
2021_08_23_19_42_07,8,400,10.0,2,sqrt,balanced,0.02,1254,0.820416384106384,0.0007553827751196171
2021_09_09_19_27_35,8,400,10.0,2,sqrt,balanced,0.02,10098,0.6404825209461128,0.0013798772034066152
