rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
73,42,400,10.0,4,0.5,,0.0,0.90079,0.901962,0.157104,0,,,
74,14,400,10.0,2,0.5,,0.0,0.90067,0.901728,0.157348,0,,,
75,15,400,10.0,2,0.5,,0.02,0.900592,0.900645,0.163601,0,,,
76,70,400,,2,0.5,,0.0,0.900588,0.901372,0.159876,0,,,
77,71,400,,2,0.5,,0.02,0.900513,0.901296,0.139029,0,,,
78,32,400,10.0,4,sqrt,,0.2,0.900503,0.899656,0.0225,0,,,
79,88,400,,4,sqrt,,0.2,0.900406,0.899551,0.022473,0,,,
80,50,400,10.0,4,0.5,balanced,0.02,0.900122,0.908033,0.107385,0,,,
81,16,400,10.0,2,0.5,,0.05,0.899766,0.898893,0.086338,0,,,
82,44,400,10.0,4,0.5,,0.05,0.899752,0.898967,0.046602,0,,,
83,72,400,,2,0.5,,0.05,0.899706,0.899012,0.068176,0,,,
84,100,400,,4,0.5,,0.05,0.899665,0.899008,0.074185,0,,,
85,23,400,10.0,2,0.5,balanced,0.05,0.898677,0.905252,0.059185,0,,,
86,6,400,10.0,2,sqrt,,0.5,0.898128,0.897069,0.021952,0,,,
87,34,400,10.0,4,sqrt,,0.5,0.898128,0.897069,0.021952,0,,,
88,62,400,,2,sqrt,,0.5,0.898082,0.897019,0.021939,0,,,
89,90,400,,4,sqrt,,0.5,0.898082,0.897019,0.021939,0,,,
90,61,400,,2,sqrt,,0.35,0.897935,0.896913,0.021903,0,,,
91,89,400,,4,sqrt,,0.35,0.897935,0.896913,0.021903,0,,,
92,5,400,10.0,2,sqrt,,0.35,0.897924,0.896946,0.021903,0,,,
93,33,400,10.0,4,sqrt,,0.35,0.897924,0.896946,0.021903,0,,,
94,107,400,,4,0.5,balanced,0.05,0.897146,0.903615,0.023581,0,,,
95,18,400,10.0,2,0.5,,0.2,0.896771,0.895484,0.021527,0,,,
96,46,400,10.0,4,0.5,,0.2,0.896771,0.895484,0.021527,0,,,
97,74,400,,2,0.5,,0.2,0.896771,0.895484,0.021527,0,,,
98,102,400,,4,0.5,,0.2,0.896771,0.895484,0.021527,0,,,
99,20,400,10.0,2,0.5,,0.5,0.896571,0.89538,0.021491,0,,,
100,48,400,10.0,4,0.5,,0.5,0.896571,0.89538,0.021491,0,,,
101,76,400,,2,0.5,,0.5,0.896571,0.89538,0.021491,0,,,
102,104,400,,4,0.5,,0.5,0.896571,0.89538,0.021491,0,,,
103,73,400,,2,0.5,,0.1,0.896437,0.894896,0.026595,0,,,
104,17,400,10.0,2,0.5,,0.1,0.896405,0.89491,0.022032,0,,,
105,45,400,10.0,4,0.5,,0.1,0.896377,0.894854,0.021786,0,,,
106,101,400,,4,0.5,,0.1,0.896367,0.89484,0.022094,0,,,
107,19,400,10.0,2,0.5,,0.35,0.896078,0.895279,0.021406,0,,,
108,47,400,10.0,4,0.5,,0.35,0.896078,0.895279,0.021406,0,,,
109,75,400,,2,0.5,,0.35,0.896078,0.895279,0.021406,0,,,
110,103,400,,4,0.5,,0.35,0.896078,0.895279,0.021406,0,,,
111,51,400,10.0,4,0.5,balanced,0.05,0.895395,0.904262,0.042707,0,,,
