rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
0,7,400,10.0,2,sqrt,balanced,0.0,0.909279,0.91052,0.1312,True,0.912,0.201124,False
1,35,400,10.0,4,sqrt,balanced,0.0,0.90925,0.910429,0.131489,True,0.9119,0.203389,False
2,1,400,10.0,2,sqrt,,0.02,0.908693,0.908203,0.197463,True,0.9118,0.099231,True
3,28,400,10.0,4,sqrt,,0.0,0.908598,0.908201,0.170452,False,,,
4,29,400,10.0,4,sqrt,,0.02,0.908453,0.908068,0.156082,False,,,
5,8,400,10.0,2,sqrt,balanced,0.02,0.908069,0.909128,0.089708,False,,,
6,22,400,10.0,2,0.5,balanced,0.02,0.908054,0.910355,0.105204,False,,,
7,36,400,10.0,4,sqrt,balanced,0.02,0.907949,0.909227,0.088333,False,,,
8,91,400,,4,sqrt,balanced,0.0,0.90763,0.907787,0.059216,False,,,
9,78,400,,2,0.5,balanced,0.02,0.907499,0.907392,0.050368,False,,,
10,63,400,,2,sqrt,balanced,0.0,0.907265,0.907546,0.061633,False,,,
11,77,400,,2,0.5,balanced,0.0,0.907195,0.907618,0.08879,False,,,
12,58,400,,2,sqrt,,0.05,0.907039,0.906987,0.055978,False,,,
13,92,400,,4,sqrt,balanced,0.02,0.906934,0.907137,0.041941,False,,,
14,2,400,10.0,2,sqrt,,0.05,0.906925,0.9068,0.02808,False,,,
15,86,400,,4,sqrt,,0.05,0.906809,0.906616,0.027659,False,,,
16,37,400,10.0,4,sqrt,balanced,0.05,0.906801,0.907158,0.037261,False,,,
17,9,400,10.0,2,sqrt,balanced,0.05,0.906734,0.907064,0.037128,False,,,
18,11,400,10.0,2,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
19,25,400,10.0,2,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
20,30,400,10.0,4,sqrt,,0.05,0.906725,0.906433,0.024,False,,,
21,39,400,10.0,4,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
22,53,400,10.0,4,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
23,65,400,,2,sqrt,balanced,0.05,0.906725,0.906433,0.024,False,,,
24,66,400,,2,sqrt,balanced,0.1,0.906725,0.906433,0.024,False,,,
25,67,400,,2,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
26,68,400,,2,sqrt,balanced,0.35,0.906725,0.906433,0.024,False,,,
27,69,400,,2,sqrt,balanced,0.5,0.906725,0.906433,0.024,False,,,
28,80,400,,2,0.5,balanced,0.1,0.906725,0.906433,0.024,False,,,
29,81,400,,2,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
30,82,400,,2,0.5,balanced,0.35,0.906725,0.906433,0.024,False,,,
31,83,400,,2,0.5,balanced,0.5,0.906725,0.906433,0.024,False,,,
32,93,400,,4,sqrt,balanced,0.05,0.906725,0.906433,0.024,False,,,
33,94,400,,4,sqrt,balanced,0.1,0.906725,0.906433,0.024,False,,,
34,95,400,,4,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
35,96,400,,4,sqrt,balanced,0.35,0.906725,0.906433,0.024,False,,,
36,97,400,,4,sqrt,balanced,0.5,0.906725,0.906433,0.024,False,,,
37,108,400,,4,0.5,balanced,0.1,0.906725,0.906433,0.024,False,,,
38,109,400,,4,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
39,110,400,,4,0.5,balanced,0.35,0.906725,0.906433,0.024,False,,,
40,111,400,,4,0.5,balanced,0.5,0.906725,0.906433,0.024,False,,,
41,3,400,10.0,2,sqrt,,0.1,0.906637,0.906337,0.023977,False,,,
42,64,400,,2,sqrt,balanced,0.02,0.906628,0.906734,0.032981,False,,,
43,12,400,10.0,2,sqrt,balanced,0.35,0.906604,0.905875,0.023988,False,,,
44,40,400,10.0,4,sqrt,balanced,0.35,0.906604,0.905875,0.023988,False,,,
45,38,400,10.0,4,sqrt,balanced,0.1,0.906588,0.90643,0.029078,False,,,
46,13,400,10.0,2,sqrt,balanced,0.5,0.90658,0.905836,0.023976,False,,,
47,26,400,10.0,2,0.5,balanced,0.35,0.90658,0.905836,0.023976,False,,,
48,41,400,10.0,4,sqrt,balanced,0.5,0.90658,0.905836,0.023976,False,,,
49,54,400,10.0,4,0.5,balanced,0.35,0.90658,0.905836,0.023976,False,,,
50,24,400,10.0,2,0.5,balanced,0.1,0.906565,0.906506,0.041963,False,,,
51,52,400,10.0,4,0.5,balanced,0.1,0.906564,0.906505,0.041941,False,,,
52,10,400,10.0,2,sqrt,balanced,0.1,0.906511,0.906351,0.030121,False,,,
53,27,400,10.0,2,0.5,balanced,0.5,0.906439,0.905607,0.023903,False,,,
54,55,400,10.0,4,0.5,balanced,0.5,0.906439,0.905607,0.023903,False,,,
55,87,400,,4,sqrt,,0.1,0.906126,0.90578,0.023851,False,,,
56,4,400,10.0,2,sqrt,,0.2,0.906084,0.905734,0.023818,False,,,
57,31,400,10.0,4,sqrt,,0.1,0.90596,0.905599,0.023796,False,,,
58,106,400,,4,0.5,balanced,0.02,0.905834,0.906955,0.052398,False,,,
59,105,400,,4,0.5,balanced,0.0,0.90499,0.907283,0.093363,False,,,
60,49,400,10.0,4,0.5,balanced,0.0,0.90477,0.909309,0.139158,False,,,
61,79,400,,2,0.5,balanced,0.05,0.903316,0.905421,0.023721,False,,,
62,21,400,10.0,2,0.5,balanced,0.0,0.90171,0.908398,0.13663,False,,,
63,59,400,,2,sqrt,,0.1,0.901375,0.900606,0.022697,False,,,
64,60,400,,2,sqrt,,0.2,0.901293,0.900517,0.022679,False,,,
65,43,400,10.0,4,0.5,,0.02,0.901045,0.90072,0.161826,False,,,
66,98,400,,4,0.5,,0.0,0.900975,0.902483,0.159813,False,,,
67,99,400,,4,0.5,,0.02,0.900895,0.900729,0.124304,False,,,
68,42,400,10.0,4,0.5,,0.0,0.90079,0.901962,0.157104,False,,,
69,14,400,10.0,2,0.5,,0.0,0.90067,0.901728,0.157348,False,,,
70,15,400,10.0,2,0.5,,0.02,0.900592,0.900645,0.163601,False,,,
71,70,400,,2,0.5,,0.0,0.900588,0.901372,0.159876,False,,,
72,71,400,,2,0.5,,0.02,0.900513,0.901296,0.139029,False,,,
73,32,400,10.0,4,sqrt,,0.2,0.900503,0.899656,0.0225,False,,,
74,88,400,,4,sqrt,,0.2,0.900406,0.899551,0.022473,False,,,
75,50,400,10.0,4,0.5,balanced,0.02,0.900122,0.908033,0.107385,False,,,
76,16,400,10.0,2,0.5,,0.05,0.899766,0.898893,0.086338,False,,,
77,44,400,10.0,4,0.5,,0.05,0.899752,0.898967,0.046602,False,,,
78,72,400,,2,0.5,,0.05,0.899706,0.899012,0.068176,False,,,
79,100,400,,4,0.5,,0.05,0.899665,0.899008,0.074185,False,,,
80,23,400,10.0,2,0.5,balanced,0.05,0.898677,0.905252,0.059185,False,,,
81,6,400,10.0,2,sqrt,,0.5,0.898128,0.897069,0.021952,False,,,
82,34,400,10.0,4,sqrt,,0.5,0.898128,0.897069,0.021952,False,,,
83,62,400,,2,sqrt,,0.5,0.898082,0.897019,0.021939,False,,,
84,90,400,,4,sqrt,,0.5,0.898082,0.897019,0.021939,False,,,
85,61,400,,2,sqrt,,0.35,0.897935,0.896913,0.021903,False,,,
86,89,400,,4,sqrt,,0.35,0.897935,0.896913,0.021903,False,,,
87,5,400,10.0,2,sqrt,,0.35,0.897924,0.896946,0.021903,False,,,
88,33,400,10.0,4,sqrt,,0.35,0.897924,0.896946,0.021903,False,,,
89,107,400,,4,0.5,balanced,0.05,0.897146,0.903615,0.023581,False,,,
90,18,400,10.0,2,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
91,46,400,10.0,4,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
92,74,400,,2,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
93,102,400,,4,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
94,20,400,10.0,2,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
95,48,400,10.0,4,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
96,76,400,,2,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
97,104,400,,4,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
98,73,400,,2,0.5,,0.1,0.896437,0.894896,0.026595,False,,,
99,17,400,10.0,2,0.5,,0.1,0.896405,0.89491,0.022032,False,,,
100,45,400,10.0,4,0.5,,0.1,0.896377,0.894854,0.021786,False,,,
101,101,400,,4,0.5,,0.1,0.896367,0.89484,0.022094,False,,,
102,19,400,10.0,2,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
103,47,400,10.0,4,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
104,75,400,,2,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
105,103,400,,4,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
106,51,400,10.0,4,0.5,balanced,0.05,0.895395,0.904262,0.042707,False,,,
