fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,realised_f1,realised_payload
2021_08_21_17_30_41,8,400,10.0,2,sqrt,balanced,0.02,0.926272,0.200196
2021_08_22_13_37_16,8,400,10.0,2,sqrt,balanced,0.02,0.971686,0.024
2021_08_22_22_01_17,8,400,10.0,2,sqrt,balanced,0.02,0.987345,0.041607
2021_08_23_10_51_24,8,400,10.0,2,sqrt,balanced,0.02,0.89401,0.180426
2021_08_23_13_17_21,8,400,10.0,2,sqrt,balanced,0.02,0.916777,0.156642
2021_08_23_19_42_07,8,400,10.0,2,sqrt,balanced,0.02,0.809267,0.212732
2021_09_09_19_27_35,8,400,10.0,2,sqrt,balanced,0.02,0.801025,0.128942
2021_09_11_00_33_16,8,400,10.0,2,sqrt,balanced,0.02,0.941361,0.024
2021_08_20_21_48_35,9,400,10.0,2,sqrt,balanced,0.05,0.929897,0.067909
2021_08_21_17_30_41,9,400,10.0,2,sqrt,balanced,0.05,0.923348,0.024
2021_08_22_13_37_16,9,400,10.0,2,sqrt,balanced,0.05,0.971686,0.024
2021_08_22_22_01_17,9,400,10.0,2,sqrt,balanced,0.05,0.98737,0.024
2021_08_23_10_51_24,9,400,10.0,2,sqrt,balanced,0.05,0.892365,0.131028
2021_08_23_13_17_21,9,400,10.0,2,sqrt,balanced,0.05,0.918115,0.100841
2021_08_23_19_42_07,9,400,10.0,2,sqrt,balanced,0.05,0.800953,0.024
2021_09_09_19_27_35,9,400,10.0,2,sqrt,balanced,0.05,0.798482,0.046959
2021_09_11_00_33_16,9,400,10.0,2,sqrt,balanced,0.05,0.941361,0.024
2021_08_20_21_48_35,10,400,10.0,2,sqrt,balanced,0.1,0.928938,0.024
2021_08_21_17_30_41,10,400,10.0,2,sqrt,balanced,0.1,0.923348,0.024
2021_08_22_13_37_16,10,400,10.0,2,sqrt,balanced,0.1,0.971686,0.024
2021_08_22_22_01_17,10,400,10.0,2,sqrt,balanced,0.1,0.98737,0.024
2021_08_23_10_51_24,10,400,10.0,2,sqrt,balanced,0.1,0.886727,0.032233
2021_08_23_13_17_21,10,400,10.0,2,sqrt,balanced,0.1,0.91825,0.024
2021_08_23_19_42_07,10,400,10.0,2,sqrt,balanced,0.1,0.800953,0.024
2021_09_09_19_27_35,10,400,10.0,2,sqrt,balanced,0.1,0.798525,0.049255
2021_09_11_00_33_16,10,400,10.0,2,sqrt,balanced,0.1,0.941361,0.024
2021_08_20_21_48_35,11,400,10.0,2,sqrt,balanced,0.2,0.928938,0.024
2021_08_21_17_30_41,11,400,10.0,2,sqrt,balanced,0.2,0.923348,0.024
2021_08_22_13_37_16,11,400,10.0,2,sqrt,balanced,0.2,0.971686,0.024
2021_08_22_22_01_17,11,400,10.0,2,sqrt,balanced,0.2,0.98737,0.024
2021_08_23_10_51_24,11,400,10.0,2,sqrt,balanced,0.2,0.886513,0.024
2021_08_23_13_17_21,11,400,10.0,2,sqrt,balanced,0.2,0.91825,0.024
2021_08_23_19_42_07,11,400,10.0,2,sqrt,balanced,0.2,0.800953,0.024
2021_09_09_19_27_35,11,400,10.0,2,sqrt,balanced,0.2,0.799479,0.024
2021_09_11_00_33_16,11,400,10.0,2,sqrt,balanced,0.2,0.941361,0.024
2021_08_20_21_48_35,12,400,10.0,2,sqrt,balanced,0.35,0.928938,0.024
2021_08_21_17_30_41,12,400,10.0,2,sqrt,balanced,0.35,0.923348,0.024
2021_08_22_13_37_16,12,400,10.0,2,sqrt,balanced,0.35,0.971686,0.024
2021_08_22_22_01_17,12,400,10.0,2,sqrt,balanced,0.35,0.98737,0.024
2021_08_23_10_51_24,12,400,10.0,2,sqrt,balanced,0.35,0.886513,0.024
2021_08_23_13_17_21,12,400,10.0,2,sqrt,balanced,0.35,0.913228,0.0235
2021_08_23_19_42_07,12,400,10.0,2,sqrt,balanced,0.35,0.800953,0.024
2021_09_09_19_27_35,12,400,10.0,2,sqrt,balanced,0.35,0.799479,0.024
2021_09_11_00_33_16,12,400,10.0,2,sqrt,balanced,0.35,0.941361,0.024
2021_08_20_21_48_35,13,400,10.0,2,sqrt,balanced,0.5,0.928938,0.024
2021_08_21_17_30_41,13,400,10.0,2,sqrt,balanced,0.5,0.923348,0.024
2021_08_22_13_37_16,13,400,10.0,2,sqrt,balanced,0.5,0.971333,0.023822
2021_08_22_22_01_17,13,400,10.0,2,sqrt,balanced,0.5,0.98737,0.024
2021_08_23_10_51_24,13,400,10.0,2,sqrt,balanced,0.5,0.886513,0.024
2021_08_23_13_17_21,13,400,10.0,2,sqrt,balanced,0.5,0.913228,0.0235
2021_08_23_19_42_07,13,400,10.0,2,sqrt,balanced,0.5,0.800953,0.024
2021_09_09_19_27_35,13,400,10.0,2,sqrt,balanced,0.5,0.799479,0.024
2021_09_11_00_33_16,13,400,10.0,2,sqrt,balanced,0.5,0.941361,0.024
2021_08_20_21_48_35,14,400,10.0,2,0.5,,0.0,0.93167,0.082554
2021_08_21_17_30_41,14,400,10.0,2,0.5,,0.0,0.929783,0.250537
2021_08_22_13_37_16,14,400,10.0,2,0.5,,0.0,0.971674,0.036034
2021_08_22_22_01_17,14,400,10.0,2,0.5,,0.0,0.920446,0.261527
2021_08_23_10_51_24,14,400,10.0,2,0.5,,0.0,0.890636,0.110446
2021_08_23_13_17_21,14,400,10.0,2,0.5,,0.0,0.918577,0.100841
2021_08_23_19_42_07,14,400,10.0,2,0.5,,0.0,0.811718,0.180378
2021_09_09_19_27_35,14,400,10.0,2,0.5,,0.0,0.802385,0.280567
2021_09_11_00_33_16,14,400,10.0,2,0.5,,0.0,0.938662,0.072794
2021_08_20_21_48_35,15,400,10.0,2,0.5,,0.02,0.932204,0.1488
2021_08_21_17_30_41,15,400,10.0,2,0.5,,0.02,0.92542,0.040781
2021_08_22_13_37_16,15,400,10.0,2,0.5,,0.02,0.97183,0.027903
2021_08_22_22_01_17,15,400,10.0,2,0.5,,0.02,0.917781,0.213918
2021_08_23_10_51_24,15,400,10.0,2,0.5,,0.02,0.890862,0.093294
2021_08_23_13_17_21,15,400,10.0,2,0.5,,0.02,0.919725,0.089864
2021_08_23_19_42_07,15,400,10.0,2,0.5,,0.02,0.805099,0.127995
2021_09_09_19_27_35,15,400,10.0,2,0.5,,0.02,0.802645,0.272436
2021_09_11_00_33_16,15,400,10.0,2,0.5,,0.02,0.94024,0.149135
2021_08_20_21_48_35,16,400,10.0,2,0.5,,0.05,0.930266,0.054317
2021_08_21_17_30_41,16,400,10.0,2,0.5,,0.05,0.923348,0.024
2021_08_22_13_37_16,16,400,10.0,2,0.5,,0.05,0.971686,0.024
2021_08_22_22_01_17,16,400,10.0,2,0.5,,0.05,0.917919,0.224352
2021_08_23_10_51_24,16,400,10.0,2,0.5,,0.05,0.886513,0.024
2021_08_23_13_17_21,16,400,10.0,2,0.5,,0.05,0.918384,0.034977
2021_08_23_19_42_07,16,400,10.0,2,0.5,,0.05,0.800953,0.024
2021_09_09_19_27_35,16,400,10.0,2,0.5,,0.05,0.799479,0.024
2021_09_11_00_33_16,16,400,10.0,2,0.5,,0.05,0.941488,0.129947
2021_08_20_21_48_35,17,400,10.0,2,0.5,,0.1,0.927519,0.027933
2021_08_21_17_30_41,17,400,10.0,2,0.5,,0.1,0.923348,0.024
2021_08_22_13_37_16,17,400,10.0,2,0.5,,0.1,0.965591,0.021285
2021_08_22_22_01_17,17,400,10.0,2,0.5,,0.1,0.890998,0.0
2021_08_23_10_51_24,17,400,10.0,2,0.5,,0.1,0.886513,0.024
2021_08_23_13_17_21,17,400,10.0,2,0.5,,0.1,0.91825,0.024
2021_08_23_19_42_07,17,400,10.0,2,0.5,,0.1,0.801123,0.033244
2021_09_09_19_27_35,17,400,10.0,2,0.5,,0.1,0.799479,0.024
2021_09_11_00_33_16,17,400,10.0,2,0.5,,0.1,0.941368,0.024471
2021_08_20_21_48_35,18,400,10.0,2,0.5,,0.2,0.926765,0.023571
2021_08_21_17_30_41,18,400,10.0,2,0.5,,0.2,0.923348,0.024
2021_08_22_13_37_16,18,400,10.0,2,0.5,,0.2,0.971686,0.024
2021_08_22_22_01_17,18,400,10.0,2,0.5,,0.2,0.890998,0.0
2021_08_23_10_51_24,18,400,10.0,2,0.5,,0.2,0.886513,0.024
2021_08_23_13_17_21,18,400,10.0,2,0.5,,0.2,0.91825,0.024
2021_08_23_19_42_07,18,400,10.0,2,0.5,,0.2,0.800953,0.024
2021_09_09_19_27_35,18,400,10.0,2,0.5,,0.2,0.799479,0.024
2021_09_11_00_33_16,18,400,10.0,2,0.5,,0.2,0.941361,0.024
2021_08_20_21_48_35,19,400,10.0,2,0.5,,0.35,0.926765,0.023571
2021_08_21_17_30_41,19,400,10.0,2,0.5,,0.35,0.923348,0.024
