rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
72,107,400,,4,0.5,balanced,0.05,0.897146,0.903615,0.023581,False,,,
73,18,400,10.0,2,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
74,46,400,10.0,4,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
75,74,400,,2,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
76,102,400,,4,0.5,,0.2,0.896771,0.895484,0.021527,False,,,
77,20,400,10.0,2,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
78,48,400,10.0,4,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
79,76,400,,2,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
80,104,400,,4,0.5,,0.5,0.896571,0.89538,0.021491,False,,,
81,73,400,,2,0.5,,0.1,0.896437,0.894896,0.026595,False,,,
82,17,400,10.0,2,0.5,,0.1,0.896405,0.89491,0.022032,False,,,
83,45,400,10.0,4,0.5,,0.1,0.896377,0.894854,0.021786,False,,,
84,101,400,,4,0.5,,0.1,0.896367,0.89484,0.022094,False,,,
85,19,400,10.0,2,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
86,47,400,10.0,4,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
87,75,400,,2,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
88,103,400,,4,0.5,,0.35,0.896078,0.895279,0.021406,False,,,
89,51,400,10.0,4,0.5,balanced,0.05,0.895395,0.904262,0.042707,False,,,
