rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload
85,23,400,10.0,2,0.5,balanced,0.05,0.898677,0.905252,0.059185
86,6,400,10.0,2,sqrt,,0.5,0.898128,0.897069,0.021952
87,34,400,10.0,4,sqrt,,0.5,0.898128,0.897069,0.021952
88,62,400,,2,sqrt,,0.5,0.898082,0.897019,0.021939
89,90,400,,4,sqrt,,0.5,0.898082,0.897019,0.021939
90,61,400,,2,sqrt,,0.35,0.897935,0.896913,0.021903
91,89,400,,4,sqrt,,0.35,0.897935,0.896913,0.021903
92,5,400,10.0,2,sqrt,,0.35,0.897924,0.896946,0.021903
93,33,400,10.0,4,sqrt,,0.35,0.897924,0.896946,0.021903
94,107,400,,4,0.5,balanced,0.05,0.897146,0.903615,0.023581
95,18,400,10.0,2,0.5,,0.2,0.896771,0.895484,0.021527
96,46,400,10.0,4,0.5,,0.2,0.896771,0.895484,0.021527
97,74,400,,2,0.5,,0.2,0.896771,0.895484,0.021527
98,102,400,,4,0.5,,0.2,0.896771,0.895484,0.021527
99,20,400,10.0,2,0.5,,0.5,0.896571,0.89538,0.021491
100,48,400,10.0,4,0.5,,0.5,0.896571,0.89538,0.021491
101,76,400,,2,0.5,,0.5,0.896571,0.89538,0.021491
102,104,400,,4,0.5,,0.5,0.896571,0.89538,0.021491
103,73,400,,2,0.5,,0.1,0.896437,0.894896,0.026595
104,17,400,10.0,2,0.5,,0.1,0.896405,0.89491,0.022032
105,45,400,10.0,4,0.5,,0.1,0.896377,0.894854,0.021786
106,101,400,,4,0.5,,0.1,0.896367,0.89484,0.022094
107,19,400,10.0,2,0.5,,0.35,0.896078,0.895279,0.021406
108,47,400,10.0,4,0.5,,0.35,0.896078,0.895279,0.021406
109,75,400,,2,0.5,,0.35,0.896078,0.895279,0.021406
110,103,400,,4,0.5,,0.35,0.896078,0.895279,0.021406
111,51,400,10.0,4,0.5,balanced,0.05,0.895395,0.904262,0.042707
