split,budget,in_sample,F1_RF,F1_tau,B_RF,B_tau,dF_mean,dF_lcb95,dF_ucb95,dB_mean,dB_lcb95,dB_ucb95,payload_reduction
validate,0.1,True,0.87605,0.87025,0.04654,0.07215,0.0058,0.00573,0.00587,-0.0256,-0.02637,-0.02483,0.35489
validate,0.2,True,0.88389,0.87439,0.18537,0.21663,0.00949,0.00942,0.00957,-0.03127,-0.03229,-0.03023,0.14433
validate,0.3,True,0.88389,0.87577,0.18537,0.31267,0.00811,0.00805,0.00818,-0.1273,-0.12825,-0.12638,0.40715
test,0.1,False,0.87912,0.88051,0.02387,0.0724,-0.00139,-0.00145,-0.00134,-0.04852,-0.04918,-0.04787,0.67023
test,0.2,False,0.87944,0.88417,0.03807,0.21679,-0.00473,-0.00483,-0.00464,-0.17872,-0.17994,-0.17752,0.82439
test,0.3,False,0.87944,0.88603,0.03807,0.3125,-0.00659,-0.0067,-0.00648,-0.27443,-0.27572,-0.27314,0.87818
culver,0.1,False,0.87942,0.88235,0.024,0.07176,-0.00293,-0.00303,-0.00283,-0.04776,-0.04909,-0.04647,0.66553
culver,0.2,False,0.87978,0.89147,0.03194,0.2174,-0.0117,-0.01189,-0.0115,-0.18546,-0.18781,-0.18313,0.85307
culver,0.3,False,0.87978,0.89648,0.03194,0.31463,-0.01671,-0.01692,-0.01649,-0.28268,-0.28523,-0.28014,0.89847
