comparison,condition,value,result
PRIMARY test@B0.20,LCB95(dF) > -0.005,-0.00483,True
PRIMARY test@B0.20,UCB95(dB) < 0,-0.17752,True
PRIMARY test@B0.20,(B_tau-B_RF)/B_tau >= 0.10,0.82439,True
