snr_db,ap_03,ap_05,ap_07,return_code,log
0.0,0.6415,0.6344,0.5709,0,experiment_logs/importance_map_jscc/jscc_eval/rayleigh_ldpc256_snrp00/inference.log
18.0,0.6962,0.6845,0.6099,0,experiment_logs/importance_map_jscc/jscc_eval/rayleigh_ldpc256_snrp18/inference.log
22.0,0.7502,0.7326,0.6448,0,experiment_logs/importance_map_jscc/jscc_eval/rayleigh_ldpc256_snrp22/inference.log
25.0,0.7483,0.7314,0.6429,0,experiment_logs/importance_map_jscc/jscc_eval/rayleigh_ldpc256_snrp25/inference.log
30.0,0.7505,0.7330,0.6450,0,experiment_logs/importance_map_jscc/jscc_eval/rayleigh_ldpc256_snrp30/inference.log
