snr_db,ap_03,ap_05,ap_07,return_code,log
0.0,0.8020,0.7891,0.6811,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp00/inference.log
2.0,0.8044,0.7907,0.6838,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp02/inference.log
4.0,0.8075,0.7937,0.6844,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp04/inference.log
6.0,0.8089,0.7953,0.6866,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp06/inference.log
8.0,0.8105,0.7964,0.6880,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp08/inference.log
12.0,0.8136,0.7989,0.6877,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp12/inference.log
16.0,0.8158,0.8007,0.6879,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp16/inference.log
20.0,0.8160,0.8010,0.6869,0,experiment_logs/importance_map_jscc/jscc_eval/awgn_L_jscc_snrp20/inference.log
