snr_db,ap_03,ap_05,ap_07,return_code,log
0.0,0.6734,0.6642,0.5924,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp00/inference.log
6.0,0.6733,0.6640,0.5924,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp06/inference.log
8.0,0.6762,0.6662,0.5947,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp08/inference.log
10.0,0.6980,0.6866,0.6092,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp10/inference.log
12.0,0.7219,0.7100,0.6282,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp12/inference.log
16.0,0.7229,0.7111,0.6287,0,experiment_logs/importance_map_jscc/jscc_eval/ofdm_L_ldpc16_snrp16/inference.log
