frame,f1_ego
0,0.9333333333333332
1,0.8695652173913043
2,0.9565217391304348
3,0.9130434782608696
4,0.9090909090909092
5,0.9130434782608696
6,0.9090909090909092
7,0.9333333333333332
8,0.888888888888889
9,0.888888888888889
10,0.8444444444444444
11,0.9090909090909092
12,0.8837209302325582
13,0.8636363636363635
14,0.9090909090909092
15,0.888888888888889
16,0.8837209302325582
17,0.9130434782608696
18,0.9361702127659574
19,0.9361702127659574
20,0.9787234042553192
21,0.8636363636363635
22,0.9333333333333332
23,0.9361702127659574
24,0.9565217391304348
25,0.9130434782608696
26,0.9130434782608696
27,0.8936170212765957
28,0.9130434782608696
29,0.9787234042553192
30,0.9565217391304348
31,0.9787234042553192
32,0.9787234042553192
33,0.9787234042553192
34,0.9787234042553192
35,0.9333333333333332
36,0.9565217391304348
37,0.9545454545454544
38,0.9333333333333332
39,0.9777777777777776
40,0.9777777777777776
41,0.9777777777777776
42,0.9545454545454544
43,0.9777777777777776
44,0.9333333333333332
45,0.9333333333333332
46,0.909090909090909
47,0.909090909090909
48,0.9333333333333332
49,0.9302325581395348
50,0.9302325581395348
51,0.9545454545454544
52,0.9565217391304348
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,0.9777777777777776
61,0.9777777777777776
62,0.8636363636363636
63,0.9268292682926828
64,0.9523809523809524
65,0.9268292682926828
66,0.9523809523809524
67,0.8780487804878049
68,0.9
69,0.8947368421052632
70,0.8947368421052632
71,0.8947368421052632
72,0.8648648648648648
73,0.8947368421052632
74,0.8717948717948718
75,0.8947368421052632
76,0.8421052631578947
77,0.8421052631578947
78,0.8421052631578947
79,0.8421052631578947
80,0.8421052631578947
81,0.8947368421052632
82,0.8947368421052632
83,0.8947368421052632
84,0.8947368421052632
85,0.8947368421052632
86,0.7647058823529412
87,0.8235294117647058
88,0.8571428571428571
89,0.8571428571428571
90,0.851063829787234
91,0.8695652173913043
92,0.9333333333333332
93,0.9333333333333332
94,0.8636363636363636
95,0.8510638297872342
96,0.8695652173913043
97,0.8727272727272727
98,0.7887323943661972
99,0.8311688311688312
100,0.8311688311688312
101,0.846153846153846
102,0.8717948717948718
103,0.8860759493670886
104,0.8051948051948052
105,0.8571428571428571
106,0.8571428571428571
107,0.8311688311688312
108,0.88
109,0.8533333333333333
110,0.8648648648648648
111,0.8378378378378379
112,0.8157894736842105
113,0.868421052631579
114,0.868421052631579
115,0.8717948717948717
116,0.8831168831168831
117,0.875
118,0.9
119,0.9113924050632912
120,0.875
121,0.85
122,0.8717948717948717
123,0.8717948717948717
124,0.8607594936708861
125,0.9113924050632912
126,0.8717948717948717
127,0.9
128,0.8641975308641975
129,0.875
130,0.875
131,0.8717948717948718
132,0.8860759493670886
133,0.8354430379746837
134,0.8421052631578948
135,0.8860759493670887
136,0.8974358974358974
137,0.8571428571428571
138,0.9113924050632912
139,0.8974358974358974
140,0.8421052631578948
141,0.868421052631579
142,0.8533333333333334
143,0.8205128205128205
144,0.8421052631578947
145,0.8333333333333333
146,0.8648648648648648
147,0.88
148,0.8947368421052632
149,0.8533333333333334
150,0.8533333333333334
151,0.8684210526315789
152,0.8684210526315789
153,0.88
154,0.9090909090909092
155,0.8378378378378379
156,0.8333333333333334
157,0.8055555555555556
158,0.8266666666666665
159,0.8055555555555556
160,0.8767123287671234
161,0.8235294117647058
162,0.8529411764705882
163,0.8857142857142858
164,0.8888888888888888
165,0.8529411764705882
166,0.8529411764705882
167,0.8529411764705882
168,0.835820895522388
169,0.8571428571428572
170,0.9014084507042254
171,0.8695652173913044
172,0.8235294117647058
173,0.835820895522388
174,0.8484848484848484
175,0.8181818181818182
176,0.8307692307692307
177,0.8307692307692307
178,0.8253968253968254
179,0.8750000000000001
180,0.7999999999999999
181,0.8787878787878788
182,0.8955223880597014
183,0.787878787878788
184,0.8656716417910447
185,0.8656716417910447
186,0.8125
187,0.8484848484848485
188,0.8253968253968255
189,0.8307692307692307
190,0.7741935483870968
191,0.7692307692307692
192,0.8923076923076922
193,0.8615384615384616
194,0.90625
195,0.8307692307692307
196,0.8656716417910447
197,0.8923076923076922
198,0.8749999999999999
199,0.888888888888889
