budget,candidate_index,cue,sign,feasible,oof_f1,oof_payload
0.1,0,ego_num_objects,1,True,0.8606285170339762,0.1232611570247934
0.1,1,ego_num_objects,-1,True,0.8570927904499542,0.11115289256198346
0.1,2,pcd_num_points,1,True,0.8561271564279156,0.09904462809917358
0.1,3,pcd_num_points,-1,True,0.8606285170339762,0.1232611570247934
0.1,4,pcd_density_0_20,1,True,0.856338867171717,0.11048760330578512
0.1,5,pcd_density_0_20,-1,True,0.86100813728191,0.1424214876033058
0.2,0,ego_num_objects,1,True,0.8619562387970615,0.16357768595041322
0.2,1,ego_num_objects,-1,True,0.8580197217171717,0.1881933884297521
0.2,2,pcd_num_points,1,True,0.8580197217171717,0.1881933884297521
0.2,3,pcd_num_points,-1,True,0.8620913317722683,0.18114132231404959
0.2,4,pcd_density_0_20,1,True,0.8576038837006428,0.16703719008264464
0.2,5,pcd_density_0_20,-1,True,0.8614531462350781,0.18845950413223145
0.3,0,ego_num_objects,1,True,0.8632638897612488,0.28745454545454546
0.3,1,ego_num_objects,-1,True,0.8632638897612488,0.28745454545454546
0.3,2,pcd_num_points,1,True,0.8632638897612488,0.28745454545454546
0.3,3,pcd_num_points,-1,True,0.8631282674471993,0.28599090909090913
0.3,4,pcd_density_0_20,1,True,0.8632638897612488,0.28745454545454546
0.3,5,pcd_density_0_20,-1,True,0.8627047259871441,0.28066859504132236
