realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
0,0.8466425612136569,0.8466425612136569,0.8495948308418036,0.023999999999999997,0.023999999999999997,0.07669090909090907,0.0,0.0,-0.002952269628146764,-0.05269090909090908
1,0.8466425612136569,0.8466425612136569,0.8498241608623333,0.023999999999999997,0.023999999999999997,0.07317818181818182,0.0,0.0,-0.00318159964867637,-0.04917818181818183
2,0.8466425612136569,0.8466425612136569,0.8510281552630553,0.023999999999999997,0.023999999999999997,0.09601090909090909,0.0,0.0,-0.0043855940493984225,-0.0720109090909091
3,0.8466425612136569,0.8466425612136569,0.8489650352036895,0.023999999999999997,0.023999999999999997,0.06615272727272728,0.0,0.0,-0.002322473990032603,-0.042152727272727286
4,0.8466425612136569,0.8466425612136569,0.8494204607410318,0.023999999999999997,0.023999999999999997,0.08020363636363635,0.0,0.0,-0.0027778995273749496,-0.05620363636363636
5,0.8466425612136569,0.8466425612136569,0.8486284899749688,0.023999999999999997,0.023999999999999997,0.07142181818181818,0.0,0.0,-0.0019859287613118726,-0.04742181818181819
6,0.8466425612136569,0.8466425612136569,0.8492978926055434,0.023999999999999997,0.023999999999999997,0.060883636363636355,0.0,0.0,-0.0026553313918865618,-0.036883636363636355
7,0.8466425612136569,0.8466425612136569,0.8497629783880455,0.023999999999999997,0.023999999999999997,0.08020363636363635,0.0,0.0,-0.003120417174388601,-0.05620363636363636
8,0.8466425612136569,0.8466425612136569,0.8514720044177718,0.023999999999999997,0.023999999999999997,0.09249818181818183,0.0,0.0,-0.004829443204114936,-0.06849818181818183
9,0.8466425612136569,0.8467227279604902,0.8495241812459211,0.023999999999999997,0.02575636363636363,0.08196,-8.016674683331004e-05,-0.0017563636363636323,-0.0028816200322642205,-0.05796000000000001
10,0.8466425612136569,0.8466425612136569,0.8492984206341525,0.023999999999999997,0.023999999999999997,0.06264,0.0,0.0,-0.002655859420495621,-0.03864000000000001
11,0.8466425612136569,0.8467926333637291,0.8513514920563483,0.023999999999999997,0.02575636363636363,0.07844727272727273,-0.0001500721500722335,-0.0017563636363636323,-0.004708930842691417,-0.05444727272727273
12,0.8466425612136569,0.8467926333637291,0.8508084947604087,0.023999999999999997,0.02575636363636363,0.07142181818181817,-0.0001500721500722335,-0.0017563636363636323,-0.0041659335467517655,-0.047421818181818176
13,0.8466425612136569,0.8466425612136569,0.8498242862680294,0.023999999999999997,0.023999999999999997,0.0679090909090909,0.0,0.0,-0.0031817250543725306,-0.04390909090909091
14,0.8466425612136569,0.8467926333637291,0.8494511198357233,0.023999999999999997,0.02575636363636363,0.0679090909090909,-0.0001500721500722335,-0.0017563636363636323,-0.002808558622066415,-0.04390909090909091
15,0.8466425612136569,0.8466425612136569,0.8490318301403369,0.023999999999999997,0.023999999999999997,0.06439636363636363,0.0,0.0,-0.0023892689266800105,-0.04039636363636363
16,0.8466425612136569,0.8466425612136569,0.8514584389826744,0.023999999999999997,0.023999999999999997,0.08371636363636364,0.0,0.0,-0.004815877769017485,-0.05971636363636365
17,0.8466425612136569,0.8466425612136569,0.8505800403831122,0.023999999999999997,0.023999999999999997,0.06966545454545454,0.0,0.0,-0.003937479169455305,-0.04566545454545455
18,0.8466425612136569,0.8466425612136569,0.8499260174253452,0.023999999999999997,0.023999999999999997,0.07669090909090909,0.0,0.0,-0.0032834562116883514,-0.052690909090909094
19,0.8466425612136569,0.8467227279604902,0.8488017804087368,0.023999999999999997,0.02575636363636363,0.08020363636363635,-8.016674683331004e-05,-0.0017563636363636323,-0.0021592191950798867,-0.05620363636363636
20,0.8466425612136569,0.8466425612136569,0.8488635222971765,0.023999999999999997,0.023999999999999997,0.06966545454545454,0.0,0.0,-0.002220961083519657,-0.04566545454545455
21,0.8466425612136569,0.8466425612136569,0.8484954626149421,0.023999999999999997,0.023999999999999997,0.05912727272727272,0.0,0.0,-0.0018529014012852452,-0.03512727272727273
22,0.8466425612136569,0.8466425612136569,0.8503453031969181,0.023999999999999997,0.023999999999999997,0.08020363636363637,0.0,0.0,-0.0037027419832612596,-0.05620363636363637
23,0.8466425612136569,0.8466425612136569,0.8485615838720795,0.023999999999999997,0.023999999999999997,0.060883636363636355,0.0,0.0,-0.0019190226584225867,-0.036883636363636355
24,0.8466425612136569,0.8466425612136569,0.8499037764083694,0.023999999999999997,0.023999999999999997,0.07844727272727273,0.0,0.0,-0.0032612151947125634,-0.05444727272727273
25,0.8466425612136569,0.8467227279604902,0.8512517796072403,0.023999999999999997,0.02575636363636363,0.09074181818181819,-8.016674683331004e-05,-0.0017563636363636323,-0.004609218393583414,-0.0667418181818182
26,0.8466425612136569,0.8466425612136569,0.8483979026190629,0.023999999999999997,0.023999999999999997,0.06264,0.0,0.0,-0.001755341405406008,-0.03864000000000001
27,0.8466425612136569,0.8466425612136569,0.8485292810825247,0.023999999999999997,0.023999999999999997,0.06264,0.0,0.0,-0.0018867198688677922,-0.03864000000000001
28,0.8466425612136569,0.8466425612136569,0.8486771662104633,0.023999999999999997,0.023999999999999997,0.06088363636363637,0.0,0.0,-0.0020346049968064106,-0.03688363636363637
29,0.8466425612136569,0.8466425612136569,0.8507265611794403,0.023999999999999997,0.023999999999999997,0.08195999999999999,0.0,0.0,-0.004083999965783458,-0.05796
30,0.8466425612136569,0.8466425612136569,0.8496462794334173,0.023999999999999997,0.023999999999999997,0.07844727272727273,0.0,0.0,-0.0030037182197604206,-0.05444727272727273
31,0.8466425612136569,0.8466425612136569,0.8491490243128331,0.023999999999999997,0.023999999999999997,0.07142181818181817,0.0,0.0,-0.002506463099176237,-0.047421818181818176
32,0.8466425612136569,0.8466425612136569,0.8502727877793681,0.023999999999999997,0.023999999999999997,0.07493454545454545,0.0,0.0,-0.0036302265657112143,-0.050934545454545455
33,0.8466425612136569,0.8466425612136569,0.8488215435660161,0.023999999999999997,0.023999999999999997,0.06439636363636364,0.0,0.0,-0.002178982352359249,-0.04039636363636365
34,0.8466425612136569,0.8466425612136569,0.8494573727144833,0.023999999999999997,0.023999999999999997,0.07493454545454545,0.0,0.0,-0.0028148115008264085,-0.050934545454545455
35,0.8466425612136569,0.8466425612136569,0.8498805454696676,0.023999999999999997,0.023999999999999997,0.07844727272727273,0.0,0.0,-0.0032379842560107397,-0.05444727272727273
36,0.8466425612136569,0.8467926333637291,0.8497822212332183,0.023999999999999997,0.02575636363636363,0.0679090909090909,-0.0001500721500722335,-0.0017563636363636323,-0.003139660019561452,-0.04390909090909091
37,0.8466425612136569,0.8466425612136569,0.8495010994338146,0.023999999999999997,0.023999999999999997,0.0731781818181818,0.0,0.0,-0.0028585382201576914,-0.0491781818181818
38,0.8466425612136569,0.8466425612136569,0.8499505909740852,0.023999999999999997,0.023999999999999997,0.08196,0.0,0.0,-0.0033080297604283215,-0.05796000000000001
39,0.8466425612136569,0.8466425612136569,0.8497916594386842,0.023999999999999997,0.023999999999999997,0.07317818181818182,0.0,0.0,-0.0031490982250272914,-0.04917818181818183
40,0.8466425612136569,0.8466425612136569,0.8500167957698449,0.023999999999999997,0.023999999999999997,0.07142181818181817,0.0,0.0,-0.003374234556188016,-0.047421818181818176
41,0.8466425612136569,0.8467926333637291,0.8485082053161407,0.023999999999999997,0.02575636363636363,0.0573709090909091,-0.0001500721500722335,-0.0017563636363636323,-0.0018656441024837989,-0.033370909090909104
42,0.8466425612136569,0.8467227279604902,0.8487501866898617,0.023999999999999997,0.02575636363636363,0.07844727272727273,-8.016674683331004e-05,-0.0017563636363636323,-0.0021076254762047997,-0.05444727272727273
43,0.8466425612136569,0.8466425612136569,0.8483096669590545,0.023999999999999997,0.023999999999999997,0.06615272727272728,0.0,0.0,-0.0016671057453976346,-0.042152727272727286
44,0.8466425612136569,0.8466425612136569,0.8482730982494424,0.023999999999999997,0.023999999999999997,0.04858909090909091,0.0,0.0,-0.0016305370357855287,-0.02458909090909091
45,0.8466425612136569,0.8467926333637291,0.8503479131581764,0.023999999999999997,0.02575636363636363,0.07493454545454545,-0.0001500721500722335,-0.0017563636363636323,-0.003705351944519486,-0.050934545454545455
46,0.8466425612136569,0.8466425612136569,0.8493455154908254,0.023999999999999997,0.023999999999999997,0.06264,0.0,0.0,-0.00270295427716849,-0.03864000000000001
47,0.8466425612136569,0.8466425612136569,0.8489254070297627,0.023999999999999997,0.023999999999999997,0.0573709090909091,0.0,0.0,-0.0022828458161058274,-0.033370909090909104
48,0.8466425612136569,0.8466425612136569,0.8492688618663281,0.023999999999999997,0.023999999999999997,0.07142181818181817,0.0,0.0,-0.0026263006526712207,-0.047421818181818176
49,0.8466425612136569,0.8466425612136569,0.8488895495417277,0.023999999999999997,0.023999999999999997,0.0679090909090909,0.0,0.0,-0.002246988328070798,-0.04390909090909091
50,0.8466425612136569,0.8466425612136569,0.8485214449031776,0.023999999999999997,0.023999999999999997,0.06439636363636364,0.0,0.0,-0.0018788836895207162,-0.04039636363636365
51,0.8466425612136569,0.8466425612136569,0.8487043598693981,0.023999999999999997,0.023999999999999997,0.05385818181818182,0.0,0.0,-0.002061798655741187,-0.029858181818181822
52,0.8466425612136569,0.8466425612136569,0.85056517572913,0.023999999999999997,0.023999999999999997,0.07317818181818182,0.0,0.0,-0.003922614515473155,-0.04917818181818183
53,0.8466425612136569,0.8466425612136569,0.8507098335787432,0.023999999999999997,0.023999999999999997,0.07317818181818181,0.0,0.0,-0.004067272365086305,-0.049178181818181815
54,0.8466425612136569,0.8466425612136569,0.8497854857341515,0.023999999999999997,0.023999999999999997,0.07669090909090907,0.0,0.0,-0.0031429245204945833,-0.05269090909090908
55,0.8466425612136569,0.8466425612136569,0.8490562673760232,0.023999999999999997,0.023999999999999997,0.06263999999999999,0.0,0.0,-0.002413706162366358,-0.038639999999999994
56,0.8466425612136569,0.8466425612136569,0.8485175476947802,0.023999999999999997,0.023999999999999997,0.06264,0.0,0.0,-0.0018749864811232753,-0.03864000000000001
57,0.8466425612136569,0.8466425612136569,0.8490011255567708,0.023999999999999997,0.023999999999999997,0.07142181818181817,0.0,0.0,-0.002358564343113878,-0.047421818181818176
58,0.8466425612136569,0.8466425612136569,0.8493775817048366,0.023999999999999997,0.023999999999999997,0.07844727272727273,0.0,0.0,-0.002735020491179685,-0.05444727272727273
59,0.8466425612136569,0.8466425612136569,0.8494104607508828,0.023999999999999997,0.023999999999999997,0.06088363636363637,0.0,0.0,-0.002767899537225893,-0.03688363636363637
60,0.8466425612136569,0.8466425612136569,0.8509310197611673,0.023999999999999997,0.023999999999999997,0.08898545454545453,0.0,0.0,-0.004288458547510365,-0.06498545454545454
