budget,candidate_index,cue,sign,feasible,oof_f1,oof_payload
0.1,0,ego_num_objects,1,True,0.855384348989899,0.024000000000000007
0.1,1,ego_num_objects,-1,True,0.855384348989899,0.024000000000000007
0.1,2,pcd_num_points,1,True,0.855384348989899,0.024000000000000007
0.1,3,pcd_num_points,-1,True,0.855384348989899,0.024000000000000007
0.1,4,pcd_density_0_20,1,True,0.855384348989899,0.024000000000000007
0.1,5,pcd_density_0_20,-1,True,0.855384348989899,0.024000000000000007
0.2,0,ego_num_objects,1,True,0.855384348989899,0.024000000000000007
0.2,1,ego_num_objects,-1,True,0.855384348989899,0.024000000000000007
0.2,2,pcd_num_points,1,True,0.855384348989899,0.024000000000000007
0.2,3,pcd_num_points,-1,True,0.855384348989899,0.024000000000000007
0.2,4,pcd_density_0_20,1,True,0.855384348989899,0.024000000000000007
0.2,5,pcd_density_0_20,-1,True,0.855384348989899,0.024000000000000007
0.3,0,ego_num_objects,1,True,0.8632638897612488,0.28745454545454546
0.3,1,ego_num_objects,-1,True,0.8632638897612488,0.28745454545454546
0.3,2,pcd_num_points,1,True,0.8632638897612488,0.28745454545454546
0.3,3,pcd_num_points,-1,True,0.8632638897612488,0.28745454545454546
0.3,4,pcd_density_0_20,1,True,0.8632638897612488,0.28745454545454546
0.3,5,pcd_density_0_20,-1,True,0.8632638897612488,0.28745454545454546
