realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
0,0.8553843390405904,0.8608280904017169,0.8567865412292448,0.024000000000000004,0.0817909090909091,0.07278787878787879,-0.005443751361126514,-0.05779090909090909,-0.001402202188654389,-0.04878787878787878
1,0.8553843390405904,0.8605948814307881,0.8567059278979888,0.024000000000000004,0.07838787878787878,0.06986060606060607,-0.005210542390197692,-0.05438787878787878,-0.0013215888573984147,-0.04586060606060606
2,0.8553843390405904,0.8605623443251611,0.8570470094307011,0.024000000000000004,0.07692424242424242,0.0762030303030303,-0.005178005284570686,-0.052924242424242415,-0.0016626703901106987,-0.05220303030303029
3,0.8553843390405904,0.8608384425291534,0.8564747499406024,0.024000000000000004,0.08179090909090911,0.06546969696969698,-0.005454103488563011,-0.0577909090909091,-0.00109041090001194,-0.041469696969696976
4,0.8553843390405904,0.861126462479173,0.8567562578897356,0.024000000000000004,0.08081515151515152,0.0723,-0.0057421234385826025,-0.05681515151515151,-0.001371918849145226,-0.048299999999999996
5,0.8553843390405904,0.8605265971925862,0.8569378372335007,0.024000000000000004,0.07837575757575757,0.07034848484848485,-0.00514225815199576,-0.05437575757575756,-0.0015534981929102853,-0.04634848484848485
6,0.8553843390405904,0.8608817886663757,0.8567580533015033,0.024000000000000004,0.08276666666666667,0.07522727272727274,-0.0054974496257852445,-0.05876666666666666,-0.0013737142609129283,-0.05122727272727273
7,0.8553843390405904,0.8609212444789217,0.8570454558069459,0.024000000000000004,0.0802909090909091,0.06937272727272728,-0.0055369054383312966,-0.056290909090909086,-0.001661116766355497,-0.04537272727272727
8,0.8553843390405904,0.8604118841275182,0.8564568884314497,0.024000000000000004,0.07446060606060607,0.07181212121212122,-0.00502754508692782,-0.05046060606060607,-0.001072549390859323,-0.04781212121212121
9,0.8553843390405904,0.8606974037054704,0.8566363002353472,0.024000000000000004,0.07594848484848483,0.06546969696969697,-0.005313064664880018,-0.05194848484848483,-0.00125196119475679,-0.04146969696969696
10,0.8553843390405904,0.8618739325157122,0.8571392286267969,0.024000000000000004,0.0905848484848485,0.07132424242424244,-0.006489593475121791,-0.0665848484848485,-0.0017548895862065095,-0.047324242424242435
11,0.8553843390405904,0.8612402341927138,0.8563384851207596,0.024000000000000004,0.08275454545454546,0.06546969696969697,-0.005855895152123369,-0.05875454545454545,-0.0009541460801691937,-0.04146969696969696
12,0.8553843390405904,0.8607659448641398,0.856749899145033,0.024000000000000004,0.07937575757575759,0.07522727272727273,-0.005381605823549407,-0.05537575757575758,-0.0013655601044425536,-0.05122727272727272
13,0.8553843390405904,0.8612003521095959,0.8566939675584613,0.024000000000000004,0.08277878787878787,0.07132424242424242,-0.005816013069005477,-0.05877878787878786,-0.0013096285178708644,-0.04732424242424241
14,0.8553843390405904,0.8610688899564535,0.8571136186240741,0.024000000000000004,0.08131515151515152,0.06986060606060607,-0.0056845509158630625,-0.05731515151515151,-0.0017292795834836783,-0.04586060606060606
15,0.8553843390405904,0.8607515945810017,0.8568210648206499,0.024000000000000004,0.07646060606060606,0.06937272727272728,-0.0053672555404112865,-0.052460606060606055,-0.001436725780059489,-0.04537272727272727
16,0.8553843390405904,0.8616370203986384,0.856993822605332,0.024000000000000004,0.08819393939393941,0.0723,-0.006252681358048018,-0.0641939393939394,-0.001609483564741554,-0.048299999999999996
17,0.8553843390405904,0.8616896763504339,0.85682925616301,0.024000000000000004,0.08668181818181818,0.06839696969696969,-0.006305337309843506,-0.06268181818181817,-0.0014449171224195645,-0.044396969696969685
18,0.8553843390405904,0.8611987674603873,0.8565081894288807,0.024000000000000004,0.08081515151515152,0.06790909090909092,-0.0058144284197968465,-0.05681515151515151,-0.0011238503882903261,-0.04390909090909091
19,0.8553843390405904,0.8612497320564111,0.8568548352754611,0.024000000000000004,0.08325454545454547,0.06644545454545456,-0.005865393015820675,-0.05925454545454546,-0.0014704962348707218,-0.04244545454545455
20,0.8553843390405904,0.861096304377493,0.8572481926702622,0.024000000000000004,0.08424242424242424,0.07473939393939394,-0.005711965336902547,-0.060242424242424236,-0.0018638536296717856,-0.05073939393939393
21,0.8553843390405904,0.8613897357182752,0.8564679589621902,0.024000000000000004,0.08621818181818183,0.06449393939393941,-0.006005396677684738,-0.062218181818181825,-0.0010836199215997766,-0.0404939393939394
