metric,mean,ci_lo,ci_hi
rf_f1,0.8836785509863025,0.8742731124953711,0.8938605752457307
rf_rho,0.3526,0.29333333333333333,0.41
or_f1,0.8960298360505256,0.886565990255945,0.9068194752917049
L_f1,0.8678981004804549,0.8571966173820006,0.8787132741634365
best_thr_f1,0.8685456389587796,0.8575661497997505,0.8795920929665412
edge,0.01513291202752292,0.010492016461876785,0.019345477120151347
