snr_db,rf_frac_L,rf_AP,oracle_AP,jscc_AP,fixed_L_AP,rf_payload_Mbit
0.0,1.0,0.76,0.76,0.7147,0.76,0.024
2.0,1.0,0.76,0.76,0.7222,0.76,0.024
4.0,1.0,0.76,0.76,0.7332,0.76,0.024
6.0,1.0,0.76,0.76,0.7364,0.76,0.024
8.0,1.0,0.76,0.76,0.7396,0.76,0.024
10.0,1.0,0.76,0.76,0.7403500000000001,0.76,0.024
12.0,0.9085858585858586,0.7582722727272727,0.76,0.7411,0.76,0.20280606060606057
14.0,0.3313131313131313,0.7469606060606061,0.76,0.7404999999999999,0.76,1.331951515151515
16.0,0.3257575757575757,0.7464477272727272,0.76,0.7399,0.76,1.342818181818182
18.0,0.3257575757575757,0.7459757575757576,0.76,0.7392000000000001,0.76,1.342818181818182
20.0,0.3621212121212121,0.7462856060606062,0.76,0.7385,0.76,1.2716909090909092
