fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_23_19_42_07,7,400,10.0,2,sqrt,balanced,0.0,57,0.728071,0.131077
2021_09_09_19_27_35,7,400,10.0,2,sqrt,balanced,0.0,459,0.748672,0.291532
2021_09_11_00_33_16,7,400,10.0,2,sqrt,balanced,0.0,746,0.874625,0.024
2021_08_20_21_48_35,8,400,10.0,2,sqrt,balanced,0.02,112,0.948259,0.09704
2021_08_21_17_30_41,8,400,10.0,2,sqrt,balanced,0.02,157,0.944565,0.198797
2021_08_22_13_37_16,8,400,10.0,2,sqrt,balanced,0.02,135,0.970833,0.023685
2021_08_22_22_01_17,8,400,10.0,2,sqrt,balanced,0.02,202,0.983238,0.032172
2021_08_23_10_51_24,8,400,10.0,2,sqrt,balanced,0.02,64,0.895801,0.147494
2021_08_23_13_17_21,8,400,10.0,2,sqrt,balanced,0.02,48,0.898673,0.032091
2021_08_23_19_42_07,8,400,10.0,2,sqrt,balanced,0.02,57,0.726949,0.029392
2021_09_09_19_27_35,8,400,10.0,2,sqrt,balanced,0.02,459,0.75066,0.271252
2021_09_11_00_33_16,8,400,10.0,2,sqrt,balanced,0.02,746,0.874625,0.024
2021_08_20_21_48_35,9,400,10.0,2,sqrt,balanced,0.05,112,0.951438,0.07575
2021_08_21_17_30_41,9,400,10.0,2,sqrt,balanced,0.05,157,0.935401,0.028475
2021_08_22_13_37_16,9,400,10.0,2,sqrt,balanced,0.05,135,0.970117,0.022844
2021_08_22_22_01_17,9,400,10.0,2,sqrt,balanced,0.05,202,0.985591,0.023703
2021_08_23_10_51_24,9,400,10.0,2,sqrt,balanced,0.05,64,0.890539,0.052129
2021_08_23_13_17_21,9,400,10.0,2,sqrt,balanced,0.05,48,0.907791,0.024915
2021_08_23_19_42_07,9,400,10.0,2,sqrt,balanced,0.05,57,0.727259,0.024
2021_09_09_19_27_35,9,400,10.0,2,sqrt,balanced,0.05,459,0.743428,0.04802
2021_09_11_00_33_16,9,400,10.0,2,sqrt,balanced,0.05,746,0.874625,0.024
2021_08_20_21_48_35,10,400,10.0,2,sqrt,balanced,0.1,112,0.94998,0.024
2021_08_21_17_30_41,10,400,10.0,2,sqrt,balanced,0.1,157,0.935202,0.024
2021_08_22_13_37_16,10,400,10.0,2,sqrt,balanced,0.1,135,0.971026,0.023871
2021_08_22_22_01_17,10,400,10.0,2,sqrt,balanced,0.1,202,0.981056,0.022061
2021_08_23_10_51_24,10,400,10.0,2,sqrt,balanced,0.1,64,0.888301,0.024
2021_08_23_13_17_21,10,400,10.0,2,sqrt,balanced,0.1,48,0.902225,0.022727
2021_08_23_19_42_07,10,400,10.0,2,sqrt,balanced,0.1,57,0.727259,0.024
2021_09_09_19_27_35,10,400,10.0,2,sqrt,balanced,0.1,459,0.745803,0.024
2021_09_11_00_33_16,10,400,10.0,2,sqrt,balanced,0.1,746,0.874625,0.024
2021_08_20_21_48_35,11,400,10.0,2,sqrt,balanced,0.2,112,0.94998,0.024
2021_08_21_17_30_41,11,400,10.0,2,sqrt,balanced,0.2,157,0.935202,0.024
2021_08_22_13_37_16,11,400,10.0,2,sqrt,balanced,0.2,135,0.970929,0.023822
2021_08_22_22_01_17,11,400,10.0,2,sqrt,balanced,0.2,202,0.986746,0.02387
2021_08_23_10_51_24,11,400,10.0,2,sqrt,balanced,0.2,64,0.888301,0.024
2021_08_23_13_17_21,11,400,10.0,2,sqrt,balanced,0.2,48,0.907653,0.024
2021_08_23_19_42_07,11,400,10.0,2,sqrt,balanced,0.2,57,0.727259,0.024
2021_09_09_19_27_35,11,400,10.0,2,sqrt,balanced,0.2,459,0.745803,0.024
2021_09_11_00_33_16,11,400,10.0,2,sqrt,balanced,0.2,746,0.874625,0.024
2021_08_20_21_48_35,12,400,10.0,2,sqrt,balanced,0.35,112,0.94998,0.024
2021_08_21_17_30_41,12,400,10.0,2,sqrt,balanced,0.35,157,0.935202,0.024
2021_08_22_13_37_16,12,400,10.0,2,sqrt,balanced,0.35,135,0.971194,0.023644
2021_08_22_22_01_17,12,400,10.0,2,sqrt,balanced,0.35,202,0.977437,0.021149
2021_08_23_10_51_24,12,400,10.0,2,sqrt,balanced,0.35,64,0.888301,0.024
2021_08_23_13_17_21,12,400,10.0,2,sqrt,balanced,0.35,48,0.907653,0.024
2021_08_23_19_42_07,12,400,10.0,2,sqrt,balanced,0.35,57,0.727259,0.024
2021_09_09_19_27_35,12,400,10.0,2,sqrt,balanced,0.35,459,0.745145,0.023948
2021_09_11_00_33_16,12,400,10.0,2,sqrt,balanced,0.35,746,0.874625,0.024
2021_08_20_21_48_35,13,400,10.0,2,sqrt,balanced,0.5,112,0.94998,0.024
2021_08_21_17_30_41,13,400,10.0,2,sqrt,balanced,0.5,157,0.935202,0.024
2021_08_22_13_37_16,13,400,10.0,2,sqrt,balanced,0.5,135,0.971282,0.024
2021_08_22_22_01_17,13,400,10.0,2,sqrt,balanced,0.5,202,0.980879,0.022218
2021_08_23_10_51_24,13,400,10.0,2,sqrt,balanced,0.5,64,0.888301,0.024
2021_08_23_13_17_21,13,400,10.0,2,sqrt,balanced,0.5,48,0.907653,0.024
2021_08_23_19_42_07,13,400,10.0,2,sqrt,balanced,0.5,57,0.727259,0.024
2021_09_09_19_27_35,13,400,10.0,2,sqrt,balanced,0.5,459,0.745803,0.024
2021_09_11_00_33_16,13,400,10.0,2,sqrt,balanced,0.5,746,0.874625,0.024
2021_08_20_21_48_35,14,400,10.0,2,0.5,,0.0,112,0.955349,0.253347
2021_08_21_17_30_41,14,400,10.0,2,0.5,,0.0,157,0.944209,0.278785
2021_08_22_13_37_16,14,400,10.0,2,0.5,,0.0,135,0.964757,0.019992
2021_08_22_22_01_17,14,400,10.0,2,0.5,,0.0,202,0.97975,0.175103
2021_08_23_10_51_24,14,400,10.0,2,0.5,,0.0,64,0.895801,0.147494
2021_08_23_13_17_21,14,400,10.0,2,0.5,,0.0,48,0.908479,0.029489
2021_08_23_19_42_07,14,400,10.0,2,0.5,,0.0,57,0.724627,0.04711
2021_09_09_19_27_35,14,400,10.0,2,0.5,,0.0,459,0.715631,0.287146
2021_09_11_00_33_16,14,400,10.0,2,0.5,,0.0,746,0.838768,0.02854
2021_08_20_21_48_35,15,400,10.0,2,0.5,,0.02,112,0.955592,0.241154
2021_08_21_17_30_41,15,400,10.0,2,0.5,,0.02,157,0.944774,0.20523
2021_08_22_13_37_16,15,400,10.0,2,0.5,,0.02,135,0.967191,0.020881
2021_08_22_22_01_17,15,400,10.0,2,0.5,,0.02,202,0.983319,0.023309
2021_08_23_10_51_24,15,400,10.0,2,0.5,,0.02,64,0.893346,0.09398
2021_08_23_13_17_21,15,400,10.0,2,0.5,,0.02,48,0.907653,0.024
2021_08_23_19_42_07,15,400,10.0,2,0.5,,0.02,57,0.716257,0.16266
2021_09_09_19_27_35,15,400,10.0,2,0.5,,0.02,459,0.730517,0.277825
2021_09_11_00_33_16,15,400,10.0,2,0.5,,0.02,746,0.830201,0.000494
2021_08_20_21_48_35,16,400,10.0,2,0.5,,0.05,112,0.952637,0.108682
2021_08_21_17_30_41,16,400,10.0,2,0.5,,0.05,157,0.944267,0.14482
2021_08_22_13_37_16,16,400,10.0,2,0.5,,0.05,135,0.966543,0.020735
2021_08_22_22_01_17,16,400,10.0,2,0.5,,0.05,202,0.983508,0.023325
2021_08_23_10_51_24,16,400,10.0,2,0.5,,0.05,64,0.891793,0.063793
2021_08_23_13_17_21,16,400,10.0,2,0.5,,0.05,48,0.907653,0.024
2021_08_23_19_42_07,16,400,10.0,2,0.5,,0.05,57,0.727259,0.024
2021_09_09_19_27_35,16,400,10.0,2,0.5,,0.05,459,0.709345,0.229059
2021_09_11_00_33_16,16,400,10.0,2,0.5,,0.05,746,0.828022,0.0
2021_08_20_21_48_35,17,400,10.0,2,0.5,,0.1,112,0.949117,0.023854
2021_08_21_17_30_41,17,400,10.0,2,0.5,,0.1,157,0.935202,0.024
2021_08_22_13_37_16,17,400,10.0,2,0.5,,0.1,135,0.971072,0.023903
2021_08_22_22_01_17,17,400,10.0,2,0.5,,0.1,202,0.980202,0.022666
2021_08_23_10_51_24,17,400,10.0,2,0.5,,0.1,64,0.888301,0.024
2021_08_23_13_17_21,17,400,10.0,2,0.5,,0.1,48,0.907653,0.024
2021_08_23_19_42_07,17,400,10.0,2,0.5,,0.1,57,0.726824,0.023885
2021_09_09_19_27_35,17,400,10.0,2,0.5,,0.1,459,0.688198,0.019026
2021_09_11_00_33_16,17,400,10.0,2,0.5,,0.1,746,0.828022,0.0
2021_08_20_21_48_35,18,400,10.0,2,0.5,,0.2,112,0.948714,0.023786
2021_08_21_17_30_41,18,400,10.0,2,0.5,,0.2,157,0.935202,0.024
2021_08_22_13_37_16,18,400,10.0,2,0.5,,0.2,135,0.969429,0.022578
2021_08_22_22_01_17,18,400,10.0,2,0.5,,0.2,202,0.977866,0.02103
2021_08_23_10_51_24,18,400,10.0,2,0.5,,0.2,64,0.888301,0.024
2021_08_23_13_17_21,18,400,10.0,2,0.5,,0.2,48,0.907653,0.024
2021_08_23_19_42_07,18,400,10.0,2,0.5,,0.2,57,0.727259,0.024
2021_09_09_19_27_35,18,400,10.0,2,0.5,,0.2,459,0.665971,0.017046
2021_09_11_00_33_16,18,400,10.0,2,0.5,,0.2,746,0.830399,0.000547
2021_08_20_21_48_35,19,400,10.0,2,0.5,,0.35,112,0.945532,0.022929
2021_08_21_17_30_41,19,400,10.0,2,0.5,,0.35,157,0.935202,0.024
2021_08_22_13_37_16,19,400,10.0,2,0.5,,0.35,135,0.968812,0.022222
2021_08_22_22_01_17,19,400,10.0,2,0.5,,0.35,202,0.978605,0.021861
2021_08_23_10_51_24,19,400,10.0,2,0.5,,0.35,64,0.888301,0.024
2021_08_23_13_17_21,19,400,10.0,2,0.5,,0.35,48,0.907653,0.024
2021_08_23_19_42_07,19,400,10.0,2,0.5,,0.35,57,0.727259,0.024
2021_09_09_19_27_35,19,400,10.0,2,0.5,,0.35,459,0.66156,0.016575
2021_09_11_00_33_16,19,400,10.0,2,0.5,,0.35,746,0.872041,0.023389
2021_08_20_21_48_35,20,400,10.0,2,0.5,,0.5,112,0.946828,0.023357
2021_08_21_17_30_41,20,400,10.0,2,0.5,,0.5,157,0.935202,0.024
2021_08_22_13_37_16,20,400,10.0,2,0.5,,0.5,135,0.970273,0.022044
2021_08_22_22_01_17,20,400,10.0,2,0.5,,0.5,202,0.974593,0.020792
2021_08_23_10_51_24,20,400,10.0,2,0.5,,0.5,64,0.888301,0.024
2021_08_23_13_17_21,20,400,10.0,2,0.5,,0.5,48,0.907653,0.024
2021_08_23_19_42_07,20,400,10.0,2,0.5,,0.5,57,0.727259,0.024
2021_09_09_19_27_35,20,400,10.0,2,0.5,,0.5,459,0.696513,0.019608
2021_09_11_00_33_16,20,400,10.0,2,0.5,,0.5,746,0.874625,0.024
2021_08_20_21_48_35,21,400,10.0,2,0.5,balanced,0.0,112,0.946843,0.238768
2021_08_21_17_30_41,21,400,10.0,2,0.5,balanced,0.0,157,0.944296,0.280742
2021_08_22_13_37_16,21,400,10.0,2,0.5,balanced,0.0,135,0.969155,0.022739
2021_08_22_22_01_17,21,400,10.0,2,0.5,balanced,0.0,202,0.981866,0.068109
2021_08_23_10_51_24,21,400,10.0,2,0.5,balanced,0.0,64,0.896025,0.152983
2021_08_23_13_17_21,21,400,10.0,2,0.5,balanced,0.0,48,0.878801,0.051028
2021_08_23_19_42_07,21,400,10.0,2,0.5,balanced,0.0,57,0.729476,0.111742
2021_09_09_19_27_35,21,400,10.0,2,0.5,balanced,0.0,459,0.74849,0.207646
2021_09_11_00_33_16,21,400,10.0,2,0.5,balanced,0.0,746,0.874625,0.024
2021_08_20_21_48_35,22,400,10.0,2,0.5,balanced,0.02,112,0.946805,0.232955
2021_08_21_17_30_41,22,400,10.0,2,0.5,balanced,0.02,157,0.944815,0.210264
2021_08_22_13_37_16,22,400,10.0,2,0.5,balanced,0.02,135,0.967154,0.021406
2021_08_22_22_01_17,22,400,10.0,2,0.5,balanced,0.02,202,0.981224,0.046358
2021_08_23_10_51_24,22,400,10.0,2,0.5,balanced,0.02,64,0.896034,0.151611
2021_08_23_13_17_21,22,400,10.0,2,0.5,balanced,0.02,48,0.877479,0.038886
2021_08_23_19_42_07,22,400,10.0,2,0.5,balanced,0.02,57,0.726757,0.023923
2021_09_09_19_27_35,22,400,10.0,2,0.5,balanced,0.02,459,0.750689,0.276896
2021_09_11_00_33_16,22,400,10.0,2,0.5,balanced,0.02,746,0.874625,0.024
2021_08_20_21_48_35,23,400,10.0,2,0.5,balanced,0.05,112,0.938529,0.203401
2021_08_21_17_30_41,23,400,10.0,2,0.5,balanced,0.05,157,0.944524,0.215019
2021_08_22_13_37_16,23,400,10.0,2,0.5,balanced,0.05,135,0.967116,0.021907
2021_08_22_22_01_17,23,400,10.0,2,0.5,balanced,0.05,202,0.981964,0.04795
2021_08_23_10_51_24,23,400,10.0,2,0.5,balanced,0.05,64,0.894434,0.116621
2021_08_23_13_17_21,23,400,10.0,2,0.5,balanced,0.05,48,0.877688,0.022466
2021_08_23_19_42_07,23,400,10.0,2,0.5,balanced,0.05,57,0.727259,0.024
2021_09_09_19_27_35,23,400,10.0,2,0.5,balanced,0.05,459,0.741383,0.052371
2021_09_11_00_33_16,23,400,10.0,2,0.5,balanced,0.05,746,0.874625,0.024
2021_08_20_21_48_35,24,400,10.0,2,0.5,balanced,0.1,112,0.935555,0.059951
2021_08_21_17_30_41,24,400,10.0,2,0.5,balanced,0.1,157,0.935202,0.024
2021_08_22_13_37_16,24,400,10.0,2,0.5,balanced,0.1,135,0.968379,0.022335
2021_08_22_22_01_17,24,400,10.0,2,0.5,balanced,0.1,202,0.980708,0.022234
2021_08_23_10_51_24,24,400,10.0,2,0.5,balanced,0.1,64,0.88892,0.02743
2021_08_23_13_17_21,24,400,10.0,2,0.5,balanced,0.1,48,0.877543,0.022693
2021_08_23_19_42_07,24,400,10.0,2,0.5,balanced,0.1,57,0.727259,0.024
2021_09_09_19_27_35,24,400,10.0,2,0.5,balanced,0.1,459,0.744434,0.023876
2021_09_11_00_33_16,24,400,10.0,2,0.5,balanced,0.1,746,0.874625,0.024
2021_08_20_21_48_35,25,400,10.0,2,0.5,balanced,0.2,112,0.946482,0.023571
2021_08_21_17_30_41,25,400,10.0,2,0.5,balanced,0.2,157,0.935202,0.024
2021_08_22_13_37_16,25,400,10.0,2,0.5,balanced,0.2,135,0.968135,0.0224
2021_08_22_22_01_17,25,400,10.0,2,0.5,balanced,0.2,202,0.978511,0.022337
2021_08_23_10_51_24,25,400,10.0,2,0.5,balanced,0.2,64,0.888301,0.024
2021_08_23_13_17_21,25,400,10.0,2,0.5,balanced,0.2,48,0.907538,0.0235
2021_08_23_19_42_07,25,400,10.0,2,0.5,balanced,0.2,57,0.727259,0.024
2021_09_09_19_27_35,25,400,10.0,2,0.5,balanced,0.2,459,0.745145,0.023948
2021_09_11_00_33_16,25,400,10.0,2,0.5,balanced,0.2,746,0.874625,0.024
2021_08_20_21_48_35,26,400,10.0,2,0.5,balanced,0.35,112,0.94998,0.024
2021_08_21_17_30_41,26,400,10.0,2,0.5,balanced,0.35,157,0.935202,0.024
2021_08_22_13_37_16,26,400,10.0,2,0.5,balanced,0.35,135,0.970805,0.023111
2021_08_22_22_01_17,26,400,10.0,2,0.5,balanced,0.35,202,0.980627,0.022218
2021_08_23_10_51_24,26,400,10.0,2,0.5,balanced,0.35,64,0.888301,0.024
2021_08_23_13_17_21,26,400,10.0,2,0.5,balanced,0.35,48,0.905518,0.023
2021_08_23_19_42_07,26,400,10.0,2,0.5,balanced,0.35,57,0.727259,0.024
2021_09_09_19_27_35,26,400,10.0,2,0.5,balanced,0.35,459,0.744207,0.023843
2021_09_11_00_33_16,26,400,10.0,2,0.5,balanced,0.35,746,0.874625,0.024
2021_08_20_21_48_35,27,400,10.0,2,0.5,balanced,0.5,112,0.94998,0.024
2021_08_21_17_30_41,27,400,10.0,2,0.5,balanced,0.5,157,0.935202,0.024
2021_08_22_13_37_16,27,400,10.0,2,0.5,balanced,0.5,135,0.969515,0.022756
2021_08_22_22_01_17,27,400,10.0,2,0.5,balanced,0.5,202,0.981736,0.022337
2021_08_23_10_51_24,27,400,10.0,2,0.5,balanced,0.5,64,0.888301,0.024
2021_08_23_13_17_21,27,400,10.0,2,0.5,balanced,0.5,48,0.903712,0.023
2021_08_23_19_42_07,27,400,10.0,2,0.5,balanced,0.5,57,0.727259,0.024
2021_09_09_19_27_35,27,400,10.0,2,0.5,balanced,0.5,459,0.74324,0.023739
2021_09_11_00_33_16,27,400,10.0,2,0.5,balanced,0.5,746,0.874625,0.024
2021_08_20_21_48_35,28,400,10.0,4,sqrt,,0.0,112,0.95168,0.074966
2021_08_21_17_30_41,28,400,10.0,4,sqrt,,0.0,157,0.942494,0.158524
2021_08_22_13_37_16,28,400,10.0,4,sqrt,,0.0,135,0.968673,0.022545
2021_08_22_22_01_17,28,400,10.0,4,sqrt,,0.0,202,0.986772,0.024
2021_08_23_10_51_24,28,400,10.0,4,sqrt,,0.0,64,0.893346,0.09398
2021_08_23_13_17_21,28,400,10.0,4,sqrt,,0.0,48,0.908479,0.029489
2021_08_23_19_42_07,28,400,10.0,4,sqrt,,0.0,57,0.72107,0.085627
2021_09_09_19_27_35,28,400,10.0,4,sqrt,,0.0,459,0.747042,0.287571
2021_09_11_00_33_16,28,400,10.0,4,sqrt,,0.0,746,0.838978,0.004709
2021_08_20_21_48_35,29,400,10.0,4,sqrt,,0.02,112,0.951903,0.065165
2021_08_21_17_30_41,29,400,10.0,4,sqrt,,0.02,157,0.939541,0.078537
2021_08_22_13_37_16,29,400,10.0,4,sqrt,,0.02,135,0.970123,0.023111
2021_08_22_22_01_17,29,400,10.0,4,sqrt,,0.02,202,0.986319,0.023914
2021_08_23_10_51_24,29,400,10.0,4,sqrt,,0.02,64,0.892568,0.077514
2021_08_23_13_17_21,29,400,10.0,4,sqrt,,0.02,48,0.907653,0.024
2021_08_23_19_42_07,29,400,10.0,4,sqrt,,0.02,57,0.723989,0.044799
2021_09_09_19_27_35,29,400,10.0,4,sqrt,,0.02,459,0.748998,0.256483
2021_09_11_00_33_16,29,400,10.0,4,sqrt,,0.02,746,0.831845,0.001734
2021_08_20_21_48_35,30,400,10.0,4,sqrt,,0.05,112,0.951807,0.056932
2021_08_21_17_30_41,30,400,10.0,4,sqrt,,0.05,157,0.935202,0.024
2021_08_22_13_37_16,30,400,10.0,4,sqrt,,0.05,135,0.971282,0.024
2021_08_22_22_01_17,30,400,10.0,4,sqrt,,0.05,202,0.985979,0.023892
2021_08_23_10_51_24,30,400,10.0,4,sqrt,,0.05,64,0.888301,0.024
2021_08_23_13_17_21,30,400,10.0,4,sqrt,,0.05,48,0.907653,0.024
2021_08_23_19_42_07,30,400,10.0,4,sqrt,,0.05,57,0.727259,0.024
2021_09_09_19_27_35,30,400,10.0,4,sqrt,,0.05,459,0.744133,0.093633
2021_09_11_00_33_16,30,400,10.0,4,sqrt,,0.05,746,0.829328,0.000351
2021_08_20_21_48_35,31,400,10.0,4,sqrt,,0.1,112,0.94998,0.024
2021_08_21_17_30_41,31,400,10.0,4,sqrt,,0.1,157,0.935202,0.024
2021_08_22_13_37_16,31,400,10.0,4,sqrt,,0.1,135,0.971282,0.024
2021_08_22_22_01_17,31,400,10.0,4,sqrt,,0.1,202,0.982459,0.022925
2021_08_23_10_51_24,31,400,10.0,4,sqrt,,0.1,64,0.888301,0.024
2021_08_23_13_17_21,31,400,10.0,4,sqrt,,0.1,48,0.907653,0.024
2021_08_23_19_42_07,31,400,10.0,4,sqrt,,0.1,57,0.727259,0.024
2021_09_09_19_27_35,31,400,10.0,4,sqrt,,0.1,459,0.742137,0.023624
2021_09_11_00_33_16,31,400,10.0,4,sqrt,,0.1,746,0.855673,0.016893
2021_08_20_21_48_35,32,400,10.0,4,sqrt,,0.2,112,0.94998,0.024
2021_08_21_17_30_41,32,400,10.0,4,sqrt,,0.2,157,0.935202,0.024
2021_08_22_13_37_16,32,400,10.0,4,sqrt,,0.2,135,0.971282,0.024
