frame,n_gt,n_box_float,n_box_int8,f1_float,f1_int8
1233,31,28,28,0.7796610169491526,0.7796610169491526
1242,49,51,51,0.8799999999999999,0.8799999999999999
1251,49,53,53,0.8627450980392157,0.8627450980392157
1260,50,53,53,0.8737864077669903,0.8737864077669903
1269,50,52,52,0.8431372549019608,0.8431372549019608
1278,50,52,52,0.8627450980392156,0.8627450980392156
1287,50,52,52,0.8627450980392156,0.8627450980392156
1296,51,49,49,0.9,0.9
1305,51,51,51,0.9019607843137255,0.9019607843137255
1314,51,53,53,0.9038461538461539,0.9038461538461539
1323,50,55,54,0.8952380952380952,0.9038461538461539
1332,50,49,48,0.9090909090909091,0.8979591836734694
1341,50,47,47,0.8659793814432989,0.8659793814432989
1350,50,47,47,0.8453608247422681,0.8453608247422681
1359,50,47,47,0.8659793814432989,0.8659793814432989
1368,50,46,47,0.8749999999999999,0.8659793814432989
1377,51,49,49,0.9,0.9
1386,51,49,49,0.8799999999999999,0.8799999999999999
1395,50,52,52,0.9215686274509804,0.9215686274509804
1404,49,49,49,0.8979591836734694,0.8979591836734694
1413,50,52,52,0.9411764705882353,0.9411764705882353
1422,51,50,50,0.9108910891089109,0.9108910891089109
1431,51,51,51,0.9019607843137255,0.9019607843137255
1440,51,50,49,0.9306930693069307,0.92
1449,52,51,51,0.9126213592233009,0.9126213592233009
1458,51,49,49,0.92,0.92
1467,51,49,48,0.9,0.9090909090909091
1476,51,50,51,0.9108910891089109,0.9019607843137255
1485,50,51,51,0.8910891089108911,0.8910891089108911
1494,50,49,49,0.9090909090909091,0.9090909090909091
1503,49,48,48,0.9278350515463918,0.9278350515463918
1512,49,51,51,0.8799999999999999,0.8799999999999999
1521,48,46,47,0.9148936170212766,0.9052631578947369
1530,47,49,49,0.8958333333333333,0.8958333333333333
1539,47,46,46,0.8817204301075269,0.8817204301075269
1548,46,47,47,0.924731182795699,0.924731182795699
1557,46,47,47,0.9032258064516129,0.9032258064516129
1566,46,48,48,0.9361702127659574,0.9361702127659574
1575,45,50,50,0.9263157894736842,0.9263157894736842
1584,43,46,47,0.9213483146067417,0.9111111111111112
1593,42,41,41,0.9156626506024096,0.9156626506024096
1602,40,41,41,0.9135802469135802,0.9135802469135802
1611,40,40,40,0.9500000000000001,0.9500000000000001
1620,38,41,41,0.9367088607594938,0.9367088607594938
1629,38,43,43,0.9382716049382717,0.9382716049382717
1638,37,40,40,0.961038961038961,0.961038961038961
1647,37,41,40,0.9487179487179488,0.961038961038961
1656,36,37,37,0.9315068493150684,0.9315068493150684
1665,35,38,38,0.9315068493150684,0.958904109589041
1674,35,36,36,0.9577464788732395,0.9577464788732395
1683,34,36,36,0.9428571428571428,0.9428571428571428
1692,34,34,34,0.9705882352941176,0.9705882352941176
1701,34,36,36,0.9428571428571428,0.9428571428571428
1710,33,35,35,0.9411764705882354,0.9411764705882354
1719,34,37,37,0.9014084507042254,0.9014084507042254
1728,34,32,32,0.8787878787878787,0.8787878787878787
1737,33,32,32,0.923076923076923,0.923076923076923
1746,33,32,32,0.8923076923076922,0.8923076923076922
1755,34,35,35,0.8985507246376812,0.8985507246376812
1764,33,34,34,0.9253731343283583,0.9253731343283583
1773,34,35,35,0.8985507246376812,0.8985507246376812
1782,34,33,33,0.8656716417910447,0.8656716417910447
1791,34,35,35,0.8985507246376812,0.8985507246376812
1800,34,34,34,0.9117647058823528,0.9117647058823528
1809,34,34,34,0.9117647058823528,0.9117647058823528
1818,35,36,36,0.9295774647887323,0.9295774647887323
1827,35,36,36,0.9014084507042254,0.9014084507042254
1836,34,34,34,0.8823529411764706,0.8823529411764706
1845,36,36,36,0.9166666666666666,0.9166666666666666
1854,36,34,34,0.8857142857142858,0.8857142857142858
1863,36,33,34,0.8695652173913043,0.8857142857142858
1872,36,36,36,0.9166666666666666,0.9166666666666666
1881,37,36,36,0.9589041095890412,0.9589041095890412
1890,37,36,36,0.9315068493150684,0.9315068493150684
1899,37,38,38,0.9333333333333332,0.9333333333333332
1908,37,38,38,0.88,0.88
1917,39,36,36,0.9066666666666667,0.9066666666666667
1926,39,37,37,0.8947368421052632,0.8947368421052632
1935,38,40,40,0.8717948717948718,0.8717948717948718
1944,38,38,38,0.8947368421052632,0.8947368421052632
1953,38,37,37,0.9066666666666667,0.9066666666666667
1962,38,35,35,0.904109589041096,0.904109589041096
1971,38,38,38,0.9210526315789473,0.9210526315789473
