rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,1048,0,1,12,12,0,0.8095238095238095,0.8095238095238095,0.0
0.001,1095,0,1,12,12,0,0.8717948717948718,0.8717948717948718,0.0
0.001,1153,0,1,10,10,0,0.8205128205128205,0.8205128205128205,0.0
0.001,1230,0,1,10,10,0,0.7894736842105262,0.7894736842105262,0.0
0.001,1240,0,1,10,10,0,0.8602150537634408,0.8602150537634408,0.0
0.001,1319,0,1,16,16,0,0.8979591836734694,0.8659793814432989,0.031979802230170495
0.001,1374,0,1,10,10,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1409,0,1,27,27,0,0.9387755102040816,0.9387755102040816,0.0
0.001,1461,0,1,11,11,0,0.9072164948453608,0.9072164948453608,0.0
0.001,1483,0,1,10,10,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1508,0,1,29,29,0,0.9484536082474228,0.9484536082474228,0.0
0.001,1538,0,1,13,13,0,0.9473684210526316,0.9473684210526316,0.0
0.001,1546,0,1,9,9,0,0.9130434782608696,0.9130434782608696,0.0
0.001,1629,0,1,25,25,0,0.9367088607594938,0.9367088607594938,0.0
0.001,1650,0,1,27,27,0,0.9577464788732396,0.9577464788732396,0.0
0.001,1693,0,1,11,11,0,0.9393939393939394,0.9393939393939394,0.0
0.001,1749,0,1,9,9,0,0.9565217391304348,0.9565217391304348,0.0
0.001,1773,0,1,14,14,0,0.9411764705882352,0.9411764705882352,0.0
0.001,1781,0,1,26,26,0,0.9142857142857144,0.9142857142857144,0.0
0.001,1803,0,1,10,10,0,0.9428571428571428,0.9428571428571428,0.0
0.001,1820,0,1,11,11,0,0.9295774647887324,0.9295774647887324,0.0
0.001,1829,0,1,12,12,0,0.945945945945946,0.945945945945946,0.0
0.001,1836,0,1,17,17,0,0.927536231884058,0.927536231884058,0.0
0.001,1893,0,1,28,28,0,0.9459459459459458,0.9459459459459458,0.0
0.001,1910,0,1,28,28,0,0.9230769230769232,0.9230769230769232,0.0
0.001,1921,0,1,15,15,0,0.9230769230769232,0.9230769230769232,0.0
0.001,1963,0,1,13,13,0,0.8974358974358975,0.8974358974358975,0.0
0.001,144,0,2,30,30,0,1.0,1.0,0.0
0.001,187,0,2,13,13,0,0.878048780487805,0.878048780487805,0.0
0.001,195,0,2,15,15,0,0.9,0.9,0.0
0.001,206,0,2,14,14,0,0.975609756097561,0.975609756097561,0.0
0.001,214,0,2,9,9,0,0.9,0.9,0.0
0.001,219,0,2,27,27,0,0.9743589743589745,0.9743589743589745,0.0
0.001,285,0,2,12,12,0,0.9166666666666666,0.9166666666666666,0.0
0.001,286,0,2,14,14,0,0.9166666666666666,0.9166666666666666,0.0
0.001,322,0,2,13,13,0,1.0,1.0,0.0
0.001,405,0,2,29,29,0,0.9333333333333332,0.9333333333333332,0.0
0.001,437,0,2,26,26,0,1.0,1.0,0.0
0.001,447,0,2,30,30,0,1.0,1.0,0.0
0.001,486,0,2,31,31,0,1.0,1.0,0.0
0.001,497,0,2,11,11,0,1.0,1.0,0.0
0.001,517,0,2,41,41,0,1.0,1.0,0.0
0.001,587,0,2,11,11,0,1.0,1.0,0.0
0.001,616,0,2,10,10,0,0.8205128205128205,0.8205128205128205,0.0
0.001,634,0,2,14,14,0,0.9523809523809524,0.9523809523809524,0.0
0.001,654,0,2,29,29,0,0.9787234042553192,0.9787234042553192,0.0
0.001,657,0,2,14,14,0,1.0,1.0,0.0
0.001,689,0,2,12,12,0,0.8749999999999999,0.8749999999999999,0.0
0.001,691,0,2,10,10,0,0.9333333333333332,0.9333333333333332,0.0
0.001,840,0,2,27,27,0,0.84,0.84,0.0
0.001,870,0,2,10,10,0,0.816326530612245,0.816326530612245,0.0
0.001,895,0,2,13,13,0,0.7755102040816326,0.7755102040816326,0.0
0.001,902,0,2,32,32,0,0.8571428571428572,0.8571428571428572,0.0
0.001,978,0,2,9,9,0,0.761904761904762,0.761904761904762,0.0
0.001,1052,0,2,27,27,0,0.6521739130434783,0.6521739130434783,0.0
0.001,1064,0,2,10,10,0,0.782608695652174,0.782608695652174,0.0
0.001,1090,0,2,12,12,0,0.75,0.75,0.0
0.001,1095,0,2,12,12,0,0.8717948717948718,0.8717948717948718,0.0
0.001,1103,0,2,43,43,0,0.8333333333333334,0.8333333333333334,0.0
