lam,oracle_scene_equal_f1,oracle_frame_wtd_f1,oracle_payload,rho_E,rho_L,rho_F
0.001,0.8831847613277928,0.8588962404125865,1.6766163337924702,0.26464646464646463,0.20183654729109274,0.5335169880624426
0.002,0.8831045593811901,0.8587940446332181,1.6105037764003673,0.2769742883379247,0.21056014692378328,0.512465564738292
0.003,0.8829135961189016,0.8585758863548008,1.5227002869605142,0.28971533516988063,0.22578053259871442,0.484504132231405
0.004,0.8826286860727073,0.8582308696480229,1.4237301365932047,0.29979338842975206,0.24722222222222223,0.4529843893480257
0.005,0.8823290215761336,0.8578241104046441,1.33247116046832,0.3095270890725436,0.2665518824609734,0.423921028466483
0.006,0.8819028855457198,0.8573688569562142,1.2500864267676768,0.31751606978879704,0.28480257116620755,0.3976813590449954
0.007,0.881353639837359,0.8568404710584739,1.1684835801193758,0.3268595041322314,0.30144628099173554,0.37169421487603305
0.008,0.8808291147782492,0.8561898979656186,1.0817684400826448,0.33636363636363636,0.31955922865013775,0.3440771349862259
0.009,0.8801537634780825,0.8554577277940095,0.9954149908172637,0.3448576675849403,0.33856749311294765,0.31657483930211205
0.01,0.8795426718255925,0.8548374619013502,0.9298886421028469,0.35206611570247937,0.35222681359044994,0.2957070707070707
0.011,0.8788796180430993,0.8541621133089209,0.8655217803030305,0.35798898071625346,0.36680440771349865,0.27520661157024795
0.012,0.8781843690543193,0.8534163753784915,0.8007225665748394,0.36425619834710743,0.3811753902662994,0.2545684113865932
0.013,0.8772811064718533,0.8525549490207688,0.731737235996327,0.37109733700642794,0.39630394857667584,0.23259871441689622
0.014,0.8764473124311072,0.8517366474105188,0.6712582185491278,0.3766988062442608,0.4099632690541781,0.21333792470156107
0.015,0.8759733329746964,0.8511421795511034,0.6302466368227734,0.3803489439853076,0.4193755739210285,0.20027548209366391
0.016,0.8753482037723459,0.8505179617208283,0.5899525769054179,0.38415977961432507,0.4283976124885216,0.18744260789715336
0.017,0.8747910297174897,0.8498922501061813,0.55182036271809,0.3881542699724518,0.43654729109274565,0.17529843893480257
0.018,0.8742155574297377,0.8492847342680087,0.517149494949495,0.39178145087235994,0.4439623507805326,0.16425619834710745
0.019,0.873540123731512,0.8485900588176414,0.47959404843893483,0.39494949494949494,0.4527548209366391,0.15229568411386593
