rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,1095,0,1,12,12,0,0.8717948717948718,0.8717948717948718,0.0
0.001,1102,0,1,14,14,0,0.8333333333333334,0.8333333333333334,0.0
0.001,1125,0,1,12,12,0,0.7777777777777778,0.7777777777777778,0.0
0.001,1126,0,1,11,11,0,0.7500000000000001,0.7500000000000001,0.0
0.001,1128,0,1,11,11,0,0.7894736842105263,0.7894736842105263,0.0
0.001,1133,0,1,13,13,0,0.7894736842105262,0.7894736842105262,0.0
0.001,1137,0,1,10,10,0,0.8421052631578948,0.8108108108108107,0.031294452347084056
0.001,1153,0,1,10,10,0,0.8205128205128205,0.8205128205128205,0.0
0.001,1185,0,1,9,9,0,0.7368421052631577,0.7368421052631577,0.0
0.001,1209,0,1,16,16,0,0.7567567567567567,0.7567567567567567,0.0
0.001,1211,0,1,17,17,0,0.7777777777777777,0.7777777777777777,0.0
0.001,1230,0,1,10,10,0,0.7894736842105262,0.7894736842105262,0.0
0.001,1237,0,1,12,12,0,0.8602150537634408,0.8602150537634408,0.0
0.001,1240,0,1,10,10,0,0.8602150537634408,0.8602150537634408,0.0
0.001,1254,0,1,11,11,0,0.8387096774193549,0.8387096774193549,0.0
0.001,1276,0,1,11,11,0,0.8541666666666667,0.8541666666666667,0.0
0.001,1281,0,1,11,11,0,0.875,0.875,0.0
0.001,1319,0,1,16,16,0,0.8979591836734694,0.8659793814432989,0.031979802230170495
0.001,1373,0,1,17,17,0,0.865979381443299,0.865979381443299,0.0
0.001,1374,0,1,10,10,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1377,0,1,12,12,0,0.865979381443299,0.865979381443299,0.0
0.001,1386,0,1,12,12,0,0.888888888888889,0.888888888888889,0.0
0.001,1387,0,1,13,13,0,0.8979591836734694,0.8979591836734694,0.0
0.001,1390,0,1,13,13,0,0.888888888888889,0.888888888888889,0.0
0.001,1393,0,1,9,9,0,0.9090909090909092,0.9090909090909092,0.0
0.001,1409,0,1,11,11,0,0.9387755102040816,0.9387755102040816,0.0
0.001,1450,0,1,19,19,0,0.8910891089108911,0.8910891089108911,0.0
0.001,1461,0,1,11,11,0,0.9072164948453608,0.9072164948453608,0.0
0.001,1474,0,1,12,12,0,0.9292929292929292,0.9292929292929292,0.0
0.001,1483,0,1,10,10,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1506,0,1,11,11,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1508,0,1,13,13,0,0.9484536082474228,0.9484536082474228,0.0
0.001,1513,0,1,13,13,0,0.9375,0.9375,0.0
0.001,1535,0,1,16,16,0,0.9375,0.9375,0.0
0.001,1538,0,1,13,13,0,0.9473684210526316,0.9473684210526316,0.0
0.001,1544,0,1,12,12,0,0.924731182795699,0.924731182795699,0.0
0.001,1546,0,1,9,9,0,0.9130434782608696,0.9130434782608696,0.0
0.001,1552,0,1,11,11,0,0.924731182795699,0.924731182795699,0.0
0.001,1561,0,1,11,11,0,0.924731182795699,0.924731182795699,0.0
0.001,1584,0,1,11,11,0,0.8941176470588236,0.8941176470588236,0.0
0.001,1606,0,1,15,15,0,0.951219512195122,0.951219512195122,0.0
0.001,1629,0,1,9,9,0,0.9367088607594938,0.9367088607594938,0.0
0.001,1650,0,1,11,11,0,0.9577464788732396,0.9577464788732396,0.0
0.001,1653,0,1,17,17,0,0.9166666666666666,0.9166666666666666,0.0
0.001,1693,0,1,11,11,0,0.9393939393939394,0.9393939393939394,0.0
0.001,1694,0,1,16,16,0,0.953846153846154,0.953846153846154,0.0
0.001,1702,0,1,12,12,0,0.9565217391304348,0.9565217391304348,0.0
0.001,1749,0,1,9,9,0,0.9565217391304348,0.9565217391304348,0.0
0.001,1759,0,1,10,10,0,0.9428571428571428,0.9428571428571428,0.0
0.001,1761,0,1,8,8,0,0.8985507246376812,0.8985507246376812,0.0
0.001,1773,0,1,14,14,0,0.9411764705882352,0.9411764705882352,0.0
0.001,1781,0,1,10,10,0,0.9142857142857144,0.9142857142857144,0.0
0.001,1793,0,1,14,14,0,0.9295774647887324,0.9295774647887324,0.0
0.001,1803,0,1,10,10,0,0.9428571428571428,0.9428571428571428,0.0
0.001,1820,0,1,11,11,0,0.9295774647887324,0.9295774647887324,0.0
0.001,1826,0,1,14,14,0,0.9444444444444444,0.9444444444444444,0.0
0.001,1829,0,1,12,12,0,0.945945945945946,0.945945945945946,0.0
0.001,1836,0,1,17,17,0,0.927536231884058,0.927536231884058,0.0
0.001,1841,0,1,12,12,0,0.9444444444444444,0.9444444444444444,0.0
0.001,1854,0,1,12,12,0,0.918918918918919,0.918918918918919,0.0
0.001,1891,0,1,13,13,0,0.961038961038961,0.961038961038961,0.0
