frame,scene,n_cav,n_gt,n_box_coop,n_box_single,f1_coop,f1_single
1035,7,4,28,28,11,0.9642857142857143,0.4102564102564102
1044,7,4,29,27,9,0.8928571428571429,0.368421052631579
1053,7,3,29,25,14,0.7407407407407408,0.4186046511627907
1062,7,3,30,22,15,0.7692307692307692,0.4888888888888889
1071,7,3,30,23,13,0.7547169811320754,0.4651162790697674
1080,7,3,30,23,14,0.6792452830188679,0.4090909090909091
1089,7,3,29,20,16,0.7346938775510204,0.4888888888888889
1098,7,3,28,19,13,0.7234042553191489,0.4390243902439025
1107,7,3,26,20,14,0.7826086956521738,0.5
1116,7,3,27,22,12,0.7755102040816326,0.5641025641025641
1125,7,3,27,19,14,0.7391304347826088,0.4878048780487805
1134,7,3,28,21,15,0.7346938775510204,0.5116279069767441
1143,7,3,28,19,14,0.7659574468085106,0.4761904761904762
1152,7,3,28,22,14,0.76,0.4761904761904762
1161,7,3,28,20,14,0.75,0.4761904761904762
1170,7,3,28,21,14,0.7755102040816326,0.5238095238095237
1179,7,3,28,22,14,0.7200000000000001,0.5238095238095237
1188,7,3,28,20,12,0.75,0.5
1197,7,3,26,21,14,0.7659574468085107,0.5
1206,7,3,28,22,13,0.8,0.5365853658536585
1215,7,3,29,27,14,0.8214285714285715,0.46511627906976755
1224,7,3,29,29,11,0.8620689655172413,0.45000000000000007
1233,7,4,31,33,13,0.84375,0.5
1242,8,5,49,57,37,0.9056603773584905,0.7441860465116279
1251,8,5,49,55,40,0.9038461538461537,0.6966292134831462
1260,8,5,50,56,39,0.9245283018867924,0.7191011235955057
1269,8,5,50,56,37,0.9245283018867924,0.7126436781609196
1278,8,5,50,56,41,0.9245283018867924,0.7692307692307692
1287,8,5,50,54,37,0.9423076923076924,0.7356321839080459
1296,8,5,51,53,40,0.923076923076923,0.7692307692307692
1305,8,5,51,53,40,0.9423076923076923,0.7692307692307692
1314,8,5,51,54,39,0.9333333333333333,0.7777777777777778
1323,8,5,50,57,39,0.9158878504672898,0.7640449438202247
1332,8,5,50,53,37,0.9514563106796116,0.7816091954022989
1341,8,5,50,54,41,0.9423076923076924,0.7472527472527474
1350,8,5,50,54,37,0.9423076923076924,0.7126436781609196
1359,8,5,50,53,40,0.912621359223301,0.7555555555555556
1368,8,5,50,53,38,0.9320388349514563,0.7727272727272727
1377,8,5,51,55,39,0.9245283018867925,0.7777777777777778
1386,8,5,51,54,43,0.9142857142857143,0.8297872340425532
1395,8,5,50,55,43,0.9142857142857144,0.8387096774193548
1404,8,5,49,53,44,0.9215686274509803,0.8387096774193548
1413,8,5,50,55,46,0.9333333333333333,0.8541666666666666
1422,8,5,51,54,43,0.9523809523809523,0.851063829787234
1431,8,5,51,55,46,0.9433962264150944,0.8247422680412372
1440,8,5,51,54,45,0.9523809523809523,0.8541666666666666
1449,8,5,52,54,47,0.9622641509433962,0.8080808080808081
1458,8,5,51,53,44,0.9423076923076923,0.8210526315789474
1467,8,5,51,54,44,0.9523809523809523,0.8842105263157896
1476,8,5,51,53,45,0.9615384615384616,0.7916666666666666
1485,8,5,50,53,46,0.9514563106796116,0.8125
1494,8,5,50,53,45,0.9514563106796116,0.8421052631578948
1503,8,5,49,52,45,0.9504950495049506,0.8723404255319148
1512,8,5,49,54,46,0.9320388349514563,0.8210526315789473
1521,8,5,48,49,43,0.9690721649484536,0.8351648351648352
1530,8,5,47,52,43,0.9494949494949495,0.8222222222222222
1539,8,6,47,51,46,0.9591836734693878,0.7741935483870968
1548,8,6,46,51,42,0.9484536082474228,0.8409090909090908
1557,8,7,46,50,43,0.9583333333333334,0.853932584269663
1566,8,7,46,53,43,0.9292929292929293,0.853932584269663
1575,8,7,45,53,42,0.9183673469387755,0.8505747126436781
1584,8,7,43,48,42,0.923076923076923,0.8235294117647058
1593,8,7,42,48,40,0.9111111111111111,0.8536585365853658
1602,8,7,40,44,39,0.9523809523809523,0.8607594936708861
1611,8,7,40,41,35,0.9629629629629629,0.8266666666666667
1620,8,7,38,42,41,0.9500000000000001,0.860759493670886
1629,8,7,38,41,38,0.9620253164556963,0.8947368421052632
1638,8,7,37,40,37,0.961038961038961,0.8648648648648649
1647,8,7,37,40,37,0.961038961038961,0.8108108108108109
1656,8,7,36,39,37,0.9600000000000001,0.8493150684931507
1665,8,7,35,37,33,0.9722222222222222,0.8823529411764706
1674,8,7,35,37,33,0.9722222222222222,0.8823529411764706
1683,8,7,34,38,35,0.9444444444444444,0.8695652173913043
1692,8,7,34,35,32,0.9855072463768115,0.8787878787878787
1701,8,7,34,37,35,0.9577464788732395,0.8985507246376812
1710,8,7,33,36,32,0.9565217391304348,0.8615384615384615
1719,8,7,34,38,34,0.9444444444444444,0.8529411764705882
1728,8,7,34,37,32,0.9577464788732395,0.8484848484848485
1737,8,7,33,35,30,0.9705882352941176,0.888888888888889
1746,8,7,33,36,32,0.9565217391304348,0.8923076923076922
1755,8,7,34,36,34,0.9714285714285714,0.8823529411764706
1764,8,7,33,36,33,0.9565217391304348,0.8484848484848486
1773,8,7,34,35,35,0.9565217391304348,0.8405797101449276
1782,8,7,34,36,31,0.9714285714285714,0.8615384615384616
1791,8,7,34,37,35,0.9577464788732395,0.8985507246376812
1800,8,7,34,38,35,0.9444444444444444,0.8985507246376812
1809,8,7,34,37,35,0.9577464788732395,0.8985507246376812
1818,8,7,35,37,36,0.9722222222222222,0.9014084507042254
1827,8,7,35,38,36,0.958904109589041,0.9014084507042254
1836,8,7,34,37,35,0.9577464788732395,0.9275362318840579
1845,8,7,36,38,35,0.972972972972973,0.8732394366197184
1854,8,7,36,38,34,0.9459459459459458,0.8571428571428571
1863,8,7,36,37,35,0.9589041095890412,0.8732394366197184
1872,8,7,36,39,35,0.9600000000000001,0.9295774647887323
1881,8,7,37,38,36,0.9866666666666666,0.9315068493150684
1890,8,7,37,39,36,0.9736842105263158,0.9315068493150684
1899,8,7,37,41,40,0.9487179487179488,0.935064935064935
1908,8,7,37,41,40,0.9487179487179488,0.8831168831168831
1917,8,7,39,41,37,0.975,0.9210526315789475
1926,8,7,39,41,38,0.975,0.9090909090909091
1935,8,7,38,42,39,0.9500000000000001,0.8831168831168831
1944,8,7,38,42,36,0.9500000000000001,0.8918918918918918
1953,8,7,38,41,38,0.9620253164556963,0.9210526315789473
1962,8,7,38,41,35,0.9620253164556963,0.904109589041096
1971,8,7,38,38,36,1.0,0.9459459459459458
