frame,n_cav,has_collab,n_gt,n_box_ego,n_box_collab,f1_ego
158,2,1,24,20,18,0.8636363636363635
159,2,1,24,19,17,0.8837209302325582
160,2,1,24,19,17,0.8837209302325582
161,2,1,24,19,19,0.8837209302325582
162,2,1,24,20,18,0.9090909090909091
163,2,1,24,20,18,0.9090909090909091
164,2,1,24,18,18,0.8571428571428571
165,2,1,23,19,17,0.9047619047619047
166,2,1,23,20,17,0.9302325581395349
167,2,1,24,19,17,0.8837209302325582
168,2,1,24,19,17,0.8837209302325582
169,2,1,24,18,16,0.8095238095238096
170,2,1,23,18,16,0.878048780487805
171,2,1,24,18,16,0.8571428571428571
172,2,1,23,19,14,0.9047619047619047
173,2,1,23,18,14,0.878048780487805
174,2,1,23,18,14,0.878048780487805
175,2,1,23,18,15,0.878048780487805
176,2,1,23,18,15,0.878048780487805
177,2,1,23,19,15,0.9047619047619047
178,2,1,23,18,15,0.878048780487805
179,2,1,22,19,15,0.9268292682926829
180,2,1,22,19,15,0.9268292682926829
181,2,1,22,18,15,0.9
182,2,1,23,19,15,0.9047619047619047
183,2,1,24,19,15,0.8837209302325582
184,2,1,24,18,15,0.8571428571428571
185,2,1,23,20,14,0.9302325581395349
186,2,1,22,18,14,0.9
187,2,1,23,19,13,0.8571428571428571
188,2,1,23,17,14,0.85
189,2,1,22,16,14,0.8421052631578948
190,2,1,22,16,13,0.8421052631578948
191,2,1,22,17,11,0.8717948717948718
192,2,1,22,17,12,0.8717948717948718
193,2,1,22,17,12,0.8717948717948718
194,2,1,22,17,12,0.8717948717948718
195,2,1,22,17,11,0.8717948717948718
196,2,1,22,16,11,0.8421052631578948
197,2,1,21,16,11,0.8648648648648648
198,2,1,22,16,11,0.8421052631578948
199,2,1,22,17,10,0.8205128205128205
200,2,1,20,17,11,0.9189189189189189
201,2,1,20,16,11,0.888888888888889
202,2,1,20,16,10,0.888888888888889
203,2,1,21,16,11,0.8648648648648648
204,2,1,22,15,21,0.8108108108108109
205,2,1,21,16,18,0.8648648648648648
206,2,1,21,16,19,0.8648648648648648
207,2,1,21,17,19,0.8947368421052632
208,2,1,21,16,17,0.8648648648648648
209,2,1,22,16,16,0.8421052631578948
210,2,1,22,16,17,0.8421052631578948
211,2,1,22,15,16,0.8108108108108109
212,2,1,22,16,15,0.7894736842105263
213,2,1,22,16,16,0.8421052631578948
214,2,1,22,16,16,0.8421052631578948
215,2,1,21,16,15,0.8648648648648648
216,2,1,20,16,13,0.888888888888889
217,2,1,20,14,15,0.8235294117647058
218,2,1,20,15,14,0.8571428571428571
219,2,1,20,15,14,0.8571428571428571
220,2,1,18,15,16,0.8484848484848485
221,2,1,19,14,15,0.8484848484848484
222,2,1,19,14,14,0.8484848484848484
223,2,1,19,14,14,0.8484848484848484
224,2,1,19,14,14,0.8484848484848484
225,2,1,18,15,13,0.8484848484848485
226,2,1,18,14,13,0.8750000000000001
227,2,1,18,14,13,0.8750000000000001
228,2,1,18,14,15,0.8125000000000001
229,2,1,18,12,14,0.8
230,2,1,18,13,14,0.8387096774193548
231,2,1,18,12,13,0.8
232,2,1,18,12,13,0.8
233,2,1,17,12,13,0.8275862068965517
234,2,1,16,12,11,0.8571428571428571
235,2,1,16,13,10,0.8275862068965517
236,2,1,17,12,12,0.8275862068965517
237,2,1,17,13,12,0.8666666666666666
238,2,1,17,14,11,0.9032258064516129
239,2,1,16,13,10,0.896551724137931
240,2,1,16,13,9,0.8275862068965517
241,2,1,16,13,10,0.896551724137931
242,2,1,16,13,10,0.896551724137931
243,2,1,15,13,10,0.9285714285714286
244,2,1,15,12,10,0.8148148148148148
245,2,1,15,12,9,0.888888888888889
246,2,1,14,11,9,0.88
247,2,1,14,11,9,0.88
248,2,1,14,11,9,0.88
249,2,1,14,11,9,0.88
250,2,1,14,10,9,0.8333333333333333
251,2,1,14,11,9,0.88
252,2,1,14,11,9,0.88
253,2,1,14,11,9,0.88
254,2,1,14,10,9,0.75
255,2,1,14,8,9,0.7272727272727273
256,2,1,15,10,9,0.8
257,2,1,14,10,9,0.8333333333333333
258,2,1,14,10,9,0.8333333333333333
259,2,1,13,10,10,0.8695652173913044
260,2,1,13,10,9,0.7826086956521738
261,2,1,13,9,9,0.8181818181818181
262,2,1,13,8,9,0.761904761904762
263,2,1,13,9,9,0.8181818181818181
264,2,1,13,7,8,0.7000000000000001
265,2,1,13,8,9,0.6666666666666667
266,2,1,12,7,8,0.7368421052631579
267,2,1,12,9,9,0.8571428571428571
268,2,1,12,8,9,0.8
269,2,1,11,9,6,0.9
270,2,1,11,9,6,0.9
271,2,1,11,9,6,0.9
272,2,1,11,10,6,0.9523809523809523
273,2,1,11,10,7,0.9523809523809523
274,2,1,11,10,7,0.8571428571428572
275,2,1,11,11,7,0.9090909090909091
276,2,1,11,9,8,0.9
277,2,1,11,9,6,0.9
278,2,1,11,9,11,0.9
279,2,1,11,10,9,0.8571428571428572
280,2,1,11,10,8,0.8571428571428572
281,2,1,11,10,9,0.8571428571428572
282,2,1,11,9,9,0.9
283,2,1,11,10,7,0.9523809523809523
284,2,1,11,10,8,0.8571428571428572
285,2,1,12,11,10,0.8695652173913043
286,2,1,12,12,10,0.8333333333333334
287,2,1,12,11,10,0.8695652173913043
288,2,1,13,11,10,0.9166666666666666
289,2,1,13,13,10,1.0
290,2,1,13,13,10,1.0
291,2,1,13,13,10,1.0
292,2,1,13,13,9,1.0
293,2,1,13,12,10,0.9600000000000001
294,2,1,13,12,10,0.9600000000000001
295,2,1,13,12,11,0.9600000000000001
296,2,1,13,11,10,0.9166666666666666
297,2,1,13,12,9,0.8799999999999999
298,2,1,13,12,10,0.8799999999999999
299,2,1,13,14,11,0.962962962962963
300,2,1,13,14,12,0.962962962962963
301,2,1,14,13,12,0.962962962962963
302,2,1,14,13,12,0.962962962962963
303,2,1,14,13,12,0.962962962962963
304,2,1,14,13,12,0.962962962962963
305,2,1,14,13,12,0.962962962962963
306,2,1,14,13,13,0.962962962962963
307,2,1,14,13,12,0.962962962962963
308,2,1,14,13,12,0.962962962962963
309,2,1,14,13,12,0.962962962962963
310,2,1,14,13,13,0.962962962962963
311,2,1,14,12,13,0.923076923076923
312,2,1,13,12,13,0.9600000000000001
313,2,1,13,12,13,0.9600000000000001
314,2,1,13,12,13,0.9600000000000001
315,2,1,13,12,13,0.9600000000000001
316,2,1,13,12,13,0.9600000000000001
317,2,1,13,12,12,0.9600000000000001
318,2,1,13,12,12,0.9600000000000001
319,2,1,13,13,12,0.9230769230769231
320,2,1,13,12,12,0.9600000000000001
321,2,1,13,12,12,0.9600000000000001
322,2,1,13,12,11,0.9600000000000001
323,2,1,13,12,11,0.9600000000000001
324,2,1,13,12,11,0.9600000000000001
325,2,1,13,12,11,0.8
326,2,1,13,11,12,0.9166666666666666
327,2,1,13,12,11,0.9600000000000001
328,2,1,13,11,12,0.9166666666666666
329,2,1,13,12,11,0.9600000000000001
330,2,1,12,11,10,0.8695652173913043
331,2,1,12,10,11,0.9090909090909091
332,2,1,12,10,11,0.9090909090909091
333,2,1,12,11,11,0.9565217391304348
334,2,1,12,10,11,0.9090909090909091
335,2,1,12,10,11,0.9090909090909091
336,2,1,12,11,11,0.9565217391304348
337,2,1,12,11,11,0.9565217391304348
338,2,1,12,11,11,0.9565217391304348
339,2,1,12,11,11,0.9565217391304348
340,2,1,12,12,11,0.9166666666666666
341,2,1,12,11,11,0.8695652173913043
342,2,1,12,12,11,1.0
343,2,1,12,11,11,0.7826086956521738
344,2,1,12,11,11,0.8695652173913043
345,2,1,12,11,12,0.9565217391304348
346,2,1,12,11,11,0.9565217391304348
347,2,1,12,11,12,0.8695652173913043
348,2,1,12,11,11,0.9565217391304348
349,2,1,12,11,11,0.9565217391304348
350,2,1,12,11,11,0.9565217391304348
351,2,1,12,11,11,0.9565217391304348
352,2,1,12,11,11,0.9565217391304348
353,2,1,12,11,12,0.9565217391304348
354,2,1,12,11,11,0.9565217391304348
355,2,1,12,11,11,0.9565217391304348
356,2,1,12,11,10,0.9565217391304348
357,2,1,12,11,10,0.9565217391304348
358,2,1,12,11,11,0.9565217391304348
359,2,1,12,11,10,0.9565217391304348
360,2,1,12,11,10,0.9565217391304348
361,2,1,12,11,9,0.9565217391304348
362,2,1,12,11,9,0.9565217391304348
363,2,1,13,11,10,0.9166666666666666
364,2,1,13,12,10,0.9600000000000001
365,2,1,13,12,10,0.9600000000000001
366,2,1,13,12,10,0.9600000000000001
367,2,1,13,12,10,0.9600000000000001
368,2,1,13,12,10,0.9600000000000001
369,2,1,12,12,10,0.9166666666666666
370,2,1,12,11,10,0.9565217391304348
371,2,1,12,11,11,0.9565217391304348
372,2,1,12,11,9,0.9565217391304348
373,2,1,12,11,10,0.9565217391304348
374,2,1,12,11,9,0.9565217391304348
375,2,1,13,11,10,0.9166666666666666
376,2,1,13,12,10,0.8799999999999999
377,2,1,13,12,9,0.9600000000000001
378,2,1,13,11,9,0.9166666666666666
379,2,1,13,11,10,0.9166666666666666
380,2,1,13,11,9,0.9166666666666666
381,2,1,13,12,10,0.8799999999999999
382,2,1,13,12,9,0.8799999999999999
383,2,1,12,11,9,0.9565217391304348
384,2,1,12,10,9,0.9090909090909091
385,2,1,12,10,9,0.9090909090909091
386,2,1,12,11,9,0.9565217391304348
387,2,1,12,10,9,0.9090909090909091
388,2,1,12,11,9,0.9565217391304348
389,2,1,12,11,9,0.9565217391304348
390,2,1,11,11,9,0.9090909090909091
391,2,1,11,9,9,0.9
392,2,1,11,10,8,0.9523809523809523
393,2,1,11,10,8,0.9523809523809523
394,2,1,11,11,8,1.0
395,2,1,11,11,8,1.0
396,2,1,11,11,9,1.0
397,2,1,11,12,8,0.9565217391304348
398,2,1,11,10,8,0.9523809523809523
399,2,1,11,11,8,1.0
400,2,1,11,11,9,1.0
401,2,1,11,11,8,1.0
402,2,1,11,10,8,0.9523809523809523
403,2,1,11,10,7,0.9523809523809523
404,2,1,7,7,6,1.0
405,2,1,8,7,6,0.9333333333333333
406,2,1,8,7,6,0.9333333333333333
407,2,1,8,6,6,0.8571428571428571
408,2,1,8,6,7,0.8571428571428571
409,2,1,8,6,7,0.8571428571428571
410,2,1,8,6,7,0.8571428571428571
411,2,1,8,6,7,0.8571428571428571
412,2,1,8,6,7,0.7142857142857143
413,2,1,8,6,7,0.7142857142857143
414,2,1,8,6,7,0.8571428571428571
415,2,1,8,6,8,0.8571428571428571
416,2,1,8,6,7,0.8571428571428571
417,2,1,8,6,7,0.8571428571428571
418,2,1,8,6,7,0.8571428571428571
419,2,1,8,7,7,0.9333333333333333
420,2,1,8,7,7,0.9333333333333333
421,2,1,8,7,7,0.9333333333333333
422,2,1,8,7,7,0.9333333333333333
423,2,1,8,7,8,0.9333333333333333
424,2,1,8,7,8,0.9333333333333333
425,2,1,8,6,8,0.8571428571428571
426,2,1,8,6,8,0.8571428571428571
427,2,1,8,7,8,0.9333333333333333
428,2,1,8,7,8,0.9333333333333333
429,2,1,8,7,8,0.9333333333333333
430,2,1,8,7,8,0.9333333333333333
431,2,1,8,7,8,0.9333333333333333
432,2,1,8,8,8,0.875
433,2,1,8,7,8,0.9333333333333333
434,2,1,8,7,8,0.9333333333333333
435,2,1,8,7,8,0.9333333333333333
436,2,1,8,7,8,0.9333333333333333
437,2,1,8,7,8,0.9333333333333333
438,2,1,8,7,8,0.9333333333333333
439,2,1,8,7,8,0.9333333333333333
440,2,1,8,7,8,0.9333333333333333
441,2,1,8,7,8,0.9333333333333333
442,2,1,8,7,7,0.9333333333333333
443,2,1,8,8,8,0.875
444,2,1,8,7,8,0.7999999999999999
445,2,1,8,7,8,0.9333333333333333
446,2,1,8,6,8,0.8571428571428571
447,2,1,8,6,8,0.8571428571428571
448,2,1,8,6,7,0.7142857142857143
449,2,1,8,7,8,0.9333333333333333
450,2,1,8,7,8,0.9333333333333333
451,2,1,8,6,7,0.8571428571428571
452,2,1,7,6,7,0.923076923076923
453,2,1,7,6,7,0.923076923076923
454,2,1,8,6,8,0.8571428571428571
455,2,1,8,7,7,0.9333333333333333
456,2,1,8,6,7,0.8571428571428571
457,2,1,8,7,7,0.7999999999999999
458,2,1,8,7,7,0.9333333333333333
459,2,1,8,7,7,0.9333333333333333
460,2,1,8,7,7,0.9333333333333333
461,2,1,8,7,7,0.7999999999999999
462,2,1,8,7,7,0.9333333333333333
463,2,1,8,7,7,0.9333333333333333
464,2,1,8,7,7,0.9333333333333333
465,2,1,8,7,7,0.9333333333333333
466,2,1,8,7,7,0.9333333333333333
467,2,1,8,7,7,0.9333333333333333
468,2,1,8,7,7,0.9333333333333333
469,2,1,8,6,7,0.8571428571428571
470,2,1,8,7,7,0.9333333333333333
471,2,1,8,6,7,0.8571428571428571
472,2,1,8,7,7,0.9333333333333333
473,2,1,7,5,7,0.8333333333333333
474,2,1,7,5,6,0.8333333333333333
475,2,1,7,5,6,0.8333333333333333
476,2,1,6,5,6,0.9090909090909091
477,2,1,6,5,6,0.9090909090909091
478,2,1,6,5,6,0.9090909090909091
479,2,1,6,5,5,0.9090909090909091
480,2,1,6,5,5,0.9090909090909091
481,2,1,6,5,5,0.9090909090909091
482,2,1,6,5,6,0.9090909090909091
483,2,1,6,5,6,0.9090909090909091
484,2,1,6,5,6,0.9090909090909091
485,2,1,6,5,6,0.9090909090909091
486,2,1,6,5,6,0.9090909090909091
487,2,1,6,5,6,0.9090909090909091
488,2,1,6,5,5,0.9090909090909091
489,2,1,6,5,6,0.9090909090909091
490,2,1,6,5,6,0.9090909090909091
491,2,1,6,5,6,0.9090909090909091
492,2,1,6,5,6,0.9090909090909091
493,2,1,6,5,5,0.9090909090909091
494,2,1,6,5,5,0.9090909090909091
495,2,1,6,5,5,0.9090909090909091
496,2,1,6,5,6,0.9090909090909091
497,2,1,6,5,6,0.9090909090909091
498,2,1,6,5,6,0.9090909090909091
499,2,1,6,5,6,0.9090909090909091
500,2,1,6,5,6,0.9090909090909091
501,2,1,6,5,5,0.9090909090909091
502,2,1,6,5,6,0.9090909090909091
503,2,1,6,5,6,0.9090909090909091
504,2,1,6,6,6,0.8333333333333334
505,2,1,6,5,6,0.9090909090909091
506,2,1,6,5,6,0.9090909090909091
507,2,1,6,5,6,0.9090909090909091
508,2,1,6,6,6,0.8333333333333334
509,2,1,6,5,6,0.9090909090909091
510,2,1,6,6,6,0.8333333333333334
511,2,1,6,5,6,0.9090909090909091
512,2,1,6,5,6,0.9090909090909091
513,2,1,6,5,6,0.9090909090909091
514,2,1,6,5,6,0.9090909090909091
515,2,1,6,5,6,0.9090909090909091
516,2,1,6,5,6,0.9090909090909091
517,2,1,6,5,6,0.9090909090909091
518,2,1,6,5,6,0.9090909090909091
519,2,1,6,5,6,0.9090909090909091
520,2,1,6,5,6,0.9090909090909091
521,2,1,6,5,6,0.9090909090909091
522,2,1,6,5,6,0.9090909090909091
523,2,1,6,5,6,0.9090909090909091
524,2,1,6,5,6,0.9090909090909091
525,2,1,6,5,5,0.9090909090909091
526,2,1,6,5,5,0.9090909090909091
527,2,1,6,5,5,0.9090909090909091
528,2,1,6,5,5,0.9090909090909091
529,2,1,6,5,5,0.9090909090909091
530,2,1,6,5,6,0.9090909090909091
531,2,1,6,5,7,0.9090909090909091
532,2,1,6,5,6,0.9090909090909091
533,2,1,6,5,6,0.9090909090909091
534,2,1,6,5,6,0.9090909090909091
535,2,1,6,5,6,0.9090909090909091
536,2,1,6,5,6,0.9090909090909091
537,2,1,6,6,6,1.0
538,2,1,6,5,6,0.9090909090909091
539,2,1,6,5,6,0.9090909090909091
540,2,1,6,5,6,0.9090909090909091
541,2,1,6,5,5,0.9090909090909091
542,2,1,6,5,5,0.9090909090909091
543,2,1,6,5,6,0.9090909090909091
544,2,1,6,5,6,0.9090909090909091
545,2,1,6,5,6,0.9090909090909091
546,2,1,6,6,6,1.0
547,2,1,6,7,6,0.923076923076923
548,2,1,6,6,6,1.0
549,2,1,6,6,6,1.0
550,2,1,6,5,6,0.9090909090909091
551,2,1,6,5,7,0.9090909090909091
552,2,1,6,5,5,0.9090909090909091
553,2,1,6,5,5,0.9090909090909091
554,2,1,6,5,6,0.9090909090909091
555,2,1,6,5,5,0.9090909090909091
556,2,1,6,5,5,0.9090909090909091
557,2,1,6,5,5,0.9090909090909091
558,2,1,6,5,5,0.9090909090909091
559,2,1,6,5,5,0.9090909090909091
560,2,1,6,5,6,0.9090909090909091
561,2,1,6,4,5,0.8
562,2,1,6,4,5,0.8
563,2,1,6,4,5,0.8
564,2,1,6,6,5,1.0
565,2,1,6,5,5,0.9090909090909091
566,2,1,6,5,5,0.9090909090909091
567,2,1,7,6,7,0.923076923076923
568,2,1,8,7,6,0.9333333333333333
569,2,1,8,7,6,0.7999999999999999
570,2,1,8,8,5,0.875
571,2,1,8,5,4,0.7692307692307693
572,2,1,7,5,5,0.8333333333333333
573,2,1,7,5,4,0.8333333333333333
574,2,1,7,5,5,0.8333333333333333
575,2,1,7,7,5,1.0
576,2,1,7,5,6,0.8333333333333333
577,2,1,7,7,4,1.0
578,2,1,7,6,4,0.923076923076923
579,2,1,7,7,5,1.0
580,2,1,7,6,5,0.923076923076923
581,2,1,7,6,5,0.7692307692307692
582,2,1,7,6,4,0.923076923076923
583,2,1,7,7,4,1.0
584,2,1,7,6,3,0.923076923076923
585,2,1,7,6,3,0.923076923076923
586,2,1,7,7,4,0.8571428571428571
587,2,1,7,7,4,1.0
588,2,1,7,7,3,1.0
589,2,1,7,7,3,1.0
590,2,1,6,7,3,0.923076923076923
591,2,1,6,6,4,1.0
592,2,1,6,6,3,1.0
593,2,1,6,6,3,1.0
594,2,1,6,7,2,0.923076923076923
595,2,1,6,6,2,1.0
596,2,1,6,7,2,0.923076923076923
597,2,1,6,7,2,0.923076923076923
598,2,1,6,7,2,0.923076923076923
599,2,1,6,7,2,0.923076923076923
600,2,1,6,7,2,0.923076923076923
601,2,1,6,7,4,0.923076923076923
602,2,1,6,6,2,1.0
603,2,1,6,7,3,0.923076923076923
604,2,1,6,7,3,0.923076923076923
605,2,1,6,6,3,1.0
606,2,1,22,12,12,0.7058823529411764
607,2,1,23,12,11,0.6285714285714286
608,2,1,23,13,12,0.6666666666666667
609,2,1,23,12,10,0.6285714285714286
610,2,1,24,12,11,0.6666666666666666
611,2,1,23,12,10,0.5714285714285714
612,2,1,23,11,10,0.5882352941176471
613,2,1,20,13,11,0.7272727272727274
614,2,1,20,10,11,0.6666666666666666
615,2,1,21,12,11,0.6666666666666667
616,2,1,22,12,11,0.6470588235294118
617,2,1,23,14,10,0.7027027027027025
618,2,1,22,13,12,0.7428571428571429
619,2,1,22,13,12,0.7428571428571429
620,2,1,22,13,11,0.6857142857142856
621,2,1,22,12,13,0.7058823529411764
622,2,1,22,12,12,0.7058823529411764
623,2,1,22,13,12,0.7428571428571429
624,2,1,23,15,13,0.7894736842105263
625,2,1,22,13,12,0.7428571428571429
626,2,1,23,15,13,0.7368421052631579
627,2,1,22,14,13,0.7777777777777778
628,2,1,21,15,13,0.8333333333333333
629,2,1,22,15,13,0.8108108108108109
630,2,1,22,14,14,0.7777777777777778
631,2,1,22,16,13,0.8421052631578948
632,2,1,22,16,13,0.8421052631578948
633,2,1,22,15,13,0.8108108108108109
634,2,1,22,16,13,0.8421052631578948
635,2,1,22,16,14,0.8421052631578948
636,2,1,22,18,14,0.9
637,2,1,24,18,14,0.8095238095238096
638,2,1,24,18,14,0.8571428571428571
639,2,1,23,19,14,0.9047619047619047
640,2,1,23,20,14,0.9302325581395349
641,2,1,23,19,14,0.9047619047619047
642,2,1,23,17,14,0.85
643,2,1,23,17,15,0.7999999999999999
644,2,1,23,18,16,0.8292682926829269
645,2,1,22,19,15,0.9268292682926829
646,2,1,23,22,15,0.9333333333333332
647,2,1,23,22,14,0.9333333333333332
648,2,1,24,21,15,0.9333333333333333
649,2,1,23,22,15,0.9777777777777777
650,2,1,23,22,14,0.9333333333333332
651,2,1,24,22,15,0.9130434782608695
652,2,1,24,22,16,0.9130434782608695
653,2,1,23,23,16,0.9565217391304348
654,2,1,23,24,16,0.9787234042553191
655,2,1,23,24,16,0.9787234042553191
656,2,1,23,24,16,0.9361702127659574
657,2,1,24,24,16,1.0
658,2,1,24,23,16,0.9787234042553191
659,2,1,24,22,16,0.9565217391304348
660,2,1,23,25,16,0.9583333333333334
661,2,1,23,21,16,0.8636363636363636
662,2,1,23,20,16,0.8837209302325583
663,2,1,22,21,16,0.8837209302325582
664,2,1,21,22,15,0.8837209302325582
665,2,1,22,20,15,0.8571428571428572
666,2,1,22,16,15,0.7894736842105263
667,2,1,22,17,14,0.8205128205128205
668,2,1,22,17,14,0.8205128205128205
669,2,1,22,14,13,0.7777777777777778
670,2,1,13,16,15,0.896551724137931
671,2,1,13,17,17,0.8666666666666666
672,2,1,14,18,16,0.8750000000000001
673,2,1,14,20,17,0.8235294117647058
674,2,1,14,16,15,0.9333333333333333
675,2,1,14,15,16,0.9655172413793104
676,2,1,15,16,16,0.967741935483871
677,2,1,16,16,15,0.9375
678,2,1,16,16,18,1.0
679,2,1,16,16,15,1.0
680,2,1,16,17,15,0.9090909090909091
681,2,1,16,17,15,0.9696969696969697
682,2,1,16,20,14,0.888888888888889
683,2,1,16,16,16,1.0
684,2,1,18,17,14,0.9142857142857143
685,2,1,18,16,14,0.8823529411764706
686,2,1,18,14,14,0.8750000000000001
