snr_db,channel,rf_pay,rf_f1,oracle_pay,oracle_f1,rf_frac_L,oracle_frac_L,rf_frac_C16,oracle_frac_C16,rf_frac_C256,oracle_frac_C256,fixed_L_f1,fixed_C16_f1,fixed_C256_f1
0.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.0,0.0
2.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.0,0.0
4.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.0,0.0
6.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.0,0.0
8.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.1314029109275802,0.0
10.0,awgn,0.024000000000000004,0.8636246212266526,0.024000000000000004,0.8636246212266526,1.0,1.0,0.0,0.0,0.0,0.0,0.8636246212266526,0.5256116437103208,0.0
12.0,awgn,0.06705606060606062,0.8658267152046233,0.21739545454545453,0.8825898776983379,0.9085858585858586,0.5893939393939394,0.09141414141414142,0.4106060606060606,0.0,0.0,0.8636246212266526,0.8541189210292713,0.0
14.0,awgn,0.33895151515151517,0.8638965570018516,0.21739545454545453,0.8825898776983379,0.33131313131313134,0.5893939393939394,0.6686868686868687,0.4106060606060606,0.0,0.0,0.8636246212266526,0.8541189210292713,0.04380097030919344
16.0,awgn,0.3415681818181818,0.8779870108945413,0.27068030303030305,0.8930587437070222,0.32575757575757575,0.4762626262626263,0.6742424242424242,0.5237373737373737,0.0,0.0,0.8636246212266526,0.876019406183868,0.2628058218551604
18.0,awgn,0.3415681818181818,0.8783396430904808,0.27068030303030305,0.8930587437070222,0.32575757575757575,0.4762626262626263,0.6742424242424242,0.5237373737373737,0.0,0.0,0.8636246212266526,0.876019406183868,0.5256116437103208
20.0,awgn,0.3244409090909091,0.8785241025472778,0.27068030303030305,0.8930587437070222,0.3621212121212121,0.4762626262626263,0.6378787878787879,0.5237373737373737,0.0,0.0,0.8636246212266526,0.876019406183868,0.6789150397924978
