name,mode,n_features,accuracy,mean_payload,mean_f1
oracle_3way,oracle,0,1.0,0.07395454545454545,0.8678999663411158
fixed_L,fixed,0,0.8939393939393939,0.023999999999999997,0.8621376727600639
fixed_C16,fixed,0,0.10606060606060606,0.49499999999999994,0.3845163668322871
fixed_C256,fixed,0,0.0,0.24749999999999997,0.10114274890899648
rf_base,base,21,0.8636363636363636,0.047787878787878796,0.8386943948171817
rf_csi,csi,22,0.8602693602693603,0.08902020202020203,0.8511517880646092
rf_full,full,23,0.9326599326599326,0.07554040404040405,0.8645952571662472
