budget,walk_depth,lambda_index,lambda,frozen_f1,frozen_payload,oof_f1,passed
0.1,0,3,0.1,0.85613,0.0294,0.85559,True
0.2,0,3,0.1,0.85613,0.0294,0.85559,True
0.3,0,3,0.1,0.85613,0.0294,0.85559,True
