realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.8601114730099801,0.8814719009210813,0.8857259099407493,0.033676363636363636,0.13992000000000002,0.2979927272727273,-0.021360427911101154,-0.10624363636363637,-0.025614436930769147,-0.2643163636363637
1,0.859707969099067,0.8846016417017571,0.8879710042240485,0.04583999999999999,0.18558545454545458,0.34190181818181814,-0.024893672602690153,-0.1397454545454546,-0.028263035124981517,-0.29606181818181815
2,0.8609326445660067,0.8846153139840993,0.8879916278630452,0.04241454545454544,0.18207272727272727,0.3419018181818182,-0.023682669418092606,-0.13965818181818185,-0.027058983297038486,-0.29948727272727277
3,0.8626224482771728,0.8839004144514533,0.888198204612936,0.04105090909090909,0.1838290909090909,0.33663272727272725,-0.02127796617428046,-0.1427781818181818,-0.025575756335763145,-0.29558181818181817
4,0.860375062378965,0.8821384513370062,0.8871598200072079,0.03907636363636363,0.15748363636363633,0.31204363636363636,-0.021763388958041197,-0.1184072727272727,-0.02678475762824295,-0.2729672727272727
5,0.8569108277370494,0.879660716734649,0.8840902048935321,0.027796363636363633,0.13289454545454546,0.30677454545454547,-0.022749888997599554,-0.10509818181818183,-0.027179377156482665,-0.27897818181818185
6,0.8587375566653546,0.8836693444012815,0.8881003460892458,0.029814545454545448,0.15572727272727274,0.30677454545454547,-0.02493178773592697,-0.1259127272727273,-0.029362789423891256,-0.27696000000000004
7,0.8586047988450387,0.8822306990903618,0.8852470316127078,0.04377818181818182,0.1627527272727273,0.3120436363636364,-0.023625900245323073,-0.11897454545454547,-0.026642232767669083,-0.2682654545454546
8,0.8624133486714661,0.8840250098777199,0.8887535397185145,0.040701818181818186,0.17856000000000002,0.3366327272727273,-0.021611661206253796,-0.13785818181818182,-0.026340191047048322,-0.29593090909090913
9,0.8594087066901401,0.8818395652985126,0.885541622858347,0.036709090909090906,0.14694545454545455,0.3015054545454546,-0.02243085860837246,-0.11023636363636363,-0.0261329161682069,-0.26479636363636366
10,0.858470635000526,0.8832485700107282,0.8863535931313785,0.03666545454545454,0.1732909090909091,0.30677454545454547,-0.0247779350102022,-0.13662545454545455,-0.02788295813085251,-0.2701090909090909
11,0.8590569245771544,0.8847931448762378,0.8893426116809662,0.040309090909090906,0.1645090909090909,0.3208254545454546,-0.0257362202990834,-0.1242,-0.030285687103811743,-0.2805163636363637
12,0.8612769073629603,0.8849795961795338,0.8885665604194047,0.0529090909090909,0.17153454545454547,0.3085309090909091,-0.02370268881657356,-0.11862545454545456,-0.027289653056444485,-0.2556218181818182
13,0.8592503903396255,0.8844929770481327,0.8889129294876137,0.03864,0.16275272727272727,0.30326181818181813,-0.02524258670850721,-0.12411272727272726,-0.02966253914798822,-0.2646218181818181
14,0.8595065173584302,0.8814741130699167,0.8852998182147223,0.03675272727272727,0.14694545454545455,0.27516,-0.021967595711486543,-0.11019272727272728,-0.025793300856292056,-0.23840727272727275
15,0.8588147124249664,0.8844104881322691,0.8888345368283882,0.03144,0.1680218181818182,0.31555636363636363,-0.025595775707302648,-0.1365818181818182,-0.03001982440342177,-0.2841163636363636
16,0.8604137843163069,0.8821108834097677,0.8876869026837292,0.0423709090909091,0.15572727272727271,0.31731272727272725,-0.021697099093460848,-0.11335636363636362,-0.0272731183674223,-0.2749418181818182
17,0.8606485341416782,0.8870300863181857,0.8903913625235911,0.05255999999999999,0.18207272727272725,0.3190690909090909,-0.026381552176507506,-0.12951272727272725,-0.02974282838191289,-0.2665090909090909
18,0.8605275349020868,0.8811836912015748,0.8874723850550502,0.035170909090909086,0.15397090909090907,0.3225818181818182,-0.020656156299488027,-0.11879999999999999,-0.02694485015296344,-0.2874109090909091
19,0.8597479188240265,0.880579614106375,0.885920661762107,0.04746545454545453,0.1451890909090909,0.31731272727272725,-0.020831695282348517,-0.09772363636363637,-0.026172742938080584,-0.2698472727272727
20,0.8590727048775733,0.8835911534259417,0.8896439971291689,0.036796363636363634,0.17153454545454544,0.31379999999999997,-0.024518448548368488,-0.1347381818181818,-0.030571292251595605,-0.27700363636363634
21,0.8594401781966816,0.8841731950481023,0.8905351992103734,0.03174545454545455,0.16802181818181816,0.31731272727272725,-0.02473301685142071,-0.1362763636363636,-0.03109502101369177,-0.28556727272727267
22,0.8602339403156076,0.8824246440790081,0.8864510101857542,0.037276363636363635,0.15221454545454546,0.2804290909090909,-0.022190703763400488,-0.11493818181818183,-0.026217069870146603,-0.24315272727272727
23,0.8591279785805915,0.8820291850566067,0.8863476781034623,0.040527272727272724,0.16626545454545455,0.3208254545454546,-0.022901206476015123,-0.12573818181818183,-0.027219699522870733,-0.28029818181818184
24,0.8600777124676253,0.8822875428977661,0.8870403260381617,0.04061454545454546,0.15572727272727274,0.30677454545454547,-0.022209830430140798,-0.11511272727272728,-0.02696261357053642,-0.26616
25,0.8590496201168335,0.8840473761510109,0.8883044340562732,0.038465454545454546,0.1680218181818182,0.31555636363636363,-0.02499775603417742,-0.12955636363636364,-0.02925481393943974,-0.2770909090909091
26,0.8608266476842674,0.8826738315910339,0.8871187302752801,0.03183272727272727,0.1539709090909091,0.31028727272727274,-0.021847183906766432,-0.12213818181818184,-0.026292082591012678,-0.27845454545454545
27,0.8595086547437658,0.8817841013136196,0.8863488443070501,0.035083636363636365,0.1311381818181818,0.2839418181818182,-0.022275446569853807,-0.09605454545454542,-0.026840189563284267,-0.2488581818181818
28,0.857965508140776,0.882406686543155,0.886421268755787,0.02942181818181818,0.14694545454545455,0.2821854545454545,-0.024441178402379027,-0.11752363636363636,-0.028455760615010983,-0.25276363636363636
29,0.8578069972144847,0.8834277145912448,0.8883140408483785,0.03337090909090909,0.15748363636363635,0.30326181818181813,-0.025620717376760083,-0.12411272727272726,-0.030507043633893782,-0.26989090909090907
30,0.8601696568975598,0.8827850928847805,0.8874843470196766,0.03898909090909091,0.16099636363636363,0.2997490909090909,-0.02261543598722071,-0.12200727272727271,-0.027314690122116847,-0.26076
31,0.8580302484519358,0.8823675233744243,0.8885639978810432,0.03512727272727273,0.1697781818181818,0.3296072727272727,-0.024337274922488494,-0.13465090909090907,-0.03053374942910747,-0.29447999999999996
32,0.8590110499910247,0.8862542991173651,0.8915044387930281,0.04035272727272727,0.18734181818181816,0.3594654545454546,-0.027243249126340352,-0.1469890909090909,-0.032493388802003365,-0.3191127272727273
33,0.858703823251947,0.881178932061897,0.8867093174961515,0.03486545454545454,0.16099636363636363,0.2892109090909091,-0.022475108809949962,-0.1261309090909091,-0.0280054942442044,-0.25434545454545454
34,0.8597528100173466,0.8817765358837077,0.8863878819597496,0.031789090909090906,0.15221454545454544,0.3225818181818182,-0.022023725866361143,-0.12042545454545453,-0.026635071942403,-0.2907927272727273
35,0.8601923197846729,0.8833999400781677,0.8889599330427802,0.03354545454545455,0.16626545454545455,0.3190690909090909,-0.02320762029349477,-0.13272,-0.028767613258107283,-0.28552363636363637
36,0.8601354379558515,0.8827361888566915,0.888810255070832,0.03684,0.1627527272727273,0.3296072727272727,-0.022600750900840016,-0.1259127272727273,-0.028674817114980544,-0.2927672727272727
37,0.8574080899939879,0.8816449991428907,0.8872310082144471,0.025865454545454542,0.15748363636363635,0.33136363636363636,-0.024236909148902863,-0.1316181818181818,-0.029822918220459238,-0.30549818181818184
38,0.8591622761572274,0.8840391237976148,0.8882802119939732,0.03525818181818182,0.15397090909090907,0.31028727272727274,-0.024876847640387445,-0.11871272727272725,-0.029117935836745823,-0.27502909090909095
39,0.8619231764420078,0.8830588172487523,0.8883205707665434,0.03859636363636364,0.15748363636363633,0.33487636363636364,-0.02113564080674457,-0.11888727272727269,-0.026397394324535584,-0.29628
