split,budget,feasible,cue,sign,tau_E,tau_D,tau_F,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,over_budget_2G,2G_vs_RF_dF_mean,2G_vs_RF_dF_lcb95,2G_vs_RF_dF_ucb95,2G_vs_RF_dB_mean,2G_vs_RF_dB_lcb95,2G_vs_RF_dB_ucb95,2G_vs_tau_dF_mean,2G_vs_tau_dF_lcb95,2G_vs_tau_dF_ucb95,2G_vs_tau_dB_mean,2G_vs_tau_dB_lcb95,2G_vs_tau_dB_ucb95
validate,0.1,True,pcd_num_points,1,,54866.75,0.6,0.85572,0.86101,0.85683,0.09612,0.08102,0.07215,-0.00388,-0.00528,-0.00535,-0.00522,0.0151,0.01422,0.01597,-0.0011,-0.00116,-0.00105,0.02397,0.02313,0.02484
validate,0.2,True,pcd_num_points,-1,,-54366.4,0.6,0.86207,0.8644,0.86119,0.19666,0.15106,0.21663,-0.00334,-0.00233,-0.00237,-0.00229,0.0456,0.04473,0.04649,0.00088,0.00082,0.00094,-0.01997,-0.02092,-0.01899
validate,0.3,True,ego_num_objects,1,,7.0,0.6,0.86269,0.86583,0.86259,0.28886,0.20361,0.31267,-0.01114,-0.00314,-0.00318,-0.0031,0.08526,0.08442,0.08611,0.0001,8e-05,0.00012,-0.02381,-0.02419,-0.02343
test,0.1,True,pcd_num_points,1,,54866.75,0.6,0.89229,0.89148,0.89247,0.0941,0.0368,0.0724,-0.0059,0.00081,0.00075,0.00087,0.0573,0.05661,0.05801,-0.00018,-0.00025,-0.0001,0.02171,0.02088,0.02253
test,0.2,True,pcd_num_points,-1,,-54366.4,0.6,0.89697,0.89691,0.89701,0.199,0.14141,0.21679,-0.001,5e-05,-2e-05,0.00012,0.0576,0.05663,0.05853,-5e-05,-0.00013,3e-05,-0.01779,-0.01877,-0.01681
test,0.3,True,ego_num_objects,1,,7.0,0.6,0.8964,0.89783,0.899,0.25418,0.21196,0.3125,-0.04582,-0.00144,-0.00153,-0.00135,0.04221,0.04135,0.04307,-0.0026,-0.00268,-0.00252,-0.05832,-0.0589,-0.05774
culver,0.1,True,pcd_num_points,1,,54866.75,0.6,0.85127,0.84667,0.84956,0.08613,0.02437,0.07176,-0.01387,0.00461,0.00448,0.00473,0.06176,0.0604,0.06307,0.00171,0.00156,0.00186,0.01438,0.01265,0.01605
culver,0.2,True,pcd_num_points,-1,,-54366.4,0.6,0.85254,0.84975,0.85858,0.17671,0.06751,0.2174,-0.02329,0.0028,0.00265,0.00294,0.10919,0.1072,0.11132,-0.00603,-0.00622,-0.00585,-0.04069,-0.04273,-0.0386
culver,0.3,True,ego_num_objects,1,,7.0,0.6,0.86316,0.85932,0.86316,0.31439,0.18226,0.31463,0.01439,0.00383,0.00375,0.00393,0.13213,0.13037,0.1339,-0.0,-1e-05,0.0,-0.00024,-0.00032,-0.00015
