split,ap50,ap70,late_f1_new,late_f1_oldcache,comp_f1_clean,fixed_C16_eff_oldcache
test,0.9054562724036409,0.8560450757951853,0.8867092333998091,0.8867092333998091,0.9325261965472111,0.4257466668385305
culver,0.8113704237029039,0.7240421050642621,0.8866845059676521,0.8866845059676521,0.9279129861749126,0.4674569333985865
