variant,status,split,n_features,train_oracle_acc,F1,F1_std,payload,rho_feature
full_ref,labeled variant / not deployed,validate,23,0.9667,0.86529,0.00053,0.18832,0.1703
snr_only,labeled variant / not deployed,validate,1,0.8032,0.85538,0.0,0.024,0.0
cont_obs,labeled variant / not deployed,validate,24,0.9672,0.86537,0.00053,0.19731,0.1796
