split,policy,F1_before,F1_after,AP50_before,AP50_after,AP70_before,AP70_after
validate,Fixed-L (late),0.8554,0.8554,0.7819,0.7819,0.7045,0.7045
validate,Feature-ceiling (comp),0.8843,0.8843,0.8369,0.8369,0.7441,0.7441
validate,ego-only,0.7358,0.7358,0.6116,0.6116,0.536,0.536
test,Fixed-L (late),0.891,0.891,0.8691,0.8691,0.8027,0.8027
test,Feature-ceiling (comp),0.9214,0.9214,0.8931,0.8931,0.8185,0.8185
test,ego-only,0.8176,0.8176,0.735,0.735,0.6508,0.6508
culver,Fixed-L (late),0.8466,0.8466,0.7299,0.7299,0.6463,0.6463
culver,Feature-ceiling (comp),0.9059,0.9059,0.8269,0.8269,0.7276,0.7276
culver,ego-only,0.769,0.769,0.6185,0.6185,0.5312,0.5312
