qam,channel,esno_db,bler_cw,k,harq,n_cw_per_fragment,q_fragment,bler_frame,payload_factor,feasible
16,rayleigh,2.0,0.9385,4,0,990,1.0,1.0,1.0,False
16,rayleigh,2.0,0.9385,4,1,990,1.0,1.0,2.0,False
16,rayleigh,3.0,0.8835,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,3.0,0.8835,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,3.0,0.8835,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,3.0,0.8835,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,3.0,0.8835,4,0,990,1.0,1.0,1.0,False
16,rayleigh,3.0,0.8835,4,1,990,1.0,1.0,2.0,False
16,rayleigh,3.5,0.8605,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,3.5,0.8605,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,3.5,0.8605,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,3.5,0.8605,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,3.5,0.8605,4,0,990,1.0,1.0,1.0,False
16,rayleigh,3.5,0.8605,4,1,990,1.0,1.0,2.0,False
16,rayleigh,4.0,0.8145,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,4.0,0.8145,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,4.0,0.8145,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,4.0,0.8145,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,4.0,0.8145,4,0,990,1.0,1.0,1.0,False
16,rayleigh,4.0,0.8145,4,1,990,1.0,1.0,2.0,False
16,rayleigh,4.5,0.787,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,4.5,0.787,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,4.5,0.787,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,4.5,0.787,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,4.5,0.787,4,0,990,1.0,1.0,1.0,False
16,rayleigh,4.5,0.787,4,1,990,1.0,1.0,2.0,False
16,rayleigh,5.0,0.7175,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,5.0,0.7175,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,5.0,0.7175,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,5.0,0.7175,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,5.0,0.7175,4,0,990,1.0,1.0,1.0,False
16,rayleigh,5.0,0.7175,4,1,990,1.0,1.0,2.0,False
16,rayleigh,5.5,0.7125,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,5.5,0.7125,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,5.5,0.7125,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,5.5,0.7125,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,5.5,0.7125,4,0,990,1.0,1.0,1.0,False
16,rayleigh,5.5,0.7125,4,1,990,1.0,1.0,2.0,False
16,rayleigh,6.0,0.6605,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,6.0,0.6605,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,6.0,0.6605,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,6.0,0.6605,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,6.0,0.6605,4,0,990,1.0,1.0,1.0,False
16,rayleigh,6.0,0.6605,4,1,990,1.0,1.0,2.0,False
16,rayleigh,6.5,0.6205,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,6.5,0.6205,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,6.5,0.6205,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,6.5,0.6205,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,6.5,0.6205,4,0,990,1.0,1.0,1.0,False
16,rayleigh,6.5,0.6205,4,1,990,1.0,1.0,2.0,False
16,rayleigh,7.0,0.5575,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,7.0,0.5575,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,7.0,0.5575,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,7.0,0.5575,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,7.0,0.5575,4,0,990,1.0,1.0,1.0,False
16,rayleigh,7.0,0.5575,4,1,990,1.0,1.0,2.0,False
16,rayleigh,7.5,0.551,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,7.5,0.551,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,7.5,0.551,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,7.5,0.551,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,7.5,0.551,4,0,990,1.0,1.0,1.0,False
16,rayleigh,7.5,0.551,4,1,990,1.0,1.0,2.0,False
16,rayleigh,8.0,0.4645,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,8.0,0.4645,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,8.0,0.4645,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,8.0,0.4645,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,8.0,0.4645,4,0,990,1.0,1.0,1.0,False
16,rayleigh,8.0,0.4645,4,1,990,1.0,1.0,2.0,False
16,rayleigh,8.5,0.436,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,8.5,0.436,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,8.5,0.436,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,8.5,0.436,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,8.5,0.436,4,0,990,1.0,1.0,1.0,False
16,rayleigh,8.5,0.436,4,1,990,1.0,1.0,2.0,False
16,rayleigh,9.0,0.4085,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,9.0,0.4085,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,9.0,0.4085,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,9.0,0.4085,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,9.0,0.4085,4,0,990,1.0,1.0,1.0,False
16,rayleigh,9.0,0.4085,4,1,990,1.0,1.0,2.0,False
16,rayleigh,9.5,0.382,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,9.5,0.382,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,9.5,0.382,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,9.5,0.382,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,9.5,0.382,4,0,990,1.0,1.0,1.0,False
16,rayleigh,9.5,0.382,4,1,990,1.0,1.0,2.0,False
16,rayleigh,10.0,0.3505,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,10.0,0.3505,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,10.0,0.3505,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,10.0,0.3505,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,10.0,0.3505,4,0,990,1.0,1.0,1.0,False
16,rayleigh,10.0,0.3505,4,1,990,1.0,1.0,2.0,False
16,rayleigh,10.5,0.3265,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,10.5,0.3265,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,10.5,0.3265,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,10.5,0.3265,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,10.5,0.3265,4,0,990,1.0,1.0,1.0,False
16,rayleigh,10.5,0.3265,4,1,990,1.0,1.0,2.0,False
16,rayleigh,11.0,0.2945,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,11.0,0.2945,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,11.0,0.2945,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,11.0,0.2945,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,11.0,0.2945,4,0,990,1.0,1.0,1.0,False
16,rayleigh,11.0,0.2945,4,1,990,1.0,1.0,2.0,False
16,rayleigh,11.5,0.2405,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,11.5,0.2405,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,11.5,0.2405,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,11.5,0.2405,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,11.5,0.2405,4,0,990,1.0,1.0,1.0,False
16,rayleigh,11.5,0.2405,4,1,990,1.0,1.0,2.0,False
16,rayleigh,12.0,0.236,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,12.0,0.236,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,12.0,0.236,2,0,1980,1.0,1.0,1.0,False
