split,budget,k,harq,policy,F1,payload,dF_vs_no_harq,dB_vs_no_harq
test,0.3,4,0,RF,0.89783,0.21197,0.0,0.0
test,0.3,4,0,tau,0.899,0.3125,0.0,0.0
test,0.3,4,0,Fixed-L,0.89095,0.024,0.0,0.0
test,0.3,1,1,RF,0.89805,0.21568,0.00022,0.00371
test,0.3,1,1,tau,0.89963,0.32245,0.00063,0.00995
test,0.3,1,1,Fixed-L,0.89095,0.024,0.0,0.0
test,0.3,2,1,RF,0.8981,0.21446,0.00027,0.00249
test,0.3,2,1,tau,0.89979,0.31811,0.00079,0.00561
test,0.3,2,1,Fixed-L,0.89095,0.024,0.0,0.0
test,0.3,4,1,RF,0.89814,0.21373,0.00031,0.00176
test,0.3,4,1,tau,0.8999,0.31549,0.0009,0.00299
test,0.3,4,1,Fixed-L,0.89095,0.024,0.0,0.0
culver,0.1,1,0,RF,0.84667,0.02437,0.0,0.0
culver,0.1,1,0,tau,0.84956,0.07176,0.0,0.0
culver,0.1,1,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.1,2,0,RF,0.84667,0.02437,0.0,0.0
culver,0.1,2,0,tau,0.84956,0.07176,0.0,0.0
culver,0.1,2,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.1,4,0,RF,0.84667,0.02437,0.0,0.0
culver,0.1,4,0,tau,0.84956,0.07176,0.0,0.0
culver,0.1,4,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.1,1,1,RF,0.84667,0.02437,0.0,0.0
culver,0.1,1,1,tau,0.84956,0.07176,0.0,0.0
culver,0.1,1,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.1,2,1,RF,0.84667,0.02437,0.0,0.0
culver,0.1,2,1,tau,0.84956,0.07176,0.0,0.0
culver,0.1,2,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.1,4,1,RF,0.84667,0.02437,0.0,0.0
culver,0.1,4,1,tau,0.84956,0.07176,0.0,0.0
culver,0.1,4,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,1,0,RF,0.84975,0.06751,0.0,0.0
culver,0.2,1,0,tau,0.85858,0.2174,0.0,0.0
culver,0.2,1,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,2,0,RF,0.84975,0.06751,0.0,0.0
culver,0.2,2,0,tau,0.85858,0.2174,0.0,0.0
culver,0.2,2,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,4,0,RF,0.84975,0.06751,0.0,0.0
culver,0.2,4,0,tau,0.85858,0.2174,0.0,0.0
culver,0.2,4,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,1,1,RF,0.84978,0.06791,3e-05,0.0004
culver,0.2,1,1,tau,0.85858,0.2174,0.0,0.0
culver,0.2,1,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,2,1,RF,0.84979,0.06774,4e-05,0.00023
culver,0.2,2,1,tau,0.85858,0.2174,0.0,0.0
culver,0.2,2,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.2,4,1,RF,0.84979,0.06763,4e-05,0.00012
culver,0.2,4,1,tau,0.85858,0.2174,0.0,0.0
culver,0.2,4,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,1,0,RF,0.85932,0.18226,0.0,0.0
culver,0.3,1,0,tau,0.86316,0.31463,0.0,0.0
culver,0.3,1,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,2,0,RF,0.85932,0.18226,0.0,0.0
culver,0.3,2,0,tau,0.86316,0.31463,0.0,0.0
culver,0.3,2,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,4,0,RF,0.85932,0.18226,0.0,0.0
culver,0.3,4,0,tau,0.86316,0.31463,0.0,0.0
culver,0.3,4,0,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,1,1,RF,0.85948,0.18411,0.00016,0.00185
culver,0.3,1,1,tau,0.864,0.32472,0.00084,0.01009
culver,0.3,1,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,2,1,RF,0.85952,0.18338,0.0002,0.00112
culver,0.3,2,1,tau,0.86422,0.32032,0.00106,0.00569
culver,0.3,2,1,Fixed-L,0.84664,0.024,0.0,0.0
culver,0.3,4,1,RF,0.85955,0.18294,0.00023,0.00068
culver,0.3,4,1,tau,0.86437,0.31766,0.00121,0.00303
culver,0.3,4,1,Fixed-L,0.84664,0.024,0.0,0.0
