rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
63,23,400,10.0,2,0.5,balanced,0.05,0.854181,0.88098,0.087003,0,,,
64,51,400,10.0,4,0.5,balanced,0.05,0.8539,0.880995,0.083407,0,,,
65,107,400,,4,0.5,balanced,0.05,0.853749,0.877735,0.025361,0,,,
66,27,400,10.0,2,0.5,balanced,0.5,0.852413,0.876679,0.023103,0,,,
67,55,400,10.0,4,0.5,balanced,0.5,0.852413,0.876679,0.023103,0,,,
68,71,400,,2,0.5,,0.02,0.851692,0.873755,0.159375,0,,,
69,72,400,,2,0.5,,0.05,0.848244,0.870733,0.03413,0,,,
70,100,400,,4,0.5,,0.05,0.848007,0.870287,0.031939,0,,,
71,16,400,10.0,2,0.5,,0.05,0.84794,0.870188,0.028533,0,,,
72,44,400,10.0,4,0.5,,0.05,0.847919,0.870122,0.027948,0,,,
73,5,400,10.0,2,sqrt,,0.35,0.847717,0.869985,0.022097,0,,,
74,33,400,10.0,4,sqrt,,0.35,0.847717,0.869985,0.022097,0,,,
75,61,400,,2,sqrt,,0.35,0.847272,0.869461,0.022012,0,,,
76,89,400,,4,sqrt,,0.35,0.847227,0.869412,0.022,0,,,
77,6,400,10.0,2,sqrt,,0.5,0.846524,0.868647,0.021879,0,,,
78,34,400,10.0,4,sqrt,,0.5,0.846524,0.868647,0.021879,0,,,
79,62,400,,2,sqrt,,0.5,0.846442,0.868557,0.02183,0,,,
80,90,400,,4,sqrt,,0.5,0.84635,0.868457,0.021806,0,,,
81,73,400,,2,0.5,,0.1,0.845579,0.867503,0.026941,0,,,
82,101,400,,4,0.5,,0.1,0.845486,0.867453,0.022436,0,,,
83,45,400,10.0,4,0.5,,0.1,0.845477,0.867442,0.021882,0,,,
84,17,400,10.0,2,0.5,,0.1,0.845456,0.867436,0.022219,0,,,
85,20,400,10.0,2,0.5,,0.5,0.845364,0.867392,0.021503,0,,,
86,48,400,10.0,4,0.5,,0.5,0.845364,0.867392,0.021503,0,,,
87,76,400,,2,0.5,,0.5,0.845344,0.867359,0.021491,0,,,
88,104,400,,4,0.5,,0.5,0.845344,0.867359,0.021491,0,,,
89,19,400,10.0,2,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
90,47,400,10.0,4,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
91,75,400,,2,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
92,103,400,,4,0.5,,0.35,0.845086,0.86731,0.021406,0,,,
93,18,400,10.0,2,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
94,46,400,10.0,4,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
95,74,400,,2,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
96,102,400,,4,0.5,,0.2,0.845043,0.866729,0.021333,0,,,
97,26,400,10.0,2,0.5,balanced,0.35,0.833693,0.870912,0.017285,0,,,
98,54,400,10.0,4,0.5,balanced,0.35,0.833693,0.870912,0.017285,0,,,
