fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_09_09_19_27_35,7,400,10.0,2,sqrt,balanced,0.0,459,0.739905,0.322084
2021_09_11_00_33_16,7,400,10.0,2,sqrt,balanced,0.0,746,0.858864,0.029827
2021_08_20_21_48_35,8,400,10.0,2,sqrt,balanced,0.02,112,0.870414,0.266284
2021_08_21_17_30_41,8,400,10.0,2,sqrt,balanced,0.02,157,0.889946,0.212222
2021_08_22_13_37_16,8,400,10.0,2,sqrt,balanced,0.02,135,0.972583,0.079293
2021_08_22_22_01_17,8,400,10.0,2,sqrt,balanced,0.02,202,0.987601,0.19768
2021_08_23_10_51_24,8,400,10.0,2,sqrt,balanced,0.02,64,0.894478,0.208555
2021_08_23_13_17_21,8,400,10.0,2,sqrt,balanced,0.02,48,0.919124,0.216102
2021_08_23_19_42_07,8,400,10.0,2,sqrt,balanced,0.02,57,0.809903,0.218124
2021_09_09_19_27_35,8,400,10.0,2,sqrt,balanced,0.02,459,0.743609,0.282767
2021_09_11_00_33_16,8,400,10.0,2,sqrt,balanced,0.02,746,0.858642,0.024
2021_08_20_21_48_35,9,400,10.0,2,sqrt,balanced,0.05,112,0.855654,0.053795
2021_08_21_17_30_41,9,400,10.0,2,sqrt,balanced,0.05,157,0.882439,0.026237
2021_08_22_13_37_16,9,400,10.0,2,sqrt,balanced,0.05,135,0.971686,0.024
2021_08_22_22_01_17,9,400,10.0,2,sqrt,balanced,0.05,202,0.987016,0.032043
2021_08_23_10_51_24,9,400,10.0,2,sqrt,balanced,0.05,64,0.891246,0.134459
2021_08_23_13_17_21,9,400,10.0,2,sqrt,balanced,0.05,48,0.919503,0.14475
2021_08_23_19_42_07,9,400,10.0,2,sqrt,balanced,0.05,57,0.805234,0.107196
2021_09_09_19_27_35,9,400,10.0,2,sqrt,balanced,0.05,459,0.743291,0.077188
2021_09_11_00_33_16,9,400,10.0,2,sqrt,balanced,0.05,746,0.858642,0.024
2021_08_20_21_48_35,10,400,10.0,2,sqrt,balanced,0.1,112,0.854261,0.024
2021_08_21_17_30_41,10,400,10.0,2,sqrt,balanced,0.1,157,0.882277,0.024
2021_08_22_13_37_16,10,400,10.0,2,sqrt,balanced,0.1,135,0.971686,0.024
2021_08_22_22_01_17,10,400,10.0,2,sqrt,balanced,0.1,202,0.98737,0.024
2021_08_23_10_51_24,10,400,10.0,2,sqrt,balanced,0.1,64,0.886513,0.024
2021_08_23_13_17_21,10,400,10.0,2,sqrt,balanced,0.1,48,0.91825,0.024
2021_08_23_19_42_07,10,400,10.0,2,sqrt,balanced,0.1,57,0.800953,0.024
2021_09_09_19_27_35,10,400,10.0,2,sqrt,balanced,0.1,459,0.744245,0.034906
2021_09_11_00_33_16,10,400,10.0,2,sqrt,balanced,0.1,746,0.858642,0.024
2021_08_20_21_48_35,11,400,10.0,2,sqrt,balanced,0.2,112,0.854261,0.024
2021_08_21_17_30_41,11,400,10.0,2,sqrt,balanced,0.2,157,0.882277,0.024
2021_08_22_13_37_16,11,400,10.0,2,sqrt,balanced,0.2,135,0.971686,0.024
2021_08_22_22_01_17,11,400,10.0,2,sqrt,balanced,0.2,202,0.98737,0.024
2021_08_23_10_51_24,11,400,10.0,2,sqrt,balanced,0.2,64,0.886513,0.024
2021_08_23_13_17_21,11,400,10.0,2,sqrt,balanced,0.2,48,0.91825,0.024
2021_08_23_19_42_07,11,400,10.0,2,sqrt,balanced,0.2,57,0.800953,0.024
2021_09_09_19_27_35,11,400,10.0,2,sqrt,balanced,0.2,459,0.744719,0.024
2021_09_11_00_33_16,11,400,10.0,2,sqrt,balanced,0.2,746,0.858642,0.024
2021_08_20_21_48_35,12,400,10.0,2,sqrt,balanced,0.35,112,0.854261,0.024
2021_08_21_17_30_41,12,400,10.0,2,sqrt,balanced,0.35,157,0.882277,0.024
2021_08_22_13_37_16,12,400,10.0,2,sqrt,balanced,0.35,135,0.971686,0.024
2021_08_22_22_01_17,12,400,10.0,2,sqrt,balanced,0.35,202,0.98737,0.024
2021_08_23_10_51_24,12,400,10.0,2,sqrt,balanced,0.35,64,0.886513,0.024
2021_08_23_13_17_21,12,400,10.0,2,sqrt,balanced,0.35,48,0.91825,0.024
2021_08_23_19_42_07,12,400,10.0,2,sqrt,balanced,0.35,57,0.800953,0.024
2021_09_09_19_27_35,12,400,10.0,2,sqrt,balanced,0.35,459,0.744719,0.024
2021_09_11_00_33_16,12,400,10.0,2,sqrt,balanced,0.35,746,0.858642,0.024
2021_08_20_21_48_35,13,400,10.0,2,sqrt,balanced,0.5,112,0.854261,0.024
2021_08_21_17_30_41,13,400,10.0,2,sqrt,balanced,0.5,157,0.882277,0.024
2021_08_22_13_37_16,13,400,10.0,2,sqrt,balanced,0.5,135,0.970981,0.023644
2021_08_22_22_01_17,13,400,10.0,2,sqrt,balanced,0.5,202,0.98737,0.024
2021_08_23_10_51_24,13,400,10.0,2,sqrt,balanced,0.5,64,0.886513,0.024
2021_08_23_13_17_21,13,400,10.0,2,sqrt,balanced,0.5,48,0.91825,0.024
2021_08_23_19_42_07,13,400,10.0,2,sqrt,balanced,0.5,57,0.800953,0.024
2021_09_09_19_27_35,13,400,10.0,2,sqrt,balanced,0.5,459,0.744719,0.024
2021_09_11_00_33_16,13,400,10.0,2,sqrt,balanced,0.5,746,0.858642,0.024
2021_08_20_21_48_35,14,400,10.0,2,0.5,,0.0,112,0.861307,0.127247
2021_08_21_17_30_41,14,400,10.0,2,0.5,,0.0,157,0.887679,0.149574
2021_08_22_13_37_16,14,400,10.0,2,0.5,,0.0,135,0.972535,0.119446
2021_08_22_22_01_17,14,400,10.0,2,0.5,,0.0,202,0.92129,0.083282
2021_08_23_10_51_24,14,400,10.0,2,0.5,,0.0,64,0.890636,0.110446
2021_08_23_13_17_21,14,400,10.0,2,0.5,,0.0,48,0.917676,0.128284
