split,policy,payload,f1
validate,Fixed L,0.024,0.8636
validate,Fixed C16,0.495,0.4138
validate,Fixed C256,0.2475,0.1129
validate,Oracle,0.0737,0.8692
validate,"CA-TOSG (RF, deployed)",0.0875,0.8674
test,Fixed L,0.024,0.8867
test,Fixed C16,0.495,0.4257
test,Fixed C256,0.2475,0.1158
test,Oracle,0.0737,0.8939
test,"CA-TOSG (RF, deployed)",0.0813,0.8883
