sample_id,late_num_pred,late_num_gt,late_tp,late_fp,late_fn,late_precision,late_recall,late_f1,late_payload_Mbit,early_num_pred,early_num_gt,early_tp,early_fp,early_fn,early_precision,early_recall,early_f1,early_payload_Mbit,intermediate_num_pred,intermediate_num_gt,intermediate_tp,intermediate_fp,intermediate_fn,intermediate_precision,intermediate_recall,intermediate_f1,intermediate_payload_Mbit,compressed_num_pred,compressed_num_gt,compressed_tp,compressed_fp,compressed_fn,compressed_precision,compressed_recall,compressed_f1,compressed_payload_Mbit,late_f1_gain_over_late,late_gain_per_extra_Mbit,early_f1_gain_over_late,early_gain_per_extra_Mbit,intermediate_f1_gain_over_late,intermediate_gain_per_extra_Mbit,compressed_f1_gain_over_late,compressed_gain_per_extra_Mbit,best_method_by_f1,best_level_by_f1,best_f1,best_payload_Mbit,num_cavs,cav_keys,ego_num_objects,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,pcd_num_points,pcd_mean_range,pcd_max_range,pcd_std_range,pcd_near_20m,pcd_mid_20_50m,pcd_far_50_80m,pcd_very_far_80m,pcd_front_points,pcd_back_points,pcd_left_points,pcd_right_points,pcd_front_far_30m,pcd_front_far_50m,pcd_density_0_20,pcd_density_20_50,pcd_density_50_80,est_snr_db,bler_16qam,effective_compressed_f1,channel_oracle
10,15,12,12,3,0,0.8,1.0,0.888888888888889,0.024,15,13,11,4,2,0.7333333333333333,0.8461538461538461,0.7857142857142856,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,1.98,0.0,,-0.1031746031746033,-0.0134763065797548,0.0341880341880341,0.0002696727628891,0.074074074074074,0.0378701810194652,compressed,compressed_feature_level,0.962962962962963,1.98,4,ego|2158|2167|2176,10,54983,4,54983,10.848421096801758,74.47969818115234,9.206369400024414,50264,3732,987,0,26907,28076,28072,26911,1788,860,39.99882029785513,0.5656821405894794,0.0805568865803593,16.317071082430644,0.0,0.962962962962963,compressed
11,15,13,12,3,1,0.8,0.9230769230769232,0.8571428571428571,0.024,14,13,12,2,1,0.8571428571428571,0.9230769230769232,0.888888888888889,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,1.98,0.0,,0.0317460317460318,0.0041465558706938,0.065934065934066,0.0005200831855719,0.1058201058201059,0.0541002585992361,compressed,compressed_feature_level,0.962962962962963,1.98,4,ego|2158|2167|2176,11,55008,4,55008,10.88662815093994,73.63764953613281,9.179502487182615,50190,3897,921,0,26881,28127,28150,26858,1876,806,39.93993296891114,0.5906922030753488,0.0751701038910951,0.0547700034029619,1.0,0.0,late
12,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.024,14,13,12,2,1,0.8571428571428571,0.9230769230769232,0.888888888888889,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,-0.074074074074074,-0.0096752970316188,-0.0398860398860398,-0.0003146182233706,0.0370370370370369,0.0189350905097326,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,11,54955,4,54955,10.94289207458496,72.82257843017578,9.224249839782717,50009,4048,898,0,26861,28094,28071,26884,2017,773,39.79589774541297,0.613580199653326,0.0732928917418061,17.148085531751388,0.0,1.0,compressed
13,15,13,12,3,1,0.8,0.9230769230769232,0.8571428571428571,0.024,15,13,12,3,1,0.8,0.9230769230769232,0.8571428571428571,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,1.98,0.0,,0.0,0.0,0.065934065934066,0.0005200831855719,0.1058201058201059,0.0541002585992361,compressed,compressed_feature_level,0.962962962962963,1.98,4,ego|2158|2167|2176,11,54921,4,54921,10.954940795898438,72.8140640258789,9.190299034118652,49888,4193,840,0,26835,28086,28122,26799,2001,722,39.69960900484237,0.6355587394136354,0.0685590524088164,0.6717115061092871,1.0,0.0,late
14,15,13,13,2,0,0.8666666666666667,1.0,0.9285714285714286,0.024,16,13,12,4,1,0.75,0.9230769230769232,0.8275862068965517,7.68,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,126.8,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,1.98,0.0,,-0.1009852216748768,-0.0131903372093621,0.0343915343915344,0.0002712779579063,0.0343915343915344,0.0175825840447517,compressed,compressed_feature_level,0.962962962962963,1.98,4,ego|2158|2167|2176,11,54807,4,54807,10.997199058532717,72.00762176513672,9.214734077453612,49675,4347,785,0,26720,28087,27949,26858,2020,661,39.53010899044951,0.6589014644004467,0.0640700668344296,14.59310892859888,0.017586138392513995,0.946028163029431,compressed
15,15,13,13,2,0,0.8666666666666667,1.0,0.9285714285714286,0.024,17,13,12,5,1,0.7058823529411765,0.9230769230769232,0.8000000000000002,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,1.98,0.0,,-0.1285714285714284,-0.0167935512763098,0.0714285714285714,0.0005634234510362,-0.0054945054945054,-0.0028090518888064,intermediate,feature_level,1.0,126.8,4,ego|2158|2167|2176,11,54795,4,54795,11.046493530273438,79.7137451171875,9.249184608459473,49618,4449,728,0,26655,28140,28012,26783,2052,607,39.48474983166831,0.6743622303008022,0.0594178454209742,3.5131124120511803,1.0,0.0,late
16,17,13,13,4,0,0.7647058823529411,1.0,0.8666666666666666,0.024,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,7.68,12,13,12,0,1,1.0,0.9230769230769232,0.96,126.8,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.98,0.0,,0.0564102564102565,0.0073681108163866,0.0933333333333334,0.0007362066426873,-0.0205128205128204,-0.0104871270515441,intermediate,feature_level,0.96,126.8,4,ego|2158|2167|2176,11,54769,4,54769,11.13788604736328,79.5944595336914,9.330918312072754,49358,4745,666,0,26571,28198,27901,26868,2121,549,39.27784840564885,0.719228766639089,0.0543575344098473,17.26357844699773,0.0,0.8461538461538461,late
17,16,13,13,3,0,0.8125,1.0,0.896551724137931,0.024,13,13,13,0,0,1.0,1.0,1.0,7.68,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,126.8,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.98,0.0,,0.1034482758620689,0.0135120527510539,0.026525198938992,0.0002092288677588,-0.1273209549071617,-0.0650925127337228,early,raw_level,1.0,7.68,4,ego|2158|2167|2176,11,54804,4,54804,11.180593490600586,80.00924682617188,9.31155776977539,49265,4940,598,1,26589,28215,27933,26871,2115,486,39.20384135711112,0.7487861132132981,0.0488075158815145,10.829224404981835,0.24452042406590602,0.5811381353339184,late
18,17,13,13,4,0,0.7647058823529411,1.0,0.8666666666666666,0.024,14,13,12,2,1,0.8571428571428571,0.9230769230769232,0.888888888888889,7.68,14,13,12,2,1,0.8571428571428571,0.9230769230769232,0.888888888888889,126.8,13,13,13,0,0,1.0,1.0,1.0,1.98,0.0,,0.0222222222222223,0.0029025891094856,0.0222222222222223,0.0001752872958779,0.1333333333333334,0.0681663258350375,compressed,compressed_feature_level,1.0,1.98,4,ego|2158|2167|2176,11,54619,4,54619,11.217269897460938,80.34925842285156,9.289910316467283,48859,5184,572,4,26453,28166,27760,26859,2082,462,38.880756822634574,0.785770690465129,0.0466854499736226,5.994237810747696,1.0,0.0,late
19,16,13,12,4,1,0.75,0.9230769230769232,0.8275862068965517,0.024,13,13,13,0,0,1.0,1.0,1.0,7.68,13,13,13,0,0,1.0,1.0,1.0,126.8,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,1.98,0.0,,0.1724137931034483,0.0225200879184232,0.1724137931034483,0.0013599876404323,0.0954907161803714,0.0488193845502921,early,raw_level,1.0,7.68,4,ego|2158|2167|2176,11,54450,4,54450,11.303607940673828,72.50212860107422,9.327768325805664,48497,5403,550,0,26345,28105,27663,26787,2038,427,38.59268637563824,0.8189658643100101,0.0448898557438679,8.453744423953168,0.7479075046105372,0.23270076497488876,late
20,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.024,15,13,11,4,2,0.7333333333333333,0.8461538461538461,0.7857142857142856,7.68,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,126.8,13,13,12,1,1,0.9230769230769232,0.9230769230769232,0.9230769230769232,1.98,0.0,,-0.1772486772486774,-0.0231516036113737,-0.1168091168091168,-0.0009213819398712,-0.0398860398860398,-0.0203916359335582,late,object_level,0.962962962962963,0.024,4,ego|2158|2167|2176,11,54675,4,54675,11.361207008361816,72.673583984375,9.295863151550291,48416,5734,525,0,26463,28212,27760,26915,2018,415,38.528228623686026,0.8691375654180266,0.0428494077555102,0.5663934229092593,1.0,0.0,late
21,14,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.024,14,13,12,2,1,0.8571428571428571,0.9230769230769232,0.888888888888889,7.68,12,13,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999,126.8,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.98,0.0,,-0.074074074074074,-0.0096752970316188,-0.0829629629629631,-0.0006544059046109,-0.1168091168091168,-0.0597183623768491,late,object_level,0.962962962962963,0.024,4,ego|2158|2167|2176,11,54252,4,54252,11.409388542175291,73.38372802734375,9.263452529907228,47850,5896,506,0,26133,28119,27602,26650,2030,403,38.07782013473596,0.8936928994950618,0.0412986672843584,2.485665529991279,1.0,0.0,late
22,17,14,14,3,0,0.8235294117647058,1.0,0.9032258064516128,0.024,17,14,14,3,0,0.8235294117647058,1.0,0.9032258064516128,7.68,14,14,14,0,0,1.0,1.0,1.0,126.8,13,14,11,2,3,0.8461538461538461,0.7857142857142857,0.8148148148148148,1.98,0.0,,0.0,0.0,0.0967741935483871,0.0007633479014039,-0.0884109916367981,-0.0451998934748456,intermediate,feature_level,1.0,126.8,4,ego|2158|2167|2176,12,54256,4,54256,11.4655179977417,75.69149780273438,9.296719551086426,47784,5961,511,0,26313,27943,27430,26826,2070,408,38.025299003515634,0.9035453483531316,0.04170675688203,13.412488293872606,0.025,0.7944444444444444,late
23,15,14,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931,0.024,18,14,13,5,1,0.7222222222222222,0.9285714285714286,0.8125000000000001,7.68,15,14,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931,126.8,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.98,0.0,,-0.0840517241379309,-0.0109785428602313,0.0,0.0,-0.0394088669950739,-0.0201476825128189,late,object_level,0.896551724137931,0.024,4,ego|2158|2167|2176,13,54264,4,54264,11.4993896484375,72.75408935546875,9.259057998657228,47792,5999,473,0,26273,27991,27522,26742,2043,371,38.031665201239306,0.9093052415316956,0.0386052759397264,12.943790231485002,0.025,0.8357142857142856,late
