snr_db,rf_frac_L,rf_mean_payload,rf_mean_f1,oracle_frac_L,oracle_mean_payload,oracle_mean_f1,fixedC_mean_f1,bler_16qam
0.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.0,1.0
2.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.0,1.0
4.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.0,1.0
6.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.0,1.0
8.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.1314029109275802,0.85
10.0,1.0,0.024000000000000004,0.8636246212266526,1.0,0.024000000000000004,0.8636246212266526,0.5256116437103208,0.4
12.0,0.5015151515151515,0.9990363636363637,0.8686584216658904,0.5893939393939394,0.8271454545454544,0.8825898776983379,0.8541189210292713,0.025
14.0,0.3419191919191919,1.3112060606060607,0.8666566267951371,0.5893939393939394,0.8271454545454544,0.8825898776983379,0.8541189210292713,0.025
16.0,0.31262626262626264,1.3685030303030306,0.880789267856777,0.4762626262626263,1.048430303030303,0.8930587437070222,0.876019406183868,0.0
18.0,0.29393939393939394,1.4050545454545453,0.8805353346347845,0.4762626262626263,1.048430303030303,0.8930587437070222,0.876019406183868,0.0
20.0,0.2919191919191919,1.4090060606060608,0.8806693616463063,0.4762626262626263,1.048430303030303,0.8930587437070222,0.876019406183868,0.0
