split,threshold,budget,rate,realised_mean_fraction,realised_fraction_deviation,realised_ncw_mean,realised_ncw_min,realised_ncw_max,n_cw_mean,n_cw_min,n_cw_max,n_cw_source,accounting,realisations,mean_delivery_rate,w2c_ap50,w2c_ap50_std,w2c_ap70,catosg_ap50,catosg_ap50_std,catosg_ap70,d_ap50,w2c_ideal_ap50,mixture,mixture_with_threshold,mixture_p,mixture_note
culver,0.02,0.10,0.0908,0.09078,0.0,376.2,175,544,376.2,175,544,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.3014,0.81557,0.00241,0.71168,0.89508,2e-05,0.79817,-0.07952,0.89572,,,,
test,0.015,0.10,0.0802,0.08021,0.0,331.9,42,820,331.9,42,820,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.3002,0.87336,0.00143,0.77419,0.94492,0.00015,0.87681,-0.07155,0.94358,,,,
validate,0.02,0.10,0.0831,0.08314,0.0,343.9,63,612,343.9,63,612,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.3001,0.82394,0.00166,0.73035,0.9088,0.00027,0.81943,-0.08486,0.91519,,,,
test,0.013,0.20,0.1978,0.19774,-9e-05,798.9,42,1915,798.9,42,1915,mixture-realised,"per-frame, ceil (R60-1, R61-1)",200,0.2977,0.87325,0.00143,0.77393,0.94492,0.00051,0.8762,-0.07166,0.94417,True,0.015,0.5052,"amendment A2, POST-HOC: p chosen so the mean transmitted fraction equals the cap; each frame charged at its own selected point"
culver,0.013,0.30,0.3117,0.31173,0.0,1251.8,755,1972,1251.8,755,1972,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.2972,0.81597,0.00241,0.71119,0.89878,0.00085,0.80079,-0.0828,0.89885,,,,
test,0.013,0.30,0.313,0.31304,0.0,1257.0,668,1915,1257.0,668,1915,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.2952,0.87312,0.00141,0.77366,0.94332,0.00067,0.8729,-0.07021,0.94417,,,,
validate,0.013,0.30,0.3209,0.32089,0.0,1288.1,518,1872,1288.1,518,1872,single-point,"per-frame, ceil (R60-1, R61-1)",200,0.2954,0.8237,0.00167,0.72996,0.9091,0.0006,0.81965,-0.0854,0.91653,,,,
