split,max_frac_C256,lam_lo,lam_hi,payload_lo,payload_hi
validate,0.02545,0.0,0.87138,0.024,0.0886
test,0.03192,0.0,4.01906,0.024,0.0995
culver,0.04558,0.001,0.87138,0.0243,0.1276
