seed,accuracy,mean_payload,mean_f1,imp_top1,imp_top1_val,imp_top2,imp_top2_val,imp_top3,imp_top3_val
0,0.9326599326599326,0.07554040404040405,0.8645952571662472,est_snr_db,0.4049409235936143,channel_is_rayleigh,0.24473653892696978,pcd_mean_range,0.0329890252258565
1,0.9242424242424242,0.09219191919191919,0.865838723373842,est_snr_db,0.4348632516892839,channel_is_rayleigh,0.24933539430030882,pcd_std_range,0.02472198575466039
2,0.8922558922558923,0.10408585858585859,0.8550939858197315,est_snr_db,0.41766387155117074,channel_is_rayleigh,0.263025819180286,pcd_mean_range,0.03618887513845436
3,0.9225589225589226,0.0802979797979798,0.8737505243814997,est_snr_db,0.4142822569453904,channel_is_rayleigh,0.23292126781327044,pcd_mean_range,0.024093623927092987
4,0.9141414141414141,0.0906060606060606,0.8650248798009451,est_snr_db,0.4095160104187182,channel_is_rayleigh,0.238821009309659,pcd_std_range,0.026929608454567117
