frame,n_cav,has_collab,n_box_p0.0,f1_p0.0,n_box_p0.001,f1_p0.001,lost_elem_frac_p0.001,lost_cw_p0.001,n_box_p0.01,f1_p0.01,lost_elem_frac_p0.01,lost_cw_p0.01,n_box_p0.05,f1_p0.05,lost_elem_frac_p0.05,lost_cw_p0.05,n_box_p0.1,f1_p0.1,lost_elem_frac_p0.1,lost_cw_p0.1,n_box_p0.25,f1_p0.25,lost_elem_frac_p0.25,lost_cw_p0.25,n_box_p0.5,f1_p0.5,lost_elem_frac_p0.5,lost_cw_p0.5
21,2,1,13,1.0,13,1.0,0.000767,12,13,1.0,0.009095,114,14,0.962962962962963,0.049081,613,14,0.962962962962963,0.097449,1221,13,0.9230769230769231,0.253286,3162,13,0.9230769230769231,0.503902,6307
22,2,1,12,0.8461538461538461,12,0.8461538461538461,0.001139,15,12,0.8461538461538461,0.009203,117,12,0.8461538461538461,0.05131,636,13,0.888888888888889,0.098716,1223,11,0.88,0.252545,3178,14,0.7857142857142857,0.51002,6377
23,2,1,14,0.9285714285714286,14,0.9285714285714286,0.001162,14,14,0.9285714285714286,0.010716,131,14,0.9285714285714286,0.049677,630,12,0.8461538461538461,0.100242,1247,12,0.8461538461538461,0.254375,3182,14,0.7857142857142857,0.501838,6274
24,2,1,14,0.9285714285714286,14,0.9285714285714286,0.000852,12,14,0.9285714285714286,0.010636,131,13,0.888888888888889,0.049414,612,15,0.896551724137931,0.105135,1308,13,0.888888888888889,0.264117,3302,13,0.888888888888889,0.506031,6344
25,2,1,13,0.962962962962963,13,0.962962962962963,0.001201,16,13,0.962962962962963,0.009754,122,13,0.962962962962963,0.04716,579,13,0.962962962962963,0.097041,1209,12,0.923076923076923,0.250574,3124,13,0.888888888888889,0.495403,6198
26,2,1,14,0.896551724137931,14,0.896551724137931,0.00096,12,13,0.9285714285714286,0.010739,134,14,0.896551724137931,0.05011,624,13,0.9285714285714286,0.101765,1274,12,0.888888888888889,0.250208,3113,12,0.888888888888889,0.502158,6284
27,2,1,14,0.9333333333333333,14,0.9333333333333333,0.000682,8,14,0.9333333333333333,0.01087,133,14,0.9333333333333333,0.047357,591,13,0.896551724137931,0.098056,1234,15,0.967741935483871,0.24755,3099,15,0.9032258064516129,0.505556,6337
28,2,1,15,0.9375,15,0.9375,0.001193,14,15,0.9375,0.010298,129,15,0.9375,0.050488,625,15,0.9375,0.101123,1262,15,0.9375,0.255083,3196,15,0.8749999999999999,0.500915,6245
29,2,1,14,0.9032258064516129,14,0.9032258064516129,0.000821,10,14,0.9032258064516129,0.010321,131,14,0.9032258064516129,0.051751,645,14,0.9032258064516129,0.099706,1244,14,0.8387096774193549,0.251213,3139,19,0.7777777777777778,0.501787,6278
30,2,1,16,0.9411764705882353,16,0.9411764705882353,0.000883,12,16,0.9411764705882353,0.008941,111,16,0.9411764705882353,0.052048,647,16,0.9411764705882353,0.096324,1200,15,0.9090909090909091,0.25506,3185,17,0.9142857142857143,0.502392,6269
31,2,1,16,0.9411764705882353,16,0.9411764705882353,0.001108,13,16,0.9411764705882353,0.011767,145,16,0.9411764705882353,0.050369,626,16,0.9411764705882353,0.106768,1337,16,0.9411764705882353,0.251112,3134,16,0.9411764705882353,0.49936,6241
32,2,1,17,0.9714285714285714,17,0.9714285714285714,0.000736,9,17,0.9714285714285714,0.01063,130,16,0.9411764705882353,0.05062,632,21,0.8205128205128205,0.09786,1213,17,0.9714285714285714,0.246414,3093,17,0.9714285714285714,0.507902,6344
33,2,1,16,0.9411764705882353,16,0.9411764705882353,0.001162,14,16,0.9411764705882353,0.008352,105,16,0.9411764705882353,0.05054,637,16,0.9411764705882353,0.101176,1265,15,0.8484848484848485,0.253923,3169,18,0.8888888888888888,0.502821,6297
34,2,1,17,0.9444444444444444,17,0.9444444444444444,0.000736,9,17,0.9444444444444444,0.00994,125,17,0.8888888888888888,0.053677,669,16,0.9142857142857143,0.102783,1282,16,0.9142857142857143,0.251821,3159,17,0.8888888888888888,0.495173,6220
35,2,1,21,0.8780487804878048,21,0.8780487804878048,0.001255,16,21,0.8780487804878048,0.010404,131,20,0.85,0.051815,647,21,0.8780487804878048,0.100268,1251,21,0.8292682926829269,0.253028,3153,20,0.75,0.501742,6278
36,2,1,19,0.8571428571428571,19,0.8571428571428571,0.001023,13,18,0.8292682926829269,0.009716,122,18,0.8292682926829269,0.051695,641,17,0.7999999999999999,0.103868,1296,17,0.7999999999999999,0.25131,3140,17,0.7999999999999999,0.493888,6186
37,2,1,23,0.9166666666666666,23,0.9166666666666666,0.000977,14,23,0.9166666666666666,0.010334,129,23,0.8749999999999999,0.05403,672,23,0.8749999999999999,0.097477,1208,21,0.8695652173913043,0.246312,3072,23,0.8333333333333333,0.503277,6317
38,2,1,20,0.888888888888889,20,0.888888888888889,0.001023,12,20,0.888888888888889,0.009886,125,20,0.8444444444444444,0.049015,609,20,0.888888888888889,0.101299,1255,20,0.888888888888889,0.252412,3164,23,0.7499999999999999,0.509673,6368
39,2,1,21,0.8695652173913043,21,0.8695652173913043,0.000736,9,21,0.8695652173913043,0.009716,122,20,0.888888888888889,0.04799,595,19,0.8636363636363636,0.103747,1289,19,0.8636363636363636,0.257258,3227,20,0.888888888888889,0.498216,6237
40,2,1,21,0.8936170212765957,21,0.8936170212765957,0.001247,15,21,0.8936170212765957,0.00955,120,21,0.8936170212765957,0.047868,598,22,0.875,0.09767,1218,22,0.9166666666666666,0.246989,3079,20,0.8695652173913044,0.50567,6329
41,2,1,22,0.9166666666666666,23,0.8979591836734695,0.000852,10,23,0.8979591836734695,0.010798,136,24,0.8799999999999999,0.050069,617,22,0.9166666666666666,0.098168,1237,24,0.9199999999999999,0.245559,3076,24,0.8400000000000001,0.508164,6379
42,2,1,23,0.8627450980392156,23,0.8627450980392156,0.00048,6,24,0.8846153846153847,0.010258,125,24,0.8846153846153847,0.051446,645,23,0.8235294117647057,0.098502,1227,24,0.8846153846153847,0.251177,3147,25,0.830188679245283,0.50324,6293
43,2,1,22,0.88,22,0.88,0.001278,16,22,0.88,0.008755,111,22,0.84,0.050816,627,23,0.8627450980392156,0.102472,1277,29,0.7719298245614034,0.249859,3114,21,0.8571428571428571,0.497591,6234
44,2,1,22,0.88,22,0.88,0.001116,15,22,0.88,0.009972,125,23,0.9019607843137255,0.051514,646,23,0.9019607843137255,0.100933,1260,23,0.8235294117647057,0.246999,3079,25,0.9056603773584904,0.50566,6340
45,2,1,27,0.9818181818181818,27,0.9818181818181818,0.001131,14,27,0.9818181818181818,0.010157,128,24,0.923076923076923,0.049701,611,25,0.9433962264150945,0.099761,1241,24,0.923076923076923,0.253429,3166,24,0.923076923076923,0.511192,6394
46,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001054,13,25,0.9433962264150945,0.010196,128,25,0.9433962264150945,0.048952,610,24,0.923076923076923,0.104008,1296,24,0.923076923076923,0.253396,3158,25,0.9056603773584904,0.504291,6318
47,2,1,26,0.962962962962963,26,0.962962962962963,0.001278,16,26,0.962962962962963,0.008864,107,26,0.962962962962963,0.048536,608,27,0.9818181818181818,0.102482,1269,25,0.9433962264150945,0.248728,3108,25,0.9056603773584904,0.502538,6296
48,2,1,28,0.9642857142857143,28,0.9642857142857143,0.001108,14,28,0.9642857142857143,0.009257,117,27,0.9454545454545454,0.050591,631,28,0.9642857142857143,0.102017,1272,27,0.9454545454545454,0.247376,3087,25,0.9056603773584904,0.494436,6186
49,2,1,25,0.9433962264150945,25,0.9433962264150945,0.00131,16,25,0.9433962264150945,0.010916,136,25,0.9433962264150945,0.048194,599,24,0.923076923076923,0.099045,1222,25,0.9056603773584904,0.247468,3108,26,0.9259259259259259,0.505386,6303
50,2,1,27,0.9818181818181818,27,0.9818181818181818,0.001534,18,27,0.9818181818181818,0.011822,145,27,0.9818181818181818,0.048405,600,26,0.9259259259259259,0.093136,1164,27,0.9818181818181818,0.252817,3162,24,0.8846153846153847,0.493704,6184
51,2,1,27,0.9818181818181818,28,1.0,0.001023,13,27,0.9818181818181818,0.009766,119,28,1.0,0.049984,625,27,0.9818181818181818,0.097514,1214,26,0.962962962962963,0.251337,3133,26,0.9259259259259259,0.49812,6225
52,2,1,27,0.9454545454545454,27,0.9454545454545454,0.001077,15,27,0.9454545454545454,0.00929,119,27,0.9454545454545454,0.05166,645,25,0.9056603773584904,0.103201,1287,24,0.8846153846153847,0.24734,3082,24,0.8846153846153847,0.495294,6188
53,2,1,25,0.9433962264150945,25,0.9433962264150945,0.000969,12,25,0.9433962264150945,0.010482,131,21,0.8571428571428571,0.05151,641,23,0.9019607843137255,0.098347,1230,25,0.9433962264150945,0.250392,3123,24,0.923076923076923,0.499295,6237
54,2,1,24,0.923076923076923,24,0.923076923076923,0.000449,6,24,0.923076923076923,0.010007,130,25,0.9433962264150945,0.048616,608,25,0.9433962264150945,0.09969,1253,23,0.8627450980392156,0.246226,3071,23,0.8627450980392156,0.500582,6296
