fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_22_22_01_17,50,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,50,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,50,48,0.02,0.89152,0.282
2021_08_23_19_42_07,50,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,50,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,50,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,51,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,51,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,51,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,51,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,51,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,51,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,51,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,51,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,51,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,52,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,52,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,52,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,52,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,52,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,52,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,52,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,52,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,52,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,53,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,53,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,53,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,53,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,53,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,53,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,53,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,53,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,53,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,54,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,54,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,54,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,54,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,54,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,54,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,54,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,54,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,54,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,55,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,55,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,55,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,55,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,55,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,55,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,55,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,55,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,55,746,0.5,0.851,0.021818
2021_08_20_21_48_35,56,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,56,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,56,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,56,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,56,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,56,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,56,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,56,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,56,746,0.0,0.858642,0.024
2021_08_20_21_48_35,57,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,57,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,57,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,57,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,57,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,57,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,57,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,57,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,57,746,0.02,0.858642,0.024
2021_08_20_21_48_35,58,112,0.05,0.854261,0.024
2021_08_21_17_30_41,58,157,0.05,0.882277,0.024
2021_08_22_13_37_16,58,135,0.05,0.971686,0.024
2021_08_22_22_01_17,58,202,0.05,0.98737,0.024
2021_08_23_10_51_24,58,64,0.05,0.886513,0.024
2021_08_23_13_17_21,58,48,0.05,0.91825,0.024
2021_08_23_19_42_07,58,57,0.05,0.800953,0.024
2021_09_09_19_27_35,58,459,0.05,0.744719,0.024
2021_09_11_00_33_16,58,746,0.05,0.858642,0.024
2021_08_20_21_48_35,59,112,0.1,0.854261,0.024
2021_08_21_17_30_41,59,157,0.1,0.882277,0.024
2021_08_22_13_37_16,59,135,0.1,0.971686,0.024
2021_08_22_22_01_17,59,202,0.1,0.98737,0.024
2021_08_23_10_51_24,59,64,0.1,0.886513,0.024
2021_08_23_13_17_21,59,48,0.1,0.91825,0.024
2021_08_23_19_42_07,59,57,0.1,0.800953,0.024
2021_09_09_19_27_35,59,459,0.1,0.744719,0.024
2021_09_11_00_33_16,59,746,0.1,0.858642,0.024
2021_08_20_21_48_35,60,112,0.2,0.854261,0.024
2021_08_21_17_30_41,60,157,0.2,0.882277,0.024
2021_08_22_13_37_16,60,135,0.2,0.971686,0.024
2021_08_22_22_01_17,60,202,0.2,0.98737,0.024
2021_08_23_10_51_24,60,64,0.2,0.886513,0.024
2021_08_23_13_17_21,60,48,0.2,0.91825,0.024
2021_08_23_19_42_07,60,57,0.2,0.800953,0.024
2021_09_09_19_27_35,60,459,0.2,0.744719,0.024
2021_09_11_00_33_16,60,746,0.2,0.858642,0.024
2021_08_20_21_48_35,61,112,0.35,0.854261,0.024
2021_08_21_17_30_41,61,157,0.35,0.882277,0.024
2021_08_22_13_37_16,61,135,0.35,0.971686,0.024
2021_08_22_22_01_17,61,202,0.35,0.98737,0.024
2021_08_23_10_51_24,61,64,0.35,0.886513,0.024
2021_08_23_13_17_21,61,48,0.35,0.91825,0.024
2021_08_23_19_42_07,61,57,0.35,0.800953,0.024
2021_09_09_19_27_35,61,459,0.35,0.744719,0.024
2021_09_11_00_33_16,61,746,0.35,0.858642,0.024
2021_08_20_21_48_35,62,112,0.5,0.854261,0.024
2021_08_21_17_30_41,62,157,0.5,0.882277,0.024
2021_08_22_13_37_16,62,135,0.5,0.971686,0.024
2021_08_22_22_01_17,62,202,0.5,0.98737,0.024
2021_08_23_10_51_24,62,64,0.5,0.886513,0.024
2021_08_23_13_17_21,62,48,0.5,0.91825,0.024
2021_08_23_19_42_07,62,57,0.5,0.800953,0.024
2021_09_09_19_27_35,62,459,0.5,0.744719,0.024
2021_09_11_00_33_16,62,746,0.5,0.858642,0.024
2021_08_20_21_48_35,63,112,0.0,0.812646,0.315
2021_08_21_17_30_41,63,157,0.0,0.835295,0.315
2021_08_22_13_37_16,63,135,0.0,0.941959,0.315
2021_08_22_22_01_17,63,202,0.0,0.919658,0.315
2021_08_23_10_51_24,63,64,0.0,0.807606,0.315
2021_08_23_13_17_21,63,48,0.0,0.83354,0.315
2021_08_23_19_42_07,63,57,0.0,0.80277,0.315
2021_09_09_19_27_35,63,459,0.0,0.576226,0.315
2021_09_11_00_33_16,63,746,0.0,0.815093,0.315
2021_08_20_21_48_35,64,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,64,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,64,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,64,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,64,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,64,48,0.02,0.89152,0.282
2021_08_23_19_42_07,64,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,64,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,64,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,65,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,65,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,65,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,65,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,65,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,65,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,65,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,65,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,65,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,66,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,66,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,66,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,66,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,66,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,66,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,66,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,66,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,66,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,67,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,67,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,67,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,67,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,67,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,67,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,67,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,67,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,67,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,68,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,68,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,68,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,68,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,68,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,68,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,68,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,68,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,68,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,69,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,69,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,69,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,69,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,69,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,69,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,69,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,69,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,69,746,0.5,0.851,0.021818
2021_08_20_21_48_35,70,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,70,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,70,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,70,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,70,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,70,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,70,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,70,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,70,746,0.0,0.858642,0.024
2021_08_20_21_48_35,71,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,71,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,71,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,71,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,71,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,71,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,71,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,71,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,71,746,0.02,0.858642,0.024
2021_08_20_21_48_35,72,112,0.05,0.854261,0.024
2021_08_21_17_30_41,72,157,0.05,0.882277,0.024
2021_08_22_13_37_16,72,135,0.05,0.971686,0.024
2021_08_22_22_01_17,72,202,0.05,0.98737,0.024
2021_08_23_10_51_24,72,64,0.05,0.886513,0.024
2021_08_23_13_17_21,72,48,0.05,0.91825,0.024
2021_08_23_19_42_07,72,57,0.05,0.800953,0.024
2021_09_09_19_27_35,72,459,0.05,0.744719,0.024
2021_09_11_00_33_16,72,746,0.05,0.858642,0.024
2021_08_20_21_48_35,73,112,0.1,0.854261,0.024
2021_08_21_17_30_41,73,157,0.1,0.882277,0.024
2021_08_22_13_37_16,73,135,0.1,0.971686,0.024
2021_08_22_22_01_17,73,202,0.1,0.98737,0.024
2021_08_23_10_51_24,73,64,0.1,0.886513,0.024
2021_08_23_13_17_21,73,48,0.1,0.91825,0.024
2021_08_23_19_42_07,73,57,0.1,0.800953,0.024
2021_09_09_19_27_35,73,459,0.1,0.744719,0.024
2021_09_11_00_33_16,73,746,0.1,0.858642,0.024
2021_08_20_21_48_35,74,112,0.2,0.854261,0.024
2021_08_21_17_30_41,74,157,0.2,0.882277,0.024
2021_08_22_13_37_16,74,135,0.2,0.971686,0.024
2021_08_22_22_01_17,74,202,0.2,0.98737,0.024
2021_08_23_10_51_24,74,64,0.2,0.886513,0.024
2021_08_23_13_17_21,74,48,0.2,0.91825,0.024
2021_08_23_19_42_07,74,57,0.2,0.800953,0.024
2021_09_09_19_27_35,74,459,0.2,0.744719,0.024
2021_09_11_00_33_16,74,746,0.2,0.858642,0.024
2021_08_20_21_48_35,75,112,0.35,0.854261,0.024
2021_08_21_17_30_41,75,157,0.35,0.882277,0.024
2021_08_22_13_37_16,75,135,0.35,0.971686,0.024
2021_08_22_22_01_17,75,202,0.35,0.98737,0.024
2021_08_23_10_51_24,75,64,0.35,0.886513,0.024
2021_08_23_13_17_21,75,48,0.35,0.91825,0.024
2021_08_23_19_42_07,75,57,0.35,0.800953,0.024
2021_09_09_19_27_35,75,459,0.35,0.744719,0.024
2021_09_11_00_33_16,75,746,0.35,0.858642,0.024
2021_08_20_21_48_35,76,112,0.5,0.854261,0.024
2021_08_21_17_30_41,76,157,0.5,0.882277,0.024
2021_08_22_13_37_16,76,135,0.5,0.971686,0.024
2021_08_22_22_01_17,76,202,0.5,0.98737,0.024
2021_08_23_10_51_24,76,64,0.5,0.886513,0.024
2021_08_23_13_17_21,76,48,0.5,0.91825,0.024
2021_08_23_19_42_07,76,57,0.5,0.800953,0.024
2021_09_09_19_27_35,76,459,0.5,0.744719,0.024
2021_09_11_00_33_16,76,746,0.5,0.858642,0.024
2021_08_20_21_48_35,77,112,0.0,0.812646,0.315
2021_08_21_17_30_41,77,157,0.0,0.835295,0.315
2021_08_22_13_37_16,77,135,0.0,0.941959,0.315
2021_08_22_22_01_17,77,202,0.0,0.919658,0.315
2021_08_23_10_51_24,77,64,0.0,0.807606,0.315
2021_08_23_13_17_21,77,48,0.0,0.83354,0.315
2021_08_23_19_42_07,77,57,0.0,0.80277,0.315
2021_09_09_19_27_35,77,459,0.0,0.576226,0.315
2021_09_11_00_33_16,77,746,0.0,0.815093,0.315
2021_08_20_21_48_35,78,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,78,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,78,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,78,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,78,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,78,48,0.02,0.89152,0.282
2021_08_23_19_42_07,78,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,78,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,78,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,79,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,79,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,79,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,79,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,79,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,79,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,79,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,79,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,79,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,80,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,80,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,80,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,80,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,80,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,80,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,80,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,80,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,80,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,81,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,81,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,81,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,81,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,81,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,81,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,81,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,81,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,81,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,82,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,82,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,82,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,82,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,82,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,82,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,82,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,82,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,82,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,83,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,83,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,83,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,83,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,83,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,83,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,83,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,83,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,83,746,0.5,0.851,0.021818
2021_08_20_21_48_35,84,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,84,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,84,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,84,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,84,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,84,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,84,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,84,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,84,746,0.0,0.858642,0.024
2021_08_20_21_48_35,85,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,85,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,85,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,85,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,85,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,85,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,85,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,85,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,85,746,0.02,0.858642,0.024
2021_08_20_21_48_35,86,112,0.05,0.854261,0.024
2021_08_21_17_30_41,86,157,0.05,0.882277,0.024
2021_08_22_13_37_16,86,135,0.05,0.971686,0.024
2021_08_22_22_01_17,86,202,0.05,0.98737,0.024
2021_08_23_10_51_24,86,64,0.05,0.886513,0.024
2021_08_23_13_17_21,86,48,0.05,0.91825,0.024
2021_08_23_19_42_07,86,57,0.05,0.800953,0.024
2021_09_09_19_27_35,86,459,0.05,0.744719,0.024
2021_09_11_00_33_16,86,746,0.05,0.858642,0.024
2021_08_20_21_48_35,87,112,0.1,0.854261,0.024
2021_08_21_17_30_41,87,157,0.1,0.882277,0.024
2021_08_22_13_37_16,87,135,0.1,0.971686,0.024
2021_08_22_22_01_17,87,202,0.1,0.98737,0.024
2021_08_23_10_51_24,87,64,0.1,0.886513,0.024
2021_08_23_13_17_21,87,48,0.1,0.91825,0.024
2021_08_23_19_42_07,87,57,0.1,0.800953,0.024
2021_09_09_19_27_35,87,459,0.1,0.744719,0.024
2021_09_11_00_33_16,87,746,0.1,0.858642,0.024
2021_08_20_21_48_35,88,112,0.2,0.854261,0.024
2021_08_21_17_30_41,88,157,0.2,0.882277,0.024
2021_08_22_13_37_16,88,135,0.2,0.971686,0.024
2021_08_22_22_01_17,88,202,0.2,0.98737,0.024
2021_08_23_10_51_24,88,64,0.2,0.886513,0.024
2021_08_23_13_17_21,88,48,0.2,0.91825,0.024
2021_08_23_19_42_07,88,57,0.2,0.800953,0.024
2021_09_09_19_27_35,88,459,0.2,0.744719,0.024
2021_09_11_00_33_16,88,746,0.2,0.858642,0.024
2021_08_20_21_48_35,89,112,0.35,0.854261,0.024
2021_08_21_17_30_41,89,157,0.35,0.882277,0.024
2021_08_22_13_37_16,89,135,0.35,0.971686,0.024
2021_08_22_22_01_17,89,202,0.35,0.98737,0.024
2021_08_23_10_51_24,89,64,0.35,0.886513,0.024
2021_08_23_13_17_21,89,48,0.35,0.91825,0.024
2021_08_23_19_42_07,89,57,0.35,0.800953,0.024
2021_09_09_19_27_35,89,459,0.35,0.744719,0.024
2021_09_11_00_33_16,89,746,0.35,0.858642,0.024
2021_08_20_21_48_35,90,112,0.5,0.854261,0.024
2021_08_21_17_30_41,90,157,0.5,0.882277,0.024
2021_08_22_13_37_16,90,135,0.5,0.971686,0.024
2021_08_22_22_01_17,90,202,0.5,0.98737,0.024
2021_08_23_10_51_24,90,64,0.5,0.886513,0.024
2021_08_23_13_17_21,90,48,0.5,0.91825,0.024
2021_08_23_19_42_07,90,57,0.5,0.800953,0.024
2021_09_09_19_27_35,90,459,0.5,0.744719,0.024
2021_09_11_00_33_16,90,746,0.5,0.858642,0.024
2021_08_20_21_48_35,91,112,0.0,0.812646,0.315
2021_08_21_17_30_41,91,157,0.0,0.835295,0.315
2021_08_22_13_37_16,91,135,0.0,0.941959,0.315
2021_08_22_22_01_17,91,202,0.0,0.919658,0.315
2021_08_23_10_51_24,91,64,0.0,0.807606,0.315
2021_08_23_13_17_21,91,48,0.0,0.83354,0.315
2021_08_23_19_42_07,91,57,0.0,0.80277,0.315
2021_09_09_19_27_35,91,459,0.0,0.576226,0.315
2021_09_11_00_33_16,91,746,0.0,0.815093,0.315
2021_08_20_21_48_35,92,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,92,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,92,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,92,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,92,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,92,48,0.02,0.89152,0.282
2021_08_23_19_42_07,92,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,92,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,92,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,93,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,93,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,93,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,93,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,93,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,93,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,93,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,93,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,93,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,94,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,94,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,94,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,94,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,94,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,94,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,94,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,94,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,94,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,95,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,95,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,95,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,95,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,95,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,95,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,95,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,95,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,95,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,96,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,96,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,96,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,96,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,96,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,96,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,96,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,96,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,96,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,97,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,97,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,97,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,97,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,97,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,97,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,97,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,97,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,97,746,0.5,0.851,0.021818
2021_08_20_21_48_35,98,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,98,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,98,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,98,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,98,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,98,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,98,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,98,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,98,746,0.0,0.858642,0.024
2021_08_20_21_48_35,99,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,99,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,99,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,99,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,99,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,99,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,99,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,99,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,99,746,0.02,0.858642,0.024
2021_08_20_21_48_35,100,112,0.05,0.854261,0.024
2021_08_21_17_30_41,100,157,0.05,0.882277,0.024
2021_08_22_13_37_16,100,135,0.05,0.971686,0.024
2021_08_22_22_01_17,100,202,0.05,0.98737,0.024
2021_08_23_10_51_24,100,64,0.05,0.886513,0.024
2021_08_23_13_17_21,100,48,0.05,0.91825,0.024
2021_08_23_19_42_07,100,57,0.05,0.800953,0.024
2021_09_09_19_27_35,100,459,0.05,0.744719,0.024
2021_09_11_00_33_16,100,746,0.05,0.858642,0.024
