fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_23_13_17_21,11,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,11,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,11,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,11,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,12,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,12,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,12,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,12,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,12,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,12,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,12,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,12,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,12,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,13,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,13,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,13,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,13,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,13,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,13,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,13,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,13,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,13,746,0.5,0.851,0.021818
2021_08_20_21_48_35,14,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,14,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,14,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,14,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,14,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,14,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,14,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,14,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,14,746,0.0,0.858642,0.024
2021_08_20_21_48_35,15,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,15,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,15,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,15,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,15,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,15,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,15,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,15,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,15,746,0.02,0.858642,0.024
2021_08_20_21_48_35,16,112,0.05,0.854261,0.024
2021_08_21_17_30_41,16,157,0.05,0.882277,0.024
2021_08_22_13_37_16,16,135,0.05,0.971686,0.024
2021_08_22_22_01_17,16,202,0.05,0.98737,0.024
2021_08_23_10_51_24,16,64,0.05,0.886513,0.024
2021_08_23_13_17_21,16,48,0.05,0.91825,0.024
2021_08_23_19_42_07,16,57,0.05,0.800953,0.024
2021_09_09_19_27_35,16,459,0.05,0.744719,0.024
2021_09_11_00_33_16,16,746,0.05,0.858642,0.024
2021_08_20_21_48_35,17,112,0.1,0.854261,0.024
2021_08_21_17_30_41,17,157,0.1,0.882277,0.024
2021_08_22_13_37_16,17,135,0.1,0.971686,0.024
2021_08_22_22_01_17,17,202,0.1,0.98737,0.024
2021_08_23_10_51_24,17,64,0.1,0.886513,0.024
2021_08_23_13_17_21,17,48,0.1,0.91825,0.024
2021_08_23_19_42_07,17,57,0.1,0.800953,0.024
2021_09_09_19_27_35,17,459,0.1,0.744719,0.024
2021_09_11_00_33_16,17,746,0.1,0.858642,0.024
2021_08_20_21_48_35,18,112,0.2,0.854261,0.024
2021_08_21_17_30_41,18,157,0.2,0.882277,0.024
2021_08_22_13_37_16,18,135,0.2,0.971686,0.024
2021_08_22_22_01_17,18,202,0.2,0.98737,0.024
2021_08_23_10_51_24,18,64,0.2,0.886513,0.024
2021_08_23_13_17_21,18,48,0.2,0.91825,0.024
2021_08_23_19_42_07,18,57,0.2,0.800953,0.024
2021_09_09_19_27_35,18,459,0.2,0.744719,0.024
2021_09_11_00_33_16,18,746,0.2,0.858642,0.024
2021_08_20_21_48_35,19,112,0.35,0.854261,0.024
2021_08_21_17_30_41,19,157,0.35,0.882277,0.024
2021_08_22_13_37_16,19,135,0.35,0.971686,0.024
2021_08_22_22_01_17,19,202,0.35,0.98737,0.024
2021_08_23_10_51_24,19,64,0.35,0.886513,0.024
2021_08_23_13_17_21,19,48,0.35,0.91825,0.024
2021_08_23_19_42_07,19,57,0.35,0.800953,0.024
2021_09_09_19_27_35,19,459,0.35,0.744719,0.024
2021_09_11_00_33_16,19,746,0.35,0.858642,0.024
2021_08_20_21_48_35,20,112,0.5,0.854261,0.024
2021_08_21_17_30_41,20,157,0.5,0.882277,0.024
