policy,accuracy,mean_payload,mean_f1
oracle_3way,1.0,0.0924,0.8936
rf_full,0.9132,0.091,0.8909
channel_blind_EU,0.8548,0.024,0.8867
fixed_L,0.8548,0.024,0.8867
fixed_C16,0.1452,0.495,0.4342
fixed_C256,0.0,0.2475,0.118
