split,policy,payload,f1
validate,Fixed L,0.024,0.8621
validate,Fixed C16,0.495,0.3845
validate,Fixed C256,0.2475,0.1011
validate,Oracle,0.074,0.8679
validate,"CA-TOSG (RF, deployed)",0.0414,0.863
test,Fixed L,0.024,0.8867
test,Fixed C16,0.495,0.4257
test,Fixed C256,0.2475,0.1158
test,Oracle,0.0737,0.8939
test,"CA-TOSG (RF, deployed)",0.0813,0.8883
