metric,mean,ci_lo,ci_hi
rf_f1,0.8836853309251445,0.8744178365612437,0.8937836610061277
rf_rho,0.32899999999999996,0.27316666666666667,0.39
or_f1,0.8953656988650193,0.8850377849403516,0.9064940745166828
L_f1,0.8678981004804549,0.8571966173820006,0.8787132741634365
best_thr_f1,0.8681865264549673,0.857364019677171,0.8795079795477716
edge,0.015498804470177154,0.010592979277642656,0.020429285134525823
