metric,mean,ci_lo,ci_hi
rf_f1,0.8859934333602666,0.876441696925248,0.895527935021117
rf_rho,0.3722166666666667,0.3165833333333333,0.44
or_f1,0.8970322946133976,0.8875297839879269,0.9069675697651609
L_f1,0.8678981004804549,0.8571966173820006,0.8787132741634365
best_thr_f1,0.8686823479907696,0.8575661497997505,0.8795230835389
edge,0.017311085369497145,0.012278191309315758,0.02189073365507604
