split,lam,frac_C256,frac_C16,frac_L,payload,f1
culver,0.04096,0.04182,0.17455,0.78364,0.1156,0.89
culver,0.05096,0.04364,0.16545,0.79091,0.1117,0.8898
culver,0.0634,0.04364,0.15273,0.80364,0.1057,0.8895
culver,0.07887,0.04545,0.14545,0.80909,0.1027,0.8893
culver,0.09812,0.04182,0.12909,0.82909,0.0941,0.8885
culver,0.12207,0.03818,0.11091,0.85091,0.0848,0.8875
culver,0.15186,0.03636,0.07455,0.88909,0.0672,0.8851
culver,0.18892,0.03273,0.05818,0.90909,0.0587,0.8836
culver,0.23504,0.02364,0.04364,0.93273,0.0498,0.8817
culver,0.2924,0.01818,0.03273,0.94909,0.0435,0.88
culver,0.36377,0.01273,0.01273,0.97455,0.0328,0.8766
culver,0.45255,0.01273,0.00182,0.98545,0.0277,0.8745
culver,0.56301,0.00909,0.0,0.99091,0.026,0.8737
culver,0.70042,0.00545,0.0,0.99455,0.0252,0.8732
culver,0.87138,0.00182,0.0,0.99818,0.0244,0.8725
culver,1.08406,0.0,0.0,1.0,0.024,0.8722
culver,1.34865,0.0,0.0,1.0,0.024,0.8722
culver,1.67781,0.0,0.0,1.0,0.024,0.8722
culver,2.08732,0.0,0.0,1.0,0.024,0.8722
culver,2.59677,0.0,0.0,1.0,0.024,0.8722
culver,3.23057,0.0,0.0,1.0,0.024,0.8722
culver,4.01906,0.0,0.0,1.0,0.024,0.8722
culver,5.0,0.0,0.0,1.0,0.024,0.8722
