qam,channel,esno_db,ebno_db,n_cw,n_err,p_hat,wilson95_lo,wilson95_hi,zero_error,one_sided_upper95,seed,seconds
16,awgn,8.0,4.9897,100000,12,0.00012,6.864888073994729e-05,0.0002097550126960724,False,,20260993,128.4251880645752
16,awgn,8.5,5.4897,1000000,4,4e-06,1.5555229483848642e-06,1.0285890384007566e-05,False,,20260998,1248.6310017108917
16,awgn,9.0,5.9897,1000000,1,1e-06,1.765245767453709e-07,5.664911804311442e-06,False,,20261003,1241.4477632045746
16,awgn,9.5,6.4897,1000000,0,0.0,0.0,3.841444063944942e-06,True,2.9957277863923437e-06,20261008,1241.2725129127502
16,awgn,10.0,6.9897,100000,0,0.0,0.0,3.841311258303963e-05,True,2.995687401941005e-05,20261013,128.20892119407654
