frame,ego_conf_mean,ego_conf_std,ego_conf_p10,ego_conf_p50,ego_conf_p90
0,0.5082681104540825,0.12781219116099385,0.35263715237379073,0.5387919247150421,0.6324023723602294
1,0.46217501610517503,0.1534641918168697,0.2647085919976234,0.4996471554040909,0.6592444598674774
2,0.5382026135921478,0.11651389268110879,0.41444702744483947,0.5262163281440735,0.6771128892898559
3,0.5370429769158364,0.13527303183203615,0.3368825510144234,0.5927256643772125,0.6502460896968841
4,0.5715864102045695,0.10945724167520794,0.40878223776817324,0.6148725748062134,0.659232246875763
5,0.5891450047492981,0.11907450696451591,0.4787784576416016,0.6320168375968933,0.6767948508262634
6,0.5610532313585281,0.16668187773927856,0.2766366273164749,0.6168967187404633,0.6866170763969421
7,0.5572644293308258,0.1454623975687846,0.3250125706195831,0.6237110495567322,0.6672562956809998
8,0.5274253472685814,0.1369215669725869,0.2898710831999779,0.5677126049995422,0.6247268974781036
9,0.5622865468263626,0.1464090322955816,0.31442318856716156,0.6237913072109222,0.6700770556926727
10,0.5241738910024817,0.12537140500030877,0.3212714195251465,0.5838300585746765,0.6274739503860474
11,0.472536475612567,0.13817988997331382,0.26058690547943114,0.5166637301445007,0.6184126615524292
12,0.46752865612506866,0.12105428960477803,0.25161073356866837,0.49413439631462097,0.5691175580024719
13,0.4876268804073334,0.12518921704316144,0.32170108556747434,0.5127787441015244,0.6162803530693054
14,0.3945542983710766,0.10929308893290551,0.2637072533369064,0.3943623751401901,0.48613727986812594
15,0.4777118929407813,0.1135081015992673,0.38068562746047974,0.49607133865356445,0.6295936107635498
16,0.42452528948585194,0.09591314630123082,0.2805473983287811,0.4402012825012207,0.5161006271839141
17,0.4277116669849916,0.09084047248245773,0.34456366300582886,0.4723344147205353,0.4929550290107727
18,0.40352279760620813,0.08336459837568976,0.3023846447467804,0.4275609850883484,0.4890894591808319
19,0.3764294671515624,0.0766316121712411,0.27428902089595797,0.379899799823761,0.48266924619674684
20,0.36599480360746384,0.07297023219824204,0.27783372402191164,0.36984899640083313,0.45901370942592623
21,0.33931727363513065,0.060450303706337326,0.25633918046951293,0.35698992013931274,0.4160305738449097
22,0.37074563776453334,0.0913193297554284,0.26517818570137025,0.3764651268720627,0.45159841477870943
23,0.3284131586551666,0.045808209751689324,0.2841398656368256,0.32059115171432495,0.3870925188064575
24,0.3297043868473598,0.07448039844859702,0.25219993442296984,0.31784020364284515,0.44044508635997776
25,0.3204541174428804,0.07201898176835501,0.2232869952917099,0.3084276616573334,0.4145005166530609
26,0.3550428127249082,0.0664818694204225,0.2775059789419174,0.32968655228614807,0.4376552730798721
27,0.34630787798336576,0.05360044873459339,0.26793385446071627,0.3605208545923233,0.40289442241191864
28,0.3136422485113144,0.06708055307251878,0.2385133385658264,0.2944968044757843,0.4158221185207367
