snr_db,rf_frac_L,rf_AP,oracle_AP,jscc_AP,fixed_L_AP,rf_payload_Mbit
0.0,1.0,0.84,0.84,0.814,0.84,0.024
2.0,1.0,0.84,0.84,0.8283666666666666,0.84,0.024
4.0,1.0,0.84,0.8427333333333333,0.8427333333333333,0.84,0.024
6.0,1.0,0.84,0.8571,0.8571,0.84,0.024
8.0,1.0,0.84,0.8593,0.8593,0.84,0.024
10.0,1.0,0.84,0.8615,0.8615,0.84,0.024
12.0,1.0,0.84,0.8637,0.8637,0.84,0.024
14.0,1.0,0.84,0.8641666666666666,0.8641666666666666,0.84,0.024
16.0,0.9994949494949495,0.8400122895622896,0.8643333333333333,0.8643333333333333,0.84,0.024987878787878687
18.0,0.9994949494949495,0.8400122222222223,0.8642,0.8642,0.84,0.024987878787878687
20.0,0.997979797979798,0.8400490909090909,0.8643,0.8643,0.84,0.02795151515151518
